id	entrant1Id	entrant2Id	entrant1Name	entrant2Name	entrant1Score	entrant2Score	completed	winnerId	loserId	winnerName	loserName	fullRoundText	bracketName	bracketId	entrant1playerId	entrant1playerTag	entrant1entrantId	entrant2playerId	entrant2playerTag	entrant2entrantId	bracketOrder	roundOrder
63471418	13322048	13021047	PlayUNICLR | Alexander	OGMIKE407	-1	0	True	13021047	13322048	OGMIKE407	PlayUNICLR | Alexander	Winners Round 1	Round 1 Pools	2001276	1318252	Alexander	13322048	2690313	OGMIKE407	13021047	1	1
63471433	12809236	13021047	Bandits | MenaRD	OGMIKE407	2	0	True	12809236	13021047	Bandits | MenaRD	OGMIKE407	Winners Round 2	Round 1 Pools	2001276	224650	MenaRD	12809236	2690313	OGMIKE407	13021047	1	2
63471434	12840100	13514566	Digi	Richard Trudy	0	2	True	13514566	12840100	Richard Trudy	Digi	Winners Round 2	Round 1 Pools	2001276	3365855	Digi	12840100	413475	Richard Trudy	13514566	1	2
63471435	13586614	13222066	shade	Chyi Tia	2	0	True	13586614	13222066	shade	Chyi Tia	Winners Round 2	Round 1 Pools	2001276	1454394	shade	13586614	900492	Chyi Tia	13222066	1	2
63471436	13441810	13645848	The Jokernaut	Basically Dan	2	0	True	13441810	13645848	The Jokernaut	Basically Dan	Winners Round 2	Round 1 Pools	2001276	149962	The Jokernaut	13441810	3252879	Basically Dan	13645848	1	2
63471437	12581603	12837353	Ajtucker	SQX | CJofCourse	2	0	True	12581603	12837353	Ajtucker	SQX | CJofCourse	Winners Round 2	Round 1 Pools	2001276	353576	Ajtucker	12581603	967783	CJofCourse	12837353	1	2
63471438	13507921	12588421	MOTH | SCRUNGO_	sr_papa	0	2	True	12588421	13507921	sr_papa	MOTH | SCRUNGO_	Winners Round 2	Round 1 Pools	2001276	1286568	SCRUNGO_	13507921	3315219	sr_papa	12588421	1	2
63471439	13622176	12849562	GcYoshi13	NMISM | Ver314	2	1	True	13622176	12849562	GcYoshi13	NMISM | Ver314	Winners Round 2	Round 1 Pools	2001276	221475	GcYoshi13	13622176	367980	Ver314	12849562	1	2
63471440	13642883	12435892	T-WOOD	CBT | Bandit Keith	2	0	True	13642883	12435892	T-WOOD	CBT | Bandit Keith	Winners Round 2	Round 1 Pools	2001276	2299708	T-WOOD	13642883	2712651	Bandit Keith	12435892	1	2
63471441	12809236	13514566	Bandits | MenaRD	Richard Trudy	2	0	True	12809236	13514566	Bandits | MenaRD	Richard Trudy	Winners Quarter-Final	Round 1 Pools	2001276	224650	MenaRD	12809236	413475	Richard Trudy	13514566	1	3
63471442	13586614	13441810	shade	The Jokernaut	2	0	True	13586614	13441810	shade	The Jokernaut	Winners Quarter-Final	Round 1 Pools	2001276	1454394	shade	13586614	149962	The Jokernaut	13441810	1	3
63471443	12581603	12588421	Ajtucker	sr_papa	0	2	True	12588421	12581603	sr_papa	Ajtucker	Winners Quarter-Final	Round 1 Pools	2001276	353576	Ajtucker	12581603	3315219	sr_papa	12588421	1	3
63471444	13622176	13642883	GcYoshi13	T-WOOD	0	2	True	13642883	13622176	T-WOOD	GcYoshi13	Winners Quarter-Final	Round 1 Pools	2001276	221475	GcYoshi13	13622176	2299708	T-WOOD	13642883	1	3
63471445	12809236	13586614	Bandits | MenaRD	shade	2	0	True	12809236	13586614	Bandits | MenaRD	shade	Winners Semi-Final	Round 1 Pools	2001276	224650	MenaRD	12809236	1454394	shade	13586614	1	4
63471446	12588421	13642883	sr_papa	T-WOOD	2	0	True	12588421	13642883	sr_papa	T-WOOD	Winners Semi-Final	Round 1 Pools	2001276	3315219	sr_papa	12588421	2299708	T-WOOD	13642883	1	4
63471483	12784458	13132379	Wazaleey	Kerrzhe	2	1	True	12784458	13132379	Wazaleey	Kerrzhe	Losers Round 1	Round 1 Pools	2001276	466149	Wazaleey	12784458	3281406	Kerrzhe	13132379	1	6
63471487	12757552	13283160	tHB | Keplar	Eph 6:10 | RevantTillywink	0	2	True	13283160	12757552	Eph 6:10 | RevantTillywink	tHB | Keplar	Losers Round 1	Round 1 Pools	2001276	30845	Keplar	12757552	559827	RevantTillywink	13283160	1	6
63471489	12563364	12425468	McLeod	Terra	0	-1	True	12563364	12425468	McLeod	Terra	Losers Round 1	Round 1 Pools	2001276	3311253	McLeod	12563364	919731	Terra	12425468	1	6
63471490	12435892	13322048	CBT | Bandit Keith	PlayUNICLR | Alexander	0	-1	True	12435892	13322048	CBT | Bandit Keith	PlayUNICLR | Alexander	Losers Round 2	Round 1 Pools	2001276	2712651	Bandit Keith	12435892	1318252	Alexander	13322048	1	7
63471491	12849562	12784458	NMISM | Ver314	Wazaleey	2	0	True	12849562	12784458	NMISM | Ver314	Wazaleey	Losers Round 2	Round 1 Pools	2001276	367980	Ver314	12849562	466149	Wazaleey	12784458	1	7
63471492	13507921	13010682	MOTH | SCRUNGO_	FlorkinThall	0	-1	True	13507921	13010682	MOTH | SCRUNGO_	FlorkinThall	Losers Round 2	Round 1 Pools	2001276	1286568	SCRUNGO_	13507921	3400798	FlorkinThall	13010682	1	7
63471493	12837353	12849708	SQX | CJofCourse	Lazy_Jester	2	0	True	12837353	12849708	SQX | CJofCourse	Lazy_Jester	Losers Round 2	Round 1 Pools	2001276	967783	CJofCourse	12837353	3368248	Lazy_Jester	12849708	1	7
63471494	13645848	12427478	Basically Dan	Hitbox | YLT Cole	0	-1	True	13645848	12427478	Basically Dan	Hitbox | YLT Cole	Losers Round 2	Round 1 Pools	2001276	3252879	Basically Dan	13645848	215175	YLT Cole	12427478	1	7
63471495	13222066	13283160	Chyi Tia	Eph 6:10 | RevantTillywink	0	2	True	13283160	13222066	Eph 6:10 | RevantTillywink	Chyi Tia	Losers Round 2	Round 1 Pools	2001276	900492	Chyi Tia	13222066	559827	RevantTillywink	13283160	1	7
63471496	12840100	13520788	Digi	Dakkat	0	2	True	13520788	12840100	Dakkat	Digi	Losers Round 2	Round 1 Pools	2001276	3365855	Digi	12840100	1265300	Dakkat	13520788	1	7
63471497	13021047	12563364	OGMIKE407	McLeod	0	2	True	12563364	13021047	McLeod	OGMIKE407	Losers Round 2	Round 1 Pools	2001276	2690313	OGMIKE407	13021047	3311253	McLeod	12563364	1	7
63471498	12435892	12849562	CBT | Bandit Keith	NMISM | Ver314	0	2	True	12849562	12435892	NMISM | Ver314	CBT | Bandit Keith	Losers Round 3	Round 1 Pools	2001276	2712651	Bandit Keith	12435892	367980	Ver314	12849562	1	8
63471499	13507921	12837353	MOTH | SCRUNGO_	SQX | CJofCourse	0	2	True	12837353	13507921	SQX | CJofCourse	MOTH | SCRUNGO_	Losers Round 3	Round 1 Pools	2001276	1286568	SCRUNGO_	13507921	967783	CJofCourse	12837353	1	8
63471500	13645848	13283160	Basically Dan	Eph 6:10 | RevantTillywink	0	2	True	13283160	13645848	Eph 6:10 | RevantTillywink	Basically Dan	Losers Round 3	Round 1 Pools	2001276	3252879	Basically Dan	13645848	559827	RevantTillywink	13283160	1	8
63471501	13520788	12563364	Dakkat	McLeod	0	2	True	12563364	13520788	McLeod	Dakkat	Losers Round 3	Round 1 Pools	2001276	1265300	Dakkat	13520788	3311253	McLeod	12563364	1	8
63471502	13441810	12849562	The Jokernaut	NMISM | Ver314	1	2	True	12849562	13441810	NMISM | Ver314	The Jokernaut	Losers Round 4	Round 1 Pools	2001276	149962	The Jokernaut	13441810	367980	Ver314	12849562	1	9
63471503	13514566	12837353	Richard Trudy	SQX | CJofCourse	2	1	True	13514566	12837353	Richard Trudy	SQX | CJofCourse	Losers Round 4	Round 1 Pools	2001276	413475	Richard Trudy	13514566	967783	CJofCourse	12837353	1	9
63471504	13622176	13283160	GcYoshi13	Eph 6:10 | RevantTillywink	2	0	True	13622176	13283160	GcYoshi13	Eph 6:10 | RevantTillywink	Losers Round 4	Round 1 Pools	2001276	221475	GcYoshi13	13622176	559827	RevantTillywink	13283160	1	9
63471505	12581603	12563364	Ajtucker	McLeod	2	0	True	12581603	12563364	Ajtucker	McLeod	Losers Round 4	Round 1 Pools	2001276	353576	Ajtucker	12581603	3311253	McLeod	12563364	1	9
63471506	12849562	13514566	NMISM | Ver314	Richard Trudy	2	1	True	12849562	13514566	NMISM | Ver314	Richard Trudy	Losers Round 5	Round 1 Pools	2001276	367980	Ver314	12849562	413475	Richard Trudy	13514566	1	10
63471507	13622176	12581603	GcYoshi13	Ajtucker	2	0	True	13622176	12581603	GcYoshi13	Ajtucker	Losers Round 5	Round 1 Pools	2001276	221475	GcYoshi13	13622176	353576	Ajtucker	12581603	1	10
63524616	13368264	12846536	Sylkai	Feedz	-1	-1	True	13368264	12846536	Sylkai	Feedz	Winners Round 1	Round 1 Pools	2151046	2643561	Sylkai	13368264	2876479	Feedz	12846536	1	1
63524617	13544980	12811970	R.A.W. | serth	WiFinder	-1	-1	True	12811970	13544980	WiFinder	R.A.W. | serth	Winners Round 1	Round 1 Pools	2151046	226567	serth	13544980	1352765	WiFinder	12811970	1	1
63524618	12822215	13613481	Claye	Lord Akuma	-1	-1	True	13613481	12822215	Lord Akuma	Claye	Winners Round 1	Round 1 Pools	2151046	3362298	Claye	12822215	231580	Lord Akuma	13613481	1	1
