entrantId	tag	finalPlacement	seed	playerId	playerTag
13606148	Amjad alshalabi | NASR|AngryBird	1	4	624333	NASR|AngryBird
12809236	Bandits | MenaRD	2	1	224650	MenaRD
12423743	FLY | Punk	3	3	240230	Punk
13024931	ROHTO Z! | Tokido	4	10	148527	Tokido
13392256	IBUSHIGIN | Kakeru	5	8	1366617	Kakeru
13609829	RC | HAITANI	5	50	138008	HAITANI
13486692	SNB | Fujimura	7	12	616064	Fujimura
13364463	SS熊本 | Nemo	7	27	385095	Nemo
12945258	BEAST |  | Fuudo	9	18	565873	Fuudo
13512979	GyoGun | moke	9	54	395486	moke
13055214	TwisMinds | Oil King	9	14	214100	Oil King
13533802	My Wallet | SR NuckleDu	9	41	131806	SR NuckleDu
12806671	Bandits | Caba	13	11	224697	Caba
13408541	Red Bull | Bonchan	13	30	232824	Bonchan
13630646	SNB | Yamaguchi	13	42	2360463	Yamaguchi
13485684	Victrix | | Momochi	13	13	277358	Momochi
13604853	TODAKAI	17	169	327935	TODAKAI
13591480	CR | Dogura	17	23	266493	Dogura
13603634	GyoGun | Machabo	17	44	405023	Machabo
13398535	CG | Torimeshi	17	48	1257257	Torimeshi
13558294	SS熊本 | Higuchi	17	28	632437	Higuchi
13525327	Samurai	17	127	140787	Samurai
13638870	SS熊本 | Shuto	17	26	486860	Shuto
13373730	CAG | GO1	17	22	266549	GO1
13467890	Brook | ZJZ	25	33	405400	ZJZ
13281364	Diaphone	25	118	173349	Diaphone
13464138	Julio	25	168	132321	Julio
13457416	Qttsix| | UMA327	25	35	359546	UMA327
13411843	Masoma	25	72	859219	Masoma
12422710	SonicFox	25	93	139983	SonicFox
13580383	jaccy	25	100	3505115	jaccy
13529228	IBUSHIGIN | Yanai	25	106	1228620	Yanai
13597965	Reynald	33	190	376274	Reynald
13646453	PAR | FlashMetroid	33	134	184121	FlashMetroid
13436884	NASR | Big Bird	33	2	379268	Big Bird
13646008	Ryukichi	33	3948	2441054	Ryukichi
13636585	Kilzyou	33	122	699782	Kilzyou
12849310	DS | Babushas	33	400	149240	Babushas
13639219	FAV | Ryusei	33	64	401790	Ryusei
12945283	BEAST | | Daigo	33	32	135910	Daigo
13397881	EVA:e | Hikaru	33	73	1791717	Hikaru
13542191	KUSANAGI	33	59	70855	KUSANAGI
13573852	ONi | Naji	33	95	861163	Naji
13575316	広島TEAM iXA/HT | ACQUA	33	89	338696	ACQUA
13630175	Gumout | NL	33	5	228743	NL
13157891	Semiij	33	69	135344	Semiij
13622972	G8S | pugera	33	20	487424	pugera
13618424	FITFGC | DRDANNYPHAM	33	147	172302	DRDANNYPHAM
12832132	AMTRS | 小路KOG	49	202	3285802	小路KOG
12718930	Duston	49	160	581205	Duston
12426758	GamerBee	49	76	212351	GamerBee
13602675	00 | Phenom	49	61	237340	Phenom
13493458	DFM | John Takeuchi	49	62	404377	John Takeuchi
13639909	Hsien Chang	49	6936	131184	hsien
13497269	Valmaster	49	9	623395	Valmaster
12841034	ChrisCCH	49	52	155429	ChrisCCH
13641922	Rez | Dyloch	49	968	979448	Dyloch
13175013	Yesports | Chris Wong	49	39	339687	Chris Wong
13305334	CAG | Fenritti	49	68	565962	Fenritti
13572396	RR | Ajax Fidelity	49	51	751061	Ajax Fidelity
12424135	Adrian Riven	49	152	1345485	Adrian Riven
13419390	daikoku	49	214	1853361	daikoku
13581216	Stealth	49	308	146079	Stealth
12848166	Dual Kevin	49	74	141329	Dual Kevin
13374008	DFM | Itabashi Zangief	65	37	314715	Itabashi Zangief
13629531	Noble	65	60	894065	Noble
12762741	PortaJon	65	131	184798	PortaJon
13618033	AGIT | KR_Wrestlingman	65	162	561804	KR_Wrestlingman
13631137	Ice Bulb | Speedkicks	65	236	139339	Speedkicks
13637311	NS | | Zykles	65	255	1988145	Zykles
13527053	StrikeFirst | GentlemanThief	65	156	755025	GentlemanThief
12807290	COMBO FIEND	65	157	872530	COMBO FIEND
13575128	BC | Tachikawa	65	36	404179	Tachikawa
13547860	AZ LAPLACE | MOV	65	71	395875	MOV
13558284	SNB | Johnny	65	80	616069	Johnny
13565658	GyoGun | Mago	65	58	138015	Mago
13563422	Skyll	65	594	796357	Skyll
13161062	og_killakam	65	207	393894	og_killakam
12423072	Kizzie Kay	65	115	57141	Kizzie Kay
12501640	Twitch | NoahtheprodigyPC	65	108	1816209	NoahtheprodigyPC
13646126	NYChrisG	65	166	148649	NYChrisG
13112080	KUDO	65	83	660130	KUDO
12849698	Zaferino	65	204	174929	Zaferino
12423091	Zach	65	303	540590	Zach
12429497	Nephew	65	15	157225	Nephew
13060002	1NSiiDE	65	3390	134671	1NSiiDE
12832221	Talon | HotDog29	65	49	338795	HotDog29
13198894	FluxWaveZ	65	96	213705	FluxWaveZ
13241594	MJ_Gama	65	112	184440	MJ_Gama
13387093	Red Bull | gachikun	65	25	356363	gachikun
13146536	Flexigear | Tony_Shuai	65	120	683508	Tony_Shuai
13639199	MAX | -Zenith	65	251	701233	-Zenith
13503822	CAG/eita	65	66	1574500	CAG/eita
13383528	AKG | Crucial	65	543	138923	Crucial
12848390	Filipinoman	65	165	66297	Filipinoman
12427237	Joey	65	173	366077	Joey
13630130	EK | Scythe	97	544	2450920	Scythe
13568940	Blaizzy	97	985	842619	Blaizzy
13453174	AZ/Laplace | Kichipa	97	43	378803	Kichipa
13466672	Burkish	97	164	245461	Burkish
12849690	Bass	97	4798	67022	Bass
13642941	TheSticky	97	831	1451241	TheSticky
12458827	Charlie	97	465	62954	Charlie
13555818	Ramos	97	4620	3500727	Ramos
