date	tournament	playerId	playerTag	rating	diff_from_last
2023-08-06	evo-2023	224650	MenaRD	1674	174
2023-08-06	evo-2023	624333	NASR|AngryBird	1654	154
2023-08-06	evo-2023	240230	Punk	1635	135
2023-08-06	evo-2023	232824	Bonchan	1627	127
2023-08-06	evo-2023	565873	Fuudo	1627	127
2023-08-06	evo-2023	395486	moke	1622	122
2023-08-06	evo-2023	405400	ZJZ	1622	122
2023-08-06	evo-2023	148527	Tokido	1619	119
2023-08-06	evo-2023	2360463	Yamaguchi	1617	117
2023-08-06	evo-2023	327935	TODAKAI	1615	115
2023-08-06	evo-2023	405023	Machabo	1614	114
2023-08-06	evo-2023	1366617	Kakeru	1613	113
2023-08-06	evo-2023	1988145	Zykles	1607	107
2023-08-06	evo-2023	214100	Oil King	1606	106
2023-08-06	evo-2023	266493	Dogura	1606	106
2023-08-06	evo-2023	385095	Nemo	1606	106
2023-08-06	evo-2023	132321	Julio	1604	104
2023-08-06	evo-2023	212351	GamerBee	1604	104
2023-08-06	evo-2023	224697	Caba	1604	104
2023-08-06	evo-2023	616064	Fujimura	1604	104
2023-08-06	evo-2023	561804	KR_Wrestlingman	1603	103
2023-08-06	evo-2023	379268	Big Bird	1601	101
2023-08-06	evo-2023	138008	HAITANI	1600	100
2023-08-06	evo-2023	3500727	Ramos	1598	98
2023-08-06	evo-2023	67022	Bass	1596	96
2023-08-06	evo-2023	131806	SR NuckleDu	1595	95
2023-08-06	evo-2023	184121	FlashMetroid	1595	95
2023-08-06	evo-2023	842619	Blaizzy	1595	95
2023-08-06	evo-2023	184798	PortaJon	1594	94
2023-08-06	evo-2023	277358	Momochi	1594	94
2023-08-06	evo-2023	755025	GentlemanThief	1591	91
2023-08-06	evo-2023	859219	Masoma	1590	90
2023-08-06	evo-2023	131184	hsien	1589	89
2023-08-06	evo-2023	138015	Mago	1588	88
2023-08-06	evo-2023	173349	Diaphone	1588	88
2023-08-06	evo-2023	2825566	Grim	1588	88
2023-08-06	evo-2023	139339	Speedkicks	1587	87
2023-08-06	evo-2023	1225255	Daisuke	1587	87
2023-08-06	evo-2023	1451241	TheSticky	1587	87
2023-08-06	evo-2023	155429	ChrisCCH	1583	83
2023-08-06	evo-2023	401790	Ryusei	1583	83
2023-08-06	evo-2023	557282	Seo	1583	83
2023-08-06	evo-2023	135344	Semiij	1582	82
2023-08-06	evo-2023	623395	Valmaster	1582	82
2023-08-06	evo-2023	266549	GO1	1581	81
2023-08-06	evo-2023	3505115	jaccy	1581	81
2023-08-06	evo-2023	376274	Reynald	1580	80
2023-08-06	evo-2023	62954	Charlie	1579	79
2023-08-06	evo-2023	872530	COMBO FIEND	1579	79
2023-08-06	evo-2023	2001756	Atma_	1578	78
2023-08-06	evo-2023	375818	Edma	1577	77
2023-08-06	evo-2023	632437	Higuchi	1577	77
2023-08-06	evo-2023	1167693	Yami	1577	77
2023-08-06	evo-2023	1257257	Torimeshi	1577	77
2023-08-06	evo-2023	1791717	Hikaru	1577	77
2023-08-06	evo-2023	71285	Sultan	1576	76
2023-08-06	evo-2023	140787	Samurai	1576	76
2023-08-06	evo-2023	149240	Babushas	1576	76
2023-08-06	evo-2023	228743	NL	1576	76
2023-08-06	evo-2023	404377	John Takeuchi	1576	76
2023-08-06	evo-2023	486860	Shuto	1576	76
2023-08-06	evo-2023	1345485	Adrian Riven	1576	76
2023-08-06	evo-2023	657291	Chato	1575	75
2023-08-06	evo-2023	2450920	Scythe	1575	75
2023-08-06	evo-2023	348614	Punisher	1574	74
2023-08-06	evo-2023	245461	Burkish	1573	73
2023-08-06	evo-2023	3285802	小路KOG	1573	73
2023-08-06	evo-2023	226777	Wing	1572	72
2023-08-06	evo-2023	581205	Duston	1572	72
2023-08-06	evo-2023	671813	koopaa13	1572	72
2023-08-06	evo-2023	139983	SonicFox	1571	71
2023-08-06	evo-2023	237340	Phenom	1571	71
2023-08-06	evo-2023	285391	Chachi	1571	71
2023-08-06	evo-2023	527580	Jiro	1571	71
2023-08-06	evo-2023	553362	BlackHondaAccordActivity	1571	71
2023-08-06	evo-2023	565962	Fenritti	1571	71
2023-08-06	evo-2023	979448	Dyloch	1571	71
2023-08-06	evo-2023	186279	MaggotSai	1570	70
2023-08-06	evo-2023	404179	Tachikawa	1570	70
2023-08-06	evo-2023	2441054	Ryukichi	1570	70
2023-08-06	evo-2023	315529	Imstilldadaddy	1569	69
2023-08-06	evo-2023	1228620	Yanai	1569	69
2023-08-06	evo-2023	13852	SaltyParis	1567	67
2023-08-06	evo-2023	527731	Verfortiso	1567	67
2023-08-06	evo-2023	1135542	HorusPaulin	1567	67
2023-08-06	evo-2023	1816209	NoahTheProdigy	1567	67
2023-08-06	evo-2023	135910	Daigo	1566	66
2023-08-06	evo-2023	260279	A F0xy Grampa	1566	66
2023-08-06	evo-2023	655665	Slice	1566	66
2023-08-06	evo-2023	894065	Noble	1566	66
2023-08-06	evo-2023	1853361	daikoku	1566	66
2023-08-06	evo-2023	3433085	Kusanagi	1566	66
2023-08-06	evo-2023	174929	Zaferino	1565	65
2023-08-06	evo-2023	257397	Enforcer	1565	65
2023-08-06	evo-2023	276621	Skillzilla	1565	65
2023-08-06	evo-2023	359546	UMA327	1565	65
2023-08-06	evo-2023	397336	Marc Pinoy	1565	65
2023-08-06	evo-2023	653609	Storm Eagle	1565	65
2023-08-06	evo-2023	34456	Dapvip	1564	64
2023-08-06	evo-2023	233884	Mia	1564	64
2023-08-06	evo-2023	327575	sako	1564	64
2023-08-06	evo-2023	1950916	Yunjabes	1564	64
2023-08-06	evo-2023	2281116	Giyu_PC	1564	64
2023-08-06	evo-2023	3482046	YesImDemonHead	1564	64
2023-08-06	evo-2023	3030176	Sneiru	1563	63
2023-08-06	evo-2023	3506838	SmoothOperator	1563	63
2023-08-06	evo-2023	60446	Bip	1562	62
2023-08-06	evo-2023	158203	YaNoob	1562	62
2023-08-06	evo-2023	752723	DeathN0te	1562	62
2023-08-06	evo-2023	1136758	Jorgito	1562	62
2023-08-06	evo-2023	1578352	walnutcon	1562	62
2023-08-06	evo-2023	3505109	Ricki Ortiz	1562	62
2023-08-06	evo-2023	66912	FindMyFarms	1561	61
2023-08-06	evo-2023	172302	DRDANNYPHAM	1561	61
2023-08-06	evo-2023	338696	ACQUA	1561	61
2023-08-06	evo-2023	393894	og_killakam	1561	61
2023-08-06	evo-2023	487424	pugera	1561	61
2023-08-06	evo-2023	590198	LuckyD	1561	61
2023-08-06	evo-2023	679474	Veggey	1561	61
2023-08-06	evo-2023	699782	Kilzyou	1561	61
2023-08-06	evo-2023	1020102	Hakuna Merkava	1561	61
2023-08-06	evo-2023	1574500	CAG/eita	1561	61
2023-08-06	evo-2023	315062	GamersOT_ELPepe	1560	60
2023-08-06	evo-2023	324161	OsakaBird	1560	60
2023-08-06	evo-2023	341210	Mugs	1560	60
2023-08-06	evo-2023	378803	Kichipa	1560	60
2023-08-06	evo-2023	417956	UNION YOGA	1560	60
2023-08-06	evo-2023	570381	RobertRorio	1560	60
2023-08-06	evo-2023	2899160	CeroBlast	1560	60
2023-08-06	evo-2023	3492191	Master	1560	60
2023-08-06	evo-2023	61001	Squall	1559	59
2023-08-06	evo-2023	265177	Rico Suave	1559	59
2023-08-06	evo-2023	314715	Itabashi Zangief	1559	59
2023-08-06	evo-2023	141329	Dual Kevin	1558	58
2023-08-06	evo-2023	146079	Stealth	1558	58
2023-08-06	evo-2023	153788	Cousinmike	1558	58
2023-08-06	evo-2023	158492	Kira	1558	58
2023-08-06	evo-2023	529496	Uriel Velorio	1558	58
2023-08-06	evo-2023	1614920	Energy	1558	58
2023-08-06	evo-2023	3010238	Fuznoh	1558	58
2023-08-06	evo-2023	3093062	Raidhyn	1558	58
2023-08-06	evo-2023	3448601	mauibrad	1558	58
2023-08-06	evo-2023	56358	Inbizzinox	1557	57
2023-08-06	evo-2023	62620	JCampos	1557	57
2023-08-06	evo-2023	529187	Raoh	1557	57
2023-08-06	evo-2023	616069	Johnny	1557	57
2023-08-06	evo-2023	863661	Kayne	1557	57
2023-08-06	evo-2023	3006933	Aaron M	1557	57
2023-08-06	evo-2023	3439501	Insamity	1557	57
2023-08-06	evo-2023	3500650	shawneo	1557	57
2023-08-06	evo-2023	66297	Filipinoman	1556	56
2023-08-06	evo-2023	147466	NYCMastermike	1556	56
2023-08-06	evo-2023	157225	Nephew	1556	56
2023-08-06	evo-2023	226552	Jard	1556	56
2023-08-06	evo-2023	320332	A$AP R1CKY	1556	56
2023-08-06	evo-2023	340006	Viscant	1556	56
2023-08-06	evo-2023	412798	DeathTheSerge	1556	56
2023-08-06	evo-2023	415068	Mizuha	1556	56
2023-08-06	evo-2023	500751	Xombat	1556	56
2023-08-06	evo-2023	683508	Tony_Shuai	1556	56
2023-08-06	evo-2023	796357	Skyll	1556	56
2023-08-06	evo-2023	861163	Naji	1556	56
2023-08-06	evo-2023	1154814	Kawano	1556	56
2023-08-06	evo-2023	1987015	COUrbanFlow	1556	56
2023-08-06	evo-2023	2098545	H-DOPE	1556	56
2023-08-06	evo-2023	338795	HotDog29	1555	55
2023-08-06	evo-2023	347833	JONATHAN DONUTS	1555	55
2023-08-06	evo-2023	415865	KBeast	1555	55
2023-08-06	evo-2023	521736	Mortsy	1555	55
2023-08-06	evo-2023	1452345	Zensei	1555	55
2023-08-06	evo-2023	2605147	こく兄	1555	55
2023-08-06	evo-2023	3367865	Juke Jackson	1555	55
2023-08-06	evo-2023	3504797	Nightwing1832	1555	55
2023-08-06	evo-2023	67518	Nightmore	1554	54
2023-08-06	evo-2023	339687	Chris Wong	1554	54
2023-08-06	evo-2023	596463	Young_Gouki	1554	54
2023-08-06	evo-2023	630841	DCrimes	1554	54
2023-08-06	evo-2023	2209027	kepler	1554	54
2023-08-06	evo-2023	58560	BigHyung	1553	53
2023-08-06	evo-2023	149529	Qeuw	1553	53
2023-08-06	evo-2023	157940	Hoishi	1553	53
2023-08-06	evo-2023	270918	CJ Truth	1553	53
2023-08-06	evo-2023	341038	Masaka	1553	53
2023-08-06	evo-2023	415553	Pencil	1553	53
2023-08-06	evo-2023	1061039	Careka	1553	53
2023-08-06	evo-2023	3506022	KneeManD	1553	53
2023-08-06	evo-2023	57141	Kizzie Kay	1552	52
2023-08-06	evo-2023	139993	Xiaohai	1552	52
2023-08-06	evo-2023	175308	fibonacci	1552	52
2023-08-06	evo-2023	184440	MJ_Gama	1552	52
2023-08-06	evo-2023	245963	Grr	1552	52
2023-08-06	evo-2023	279935	KingMike	1552	52
2023-08-06	evo-2023	354184	ELECTRIBE	1552	52
2023-08-06	evo-2023	354698	SorcererTwyx	1552	52
2023-08-06	evo-2023	458267	Jinsei	1552	52
2023-08-06	evo-2023	1343601	A_Rival	1552	52
2023-08-06	evo-2023	2654403	Kameamea	1552	52
2023-08-06	evo-2023	67153	CFEviper	1551	51
2023-08-06	evo-2023	244312	IslandBoy	1551	51
2023-08-06	evo-2023	272117	Li	1551	51
