date	tournament	playerId	playerTag	rating	diff_from_last
2023-08-06	evo-2023	224650	MenaRD	1674	-17
2023-08-06	evo-2023	624333	NASR|AngryBird	1654	17
2023-08-06	evo-2023	224650	MenaRD	1691	9
2023-08-06	evo-2023	624333	NASR|AngryBird	1637	-9
2023-08-06	evo-2023	224650	MenaRD	1682	9
2023-08-06	evo-2023	240230	Punk	1635	-9
2023-08-06	evo-2023	224650	MenaRD	1673	9
2023-08-06	evo-2023	148527	Tokido	1619	-9
2023-08-06	evo-2023	148527	Tokido	1628	10
2023-08-06	evo-2023	1366617	Kakeru	1613	-10
2023-08-06	evo-2023	224650	MenaRD	1664	13
2023-08-06	evo-2023	138008	HAITANI	1600	-13
2023-08-06	evo-2023	624333	NASR|AngryBird	1646	11
2023-08-06	evo-2023	240230	Punk	1644	-11
2023-08-06	evo-2023	240230	Punk	1655	17
2023-08-06	evo-2023	138008	HAITANI	1613	-17
2023-08-06	evo-2023	624333	NASR|AngryBird	1635	10
2023-08-06	evo-2023	1366617	Kakeru	1623	-10
2023-08-06	evo-2023	148527	Tokido	1618	16
2023-08-06	evo-2023	385095	Nemo	1606	-16
2023-08-06	evo-2023	224650	MenaRD	1651	17
2023-08-06	evo-2023	616064	Fujimura	1604	-17
2023-08-06	evo-2023	148527	Tokido	1602	16
2023-08-06	evo-2023	131806	SR NuckleDu	1595	-16
2023-08-06	evo-2023	565873	Fuudo	1627	-17
2023-08-06	evo-2023	385095	Nemo	1622	17
2023-08-06	evo-2023	224650	MenaRD	1634	16
2023-08-06	evo-2023	395486	moke	1622	-16
2023-08-06	evo-2023	616064	Fujimura	1621	16
2023-08-06	evo-2023	214100	Oil King	1606	-16
2023-08-06	evo-2023	131806	SR NuckleDu	1611	10
2023-08-06	evo-2023	224697	Caba	1604	-10
2023-08-06	evo-2023	565873	Fuudo	1644	14
2023-08-06	evo-2023	277358	Momochi	1594	-14
2023-08-06	evo-2023	395486	moke	1638	16
2023-08-06	evo-2023	232824	Bonchan	1627	-16
2023-08-06	evo-2023	214100	Oil King	1622	16
2023-08-06	evo-2023	2360463	Yamaguchi	1617	-16
2023-08-06	evo-2023	405023	Machabo	1614	-11
2023-08-06	evo-2023	131806	SR NuckleDu	1601	11
2023-08-06	evo-2023	224697	Caba	1614	9
2023-08-06	evo-2023	1257257	Torimeshi	1577	-9
2023-08-06	evo-2023	565873	Fuudo	1630	14
2023-08-06	evo-2023	632437	Higuchi	1577	-14
2023-08-06	evo-2023	327935	TODAKAI	1615	-17
