Event	FinalPlacement	CPTPoint	PlayerId
BLINK RESPAWN 2025	1	0	565873
BLINK RESPAWN 2025	2	300	277358
BLINK RESPAWN 2025	3	250	395486
BLINK RESPAWN 2025	4	200	183027
BLINK RESPAWN 2025	5	150	3433085
BLINK RESPAWN 2025	5	150	356363
BLINK RESPAWN 2025	7	100	157225
BLINK RESPAWN 2025	7	100	404179
BLINK RESPAWN 2025	9	50	3935651
BLINK RESPAWN 2025	9	50	2151987
BLINK RESPAWN 2025	9	50	404377
BLINK RESPAWN 2025	9	50	2056200
BLINK RESPAWN 2025	13	30	385608
BLINK RESPAWN 2025	13	30	3524304
BLINK RESPAWN 2025	13	30	3757151
BLINK RESPAWN 2025	13	30	314715
BLINK RESPAWN 2025	17	20	224650
BLINK RESPAWN 2025	17	20	3674027
BLINK RESPAWN 2025	17	20	2360463
BLINK RESPAWN 2025	17	20	1455289
BLINK RESPAWN 2025	17	20	138015
BLINK RESPAWN 2025	17	20	4143648
BLINK RESPAWN 2025	17	20	135910
BLINK RESPAWN 2025	17	20	3997827
BLINK RESPAWN 2025	25	10	1816209
BLINK RESPAWN 2025	25	10	140787
BLINK RESPAWN 2025	25	10	632437
BLINK RESPAWN 2025	25	10	148527
BLINK RESPAWN 2025	25	10	131806
BLINK RESPAWN 2025	25	10	2275003
BLINK RESPAWN 2025	25	10	590232
BLINK RESPAWN 2025	25	10	1849364
BLINK RESPAWN 2025	33	0	141329
BLINK RESPAWN 2025	33	0	224697
BLINK RESPAWN 2025	33	0	3602046
BLINK RESPAWN 2025	33	0	291259
BLINK RESPAWN 2025	33	0	2957267
BLINK RESPAWN 2025	33	0	327935
BLINK RESPAWN 2025	33	0	232824
BLINK RESPAWN 2025	33	0	1791717
BLINK RESPAWN 2025	33	0	699782
BLINK RESPAWN 2025	33	0	1231457
BLINK RESPAWN 2025	33	0	214100
BLINK RESPAWN 2025	33	0	1408573
BLINK RESPAWN 2025	33	0	314782
BLINK RESPAWN 2025	33	0	141095
BLINK RESPAWN 2025	33	0	2461262
BLINK RESPAWN 2025	33	0	173790
BLINK RESPAWN 2025	49	0	2338548
BLINK RESPAWN 2025	49	0	529496
BLINK RESPAWN 2025	49	0	376041
BLINK RESPAWN 2025	49	0	370479
BLINK RESPAWN 2025	49	0	291254
BLINK RESPAWN 2025	49	0	1545059
BLINK RESPAWN 2025	49	0	3761831
BLINK RESPAWN 2025	49	0	618597
BLINK RESPAWN 2025	49	0	3518091
BLINK RESPAWN 2025	49	0	295103
BLINK RESPAWN 2025	49	0	70855
BLINK RESPAWN 2025	49	0	487424
BLINK RESPAWN 2025	49	0	1373583
BLINK RESPAWN 2025	49	0	309520
BLINK RESPAWN 2025	49	0	240230
BLINK RESPAWN 2025	49	0	3869487
BLINK RESPAWN 2025	65	0	3562151
BLINK RESPAWN 2025	65	0	3470973
BLINK RESPAWN 2025	65	0	3955367
BLINK RESPAWN 2025	65	0	3510664
BLINK RESPAWN 2025	65	0	1194046
BLINK RESPAWN 2025	65	0	309738
BLINK RESPAWN 2025	65	0	148844
BLINK RESPAWN 2025	65	0	262917
BLINK RESPAWN 2025	65	0	2396793
BLINK RESPAWN 2025	65	0	1706282
BLINK RESPAWN 2025	65	0	292318
BLINK RESPAWN 2025	65	0	557414
BLINK RESPAWN 2025	65	0	902206
BLINK RESPAWN 2025	65	0	226786
BLINK RESPAWN 2025	65	0	751061
BLINK RESPAWN 2025	65	0	1167759
BLINK RESPAWN 2025	65	0	4835645
BLINK RESPAWN 2025	65	0	449179
BLINK RESPAWN 2025	65	0	148649
BLINK RESPAWN 2025	65	0	312297
BLINK RESPAWN 2025	65	0	3550419
BLINK RESPAWN 2025	65	0	174929
BLINK RESPAWN 2025	65	0	4323279
BLINK RESPAWN 2025	65	0	3470459
BLINK RESPAWN 2025	65	0	1686352
BLINK RESPAWN 2025	65	0	364494
BLINK RESPAWN 2025	65	0	4855687
BLINK RESPAWN 2025	65	0	1110106
BLINK RESPAWN 2025	65	0	294549
BLINK RESPAWN 2025	65	0	3410047
BLINK RESPAWN 2025	65	0	1182949
BLINK RESPAWN 2025	65	0	4728058
BLINK RESPAWN 2025	97	0	312188
BLINK RESPAWN 2025	97	0	707470
BLINK RESPAWN 2025	97	0	314847
BLINK RESPAWN 2025	97	0	217555
BLINK RESPAWN 2025	97	0	359492
BLINK RESPAWN 2025	97	0	1282873
BLINK RESPAWN 2025	97	0	180265
BLINK RESPAWN 2025	97	0	3942067
BLINK RESPAWN 2025	97	0	395559
BLINK RESPAWN 2025	97	0	3799232
BLINK RESPAWN 2025	97	0	4649244
BLINK RESPAWN 2025	97	0	2829089
BLINK RESPAWN 2025	97	0	4546666
BLINK RESPAWN 2025	97	0	2647522
BLINK RESPAWN 2025	97	0	3013159
BLINK RESPAWN 2025	97	0	1891878
BLINK RESPAWN 2025	97	0	1834496
BLINK RESPAWN 2025	97	0	273135
BLINK RESPAWN 2025	97	0	1212629
BLINK RESPAWN 2025	97	0	1359488
BLINK RESPAWN 2025	97	0	1013237
BLINK RESPAWN 2025	97	0	4832921
BLINK RESPAWN 2025	97	0	359795
BLINK RESPAWN 2025	97	0	1162926
BLINK RESPAWN 2025	97	0	2513272
BLINK RESPAWN 2025	97	0	4123770
BLINK RESPAWN 2025	97	0	621189
BLINK RESPAWN 2025	97	0	3485403
BLINK RESPAWN 2025	97	0	2116122
BLINK RESPAWN 2025	97	0	949855
BLINK RESPAWN 2025	97	0	375663
BLINK RESPAWN 2025	97	0	4672258
BLINK RESPAWN 2025	129	0	1861259
BLINK RESPAWN 2025	129	0	315690
BLINK RESPAWN 2025	129	0	870393
BLINK RESPAWN 2025	129	0	429658
BLINK RESPAWN 2025	129	0	2936520
BLINK RESPAWN 2025	129	0	1923402
