PlayerId	GamerTag	CountryCode	Birthday
3670	kevbot	us	
4194	trifmoney	us	
4203	laundry guy	us	
4256	DZhangarang	us	
4702	Dabuz	us	
4945	Demo	us	
7134	Triplestagger	us	
7275	Co-op	us	
7604	Wisely	us	
7670	ShimmyOnishi	us	
9596	Spills	us	
10275	Vesetnet	us	
10336	Riddly	us	
10663	shankt	kr	
10779	TheDarkestLink		August 9
11471	Smirked	us	
13525	Skeletor	us	
13655	MattyICE774	us	
13765	Help		
14690	LEGOF (レゴフ)		
15781	kamome	us	
15881	Business Raptor	us	
15962	Dole	us	
16189	ric	us	
16487	CMac	us	
21532	DrWho	us	
21543	Green Hayato	us	
22383	Xisin	us	December 24, 1985
22436	PrinceLeif	us	
22515	MILK	us	
22806	Sherryjenix	us	
23251	Preyter	us	
23723	Landon	us	
23875	SMOOTHMOVES22	us	
24721	ChaosDunk	us	
24975	ColdWeatherr	us	
25999	EvilPeanutNuke	us	
27220	Durm	us	
27597	GreyArsenic	us	
28048	Junko	gb	
28140	Lazyboredom	us	
29068	Pevan	us	
29683	ConvictedofFun	us	
29701	DB	us	
29756	JWong	ca	
29760	TorriK0	us	
29787	corjam	us	
29980	Luna-Gabs	us	
30033	Prime D	us	
30153	Tacoz	us	
31832	Adam_Bommb	us	
32664	cambark	us	
33036	S_Cero	us	
33365	HarryParryTestes		
33405	Notty	jp	
34747	Knuckle Jr	us	
36149	Zork	us	
36311	Sulk Hogan	us	
36321	Pete Weber	us	
37287	Gamegenie222	us	
37677	CokeMilk	us	October 15
37735	Papa Mink	us	
37881	NoGoodCitizen	us	
39081	Joshking	us	
40752	Bambi	us	
40804	Dinlee	us	
40954	Jayford	us	
41372	Basura Grande	us	
45900	Frosty	us	
47574	El Cubano Loco	us	
48361	Abbey Street	ca	
48808	LupinTheTurd	ca	
49030	Garm	us	
49225	Adrian	us	April 2
49370	JesusIsKing	us	
49398	Pon	jp	
50706	Apollo Ali	us	
51204	Jebailey	us	
52008	Vybe	us	
53467	Earl	us	
53944	Juneau	us	
54467	Quote.EX	us	
55106	Shami	us	
55170	Nitten	us	
55301	Chadgawd	us	
55840	4cJoe	us	
55858	CheesyPotato		
56607	LostSoul	us	
56769	TCG	us	
57356	PersonalityMain	us	
57584	Cobalt	us	
57867	Hisoka	us	
57934	ThatMeanScene	us	
57951	Affinity	us	
57986	Bloodzure	us	
58564	Zagnes	us	
58575	hutch00	us	
58998	D3ADLYKANSAS	us	
59140	Orwando	us	
60424	FEAR	us	
60521	SFHappyFeet	us	
60804	Skillmammu	ca	June 3
60978	Magnegro	us	
60981	Nice1	us	
60989	DaFeetLee	us	
61001	Squall	us	
61007	teamkhris	us	
61021	Blitzbeater	us	
61089	4H Tim	us	September 9, 1989
61137	Silent E	us	
61882	VickiViper	us	
62097	LucasinoGamble	us	
62365	HarmonicTunes	us	
62374	Tan-Tan	us	
62584	KicksLaFlare	us	
62620	JCampos	mx	
62650	Rusty	us	
62674	Indigo	us	
62684	Dr.00	us	
62910	ChrisWin.EX	us	
63209	Teri	us	September 4
63220	Mono	pr	
63242	J. Caesar II	us	
63410	Brian_F		
63751	Weavi	us	March 13
63877	John Doe	us	
64285	Chrono	us	
64451	GnarlyFeats	us	
64470	Clim	ca	
64474	silverfuck	us	
64803	fit3amir	my	
65391	ImageOmega		
65808	Wraith	us	
65895	StriderVS	us	
65963	Logan	us	
65981	SimpleTricks	us	
66083	EdgeofNotion	us	
66196	Shin Tristan	us	
66937	DEMON		
67022	Bass	us	
67151	Slip	us	
67428	MOTHMAN	us	
67627	Maxninja	us	
67727	Crim	us	
67836	Bobcustomgamer	us	
68059	iib3Rt	us	
68421	trippy	us	
68626	Tintin	us	
69036	ArcTangent	us	
69060	Stupendous	us	
69288	AVJ	us	
69554	nodthenbow	ca	
70837	Spicy Steve	us	
70855	KUSANAGI	mx	
71092	LUPASAN	us	
71093	Shadow Behemoth	us	
71238	ValkyrieKoji	us	
71276	Alpho King	us	
71325	Burnoutfighter	kr	
71599	Servo	us	
72218	Pazure	us	
126181	ZachInABox	us	
126705	fubarduck	jp	
126707	David Le	us	
126719	Grand Pastor J	us	
126788	Steek	us	
127664	Floridian Demon	us	
129320	Senu	us	
129413	Mash	us	
129707	Coco	us	
130114	Tehu	us	
130570	EBjeebies	us	
130676	Arago	us	
131098	sticky	ca	
131147	Poutawn	us	
131476	Cuby_ken	us	
131537	Musa	us	
131806	SR NuckleDu	us	
131875	shadowstew	us	
132434	FRANK LOTION	us	
132567	Banestar	us	
134680	Beverage55	us	
135344	Semiij	us	
135910	DAIGO	jp	
136158	SirHonor	us	
137226	Jarbo	us	
137239	KillerKai	us	
137291	Alex Smith	us	
137374	King-Raichu	us	
137388	Slacker	us	
137472	HectorPutrid	us	
137527	Dustyfeets	us	
137752	GONDO	jp	
138005	Feo Grande	us	
138008	HAITANI		
138015	Mago	jp	
138410	(superfelon)	us	
138743	Ternell	us	
138747	OH!KneeSan	us	
138851	Space Boy	us	
138930	Soap	us	
139651	TotallyDrew	us	
139671	PRBalrog	us	
139899	Gallant	us	
139930	Kane Blueriver	cl	
139963	Zerp	us	
139964	B.G.	us	
140014	Shine		
140048	blendoben	us	
140052	Geobraun	us	
140077	TK	us	
140126	dickson	us	
140132	Mike Webb	us	
140575	Shin	jp	
140622	PBTuft	us	
140627	Holdy	us	
140787	Samurai	us	
141095	ChrisT		
141099	TJ Glenn	us	
141264	MeleeMaster6	us	
141329	Dual Kevin	us	
141330	StaticGorilla	us	
142118	AceUnlimited	us	
142150	Nate Fearless	us	
142296	Olympiq	us	
142817	JAYFORCE	us	
143039	Spii_D._Mikey	us	
143468	Nagato	us	
144238	KemetBrotha	us	
146079	Stealth	us	
146163	Tofu	ca	
146435	Armoredx	us	
146443	BlueBit	us	
146905	juice	us	
147105	WashYourHands	ca	
147241	Demonica	us	
147248	K-Brad	us	
147357	GarvyTrain	us	
147558	Zaidi	us	
147707	Kamrin	us	
147729	Zynro	us	
147753	Coosco	us	
147755	Crespo	us	
147900	ElChakotay	us	
148181	FrutyCocoPebles	us	
148305	Snapplecap	us	
148458	Thunder DeLangis	ca	
148485	RicharizardR	us	
148527	Tokido	jp	
148649	NYChrisG	us	
148679	AlexNoah	us	June 27
148764	FloridaboyYC	us	
148776	KV	us	
148794	EEK!	us	
148829	DeAnthrax	us	
148840	Koin	us	
148844	Jiewa	cn	
148863	ColdPipe	us	
149013	Kiu	us	
149962	Rosé Ray	us	
150120	VHS-Player	us	
150171	chickncup	us	
150202	Kpop Hwani	us	
150228	CG Sonicboom	us	
150317	Dragonglove	us	
150364	comeback386	us	
150531	Kasiski	us	
150845	Aceman	us	
151396	NeromaticWolf	us	
151613	CANDIDfellow	us	
151829	DanielRGT	us	
153186	CrystalFighter1	us	
153316	wubbiq	us	
153524	Element	us	
153881	Bubbledotjpg	us	
154091	Ramsey	us	
154647	Gatchaman	ca	
154742	pppatrick	ca	
155262	Mams92	us	
155949	Homie	us	
156545	Eon	us	
156811	Triiiclops	us	
156936	Barry	us	
156937	S-Dell	us	
157225	Nephew	us	
157335	The1TrueChaos	us	
157755	Dirty Llama	us	
157900	Dracostel		
158044	Kyonmode	ca	
158339	ReyDelEmpire	jp	
158588	Somner	us	
159946	Tux	us	
160099	Tenfold	ca	
160131	Ampsen	us	
160464	Riddles	ca	
170652	Wagner	us	
170962	Madao	us	
171126	seveleii	jp	
171490	ScrawtVermillion	us	
171674	FuLLBLeeD	us	
172265	Willo	gb	
172538	KenWithGlasses	us	
173267	MrMaday	us	
173349	Diaphone	us	
173506	Cujo Kate	us	
174929	Zaferino	us	
174933	Nacer	us	
174936	KINGMAN	us	
174967	NGamer3k	us	
175085	Zed	us	
175147	2D	us	
175281	Mattikus_	us	
175316	Kevin Teque	us	
175773	Shady	us	
175841	Latino_Link	us	
176632	Skeletor	us	
176820	ShadowPayaso	us	
176843	Dougie	us	
177096	n0thingman		
180191	LetalisVenator	us	
180262	Xen	us	
181942	DeadlyChicano	us	
182119	KJMASTA	us	
182135	Murtuoso	pr	
182596	Chris_F	jp	
183027	Psycho	us	
183585	Professor Lex	us	
184121	FlashMetroid	us	
184440	MJ_Gama	mx	
185827	TheHadou	us	
185981	DiabloBison	us	
186553	Savion	us	
191149	Rakali	us	
198947	Who, me?	us	
199136	chielover	us	
199557	Rock 'n Rollback		
200060	JDR	us	March 11, 1996
206515	Jean-Carlo	mx	
211447	Juggernaut	us	
211707	YummyYum	us	
211856	dinotail	us	
212351	GamerBee	tw	
213861	D3King	us	
214100	Oil King	tw	
214109	Mataso	us	
214928	Jobber	us	
215127	Richer	us	
215135	Cysteen	us	
215276	Broon	us	
215353	Shade	us	
216334	Super Raptor	us	
216641	AndyOCR	us	
217387	Sol GoodGuy	us	
217587	SpongeJordan		
218532	Glutton	us	
219793	HANSON	us	
220196	ColdBurn	ca	
220556	Taku|Da|Awsum	us	
221066	bgenio	us	
221119	Chaidez	us	
221585	TEEJ	us	
223552	LowFlow	us	
224299	Leviathan	us	
224650	MenaRD	do	
224697	Caba	do	
224971	Robin Legacy	ca	
225172	FearSymphony	us	
225272	Splatoon Enjoyer	us	
225400	jonsf	us	
225548	Bwead	us	
225879	All Of Guardin'	us	
225907	@WheelsFGC	us	
225974	Lilac!		
226151	Reiketsu	jp	
226199	Afroenigma	us	
226374	ThotBusterNo1	us	
226786	JAK	us	
226884	Drake	us	
227226	Fierce	us	
227233	Starmar		
228089	Travnks	us	
228743	NL	kr	
228746	KOREYTHEDRAGON	us	
228834	Gilky	us	
231317	Pickle Stein	us	
231416	Faker	us	
231680	Lil' Evil	us	
232171	Bash Williams	us	
232590	FcAgent	us	
232824	Bonchan	jp	
232899	Couch	us	
233099	Skeezer	us	
234517	swiftzx	us	
234825	banjo	us	
237340	Phenom	no	
240230	Punk	us	
240323	SALPACINO	us	
240785	TIGERKHAN	us	
242353	Turtles	us	
243844	Loxe	us	
244116	Grab	us	
245461	Burkish	us	
246630	シーナ	jp	
247463	reverbA3		
247963	INeedFruit	gb	
248724	Frankie G	us	
250744	たけ(melee player)	jp	
250757	Donkos	jp	
253698	Emperor	us	
253749	Mochapandakupo	us	
253801	Ego	us	
254201	a2brandon	us	
254252	Sketch	us	
254352	KK AllTheWay		
254549	Sythe	au	
254586	GoodNormals	us	
257033	Docta Afrikan.EX	us	
257924	GEN D	us	
257927	JaMarvelous	us	
258173	chrisymandias	us	
258193	Ghostman	us	
258755	Nintenjoe86	us	
258815	99centMcFury	us	
258850	Chris Chaos	us	
259655	Ohgrr		
259675	Brixbro	se	
259696	YungTate	us	
259714	robo	us	
259748	Diddy Sinatra	us	
259852	big mo	us	
259904	Mother Chorizo	us	
259996	Doctor No	us	
260016	Razing Phoenix	us	
260259	Eratikk Menace	us	
260272	SouljaGod	us	
260318	Kenshiro_FGC	us	
260376	RamenHoodlum	us	
260764	Xx KI STREET xX		
260934	Seth	us	
261213	JB	us	
261406	Kubisa	gb	
261426	Dawong	bs	
261902	tarotimeFL	us	
262051	TwiF	fr	
262833	Goldeneye161	us	
263431	Shogun17	us	
263534	TheRisingDragon	us	
264107	Mr Mostafles	us	
265507	Lanimal	us	
265887	Raven is Raw	us	
266220	Stompinstein	us	
266493	Dogura	jp	
266549	GO1	jp	
266826	PheNOM	us	
267562	man i love glizzys	us	
267614	CJ	us	
268140	Drama	us	
270350	JumboTurbo	us	
270786	AaronS	us	
272197	Nuttacon	us	
272480	Larken	us	
272575	yoshito	jp	
272656	Aurich	us	
272691	Robbie V.	us	
272790	ewaller	us	
273047	Cakestina	us	
273623	ZachCat	us	
273727	MinohThreat	jp	
274186	Shwerpy		
274494	Johnny Volcano	us	
275052	CbusToxic	us	
275557	Sugar	jp	
276765	06shin		
277312	Sheepyhead	us	
277358	Momochi	jp	
277365	ChocoBlanka	jp	
279942	Overhaul	us	
281085	あず		
281087	SCORE	jp	
281348	Iggy	us	
282021	cosmic_blade	us	
282050	miochiko	jp	
282715	Meowscarada	jp	
283529	ArmoredDeath	us	
283922	2G Or-Not2G	us	
284208	Bluprint4	us	
284640	NikofTime	us	
284643	Astarte	us	
285508	Nothin Special		
286021	Graddy	us	
286412	Vermilion	us	
288737	azormx	us	
290538	Carnage		
291259	LuiMan20	do	
293516	BadMatchupGaming		
295103	Xian	sg	
297220	Cronux	us	
297259	FREESER	au	
299044	Fearpig	us	
299390	Apollo Armando	us	
300164	PhantomThief	us	
301331	Solred	us	
302527	rairai	jp	
302710	Hero	us	
306937	dosboxfalco	us	
307762	wtfalcon		
308425	Mr_96atl	us	
308734	Tringy	us	
311229	Death As A Gift	us	
311690	CezarLeo	us	
312149	Misterkeebler	us	
312174	Rizzo	us	
312953	takera	jp	
313153	Traestarr	us	
313909	CamPaine	us	
314142	Spoon	us	
314715	Itabashi Zangief	jp	
314782	Problem X	gb	
315183	Rafados	my	
315188	MindRPG	th	
315464	Owain	us	
315529	Imstilldadaddy	gb	
315621	CuddleFiend	us	
315747	Healing Vision	us	
316177	UFO	us	
316312	Jeuno	us	
316632	Geez	us	
317140	Joe Rod	us	
317564	Solidus	us	
318096	Quis	us	
318181	dameninngenn	jp	
318418	C. YA	us	
318722	Westinulk	us	
319526	Kevon	ar	
319892	Lil'Fox <3	hu	
320332	A$AP R1CKY	us	
320631	Crowlak	pt	
320833	blinn	us	August 10, 1998
320899	Jona	mx	
322869	Danny	us	
323018	Hoyt	us	
323152	GeorgeM01	us	
323353	Tyrant	gb	
323524	HIKARU	jp	
324019	Phos	us	
324033	Roxas	my	
325962	ddgreen94	us	
326261	Blue Thunder	us	
326923	Klimax	us	
327575	sako	jp	
327752	天地	jp	
327771	koike	jp	
327935	GranTODAKAI.EX	pa	
329079	Boogie Lopez	us	
330010	Ninjam0nk	us	
331339	shichimi	jp	
331772	Lestat	mx	
331900	kogatan		
331926	zuka	jp	
336658	Super_aMac_Rap	us	
336765	ikep	jp	
336807	Jimmy1	jp	
336965	NoComboNomar	us	
336999	UMEZONO	jp	
337090	トラボ Trashbox	jp	
337237	T-REX	hk	
337465	G.X	jp	
338091	fumi	jp	
338206	sasaki		
338612	vertigeaux	us	
338696	ACQUA	jp	
338795	HotDog29	hk	
338799	abao	jp	
338811	Humanbomb	hk	
338817	murisin	jp	
339575	伊藤ガブリエル		
339659	Tse4	hk	
339687	Chris Wong	hk	
339747	Machete24X	us	
340564	Crunkstonishing	us	
340902	TheKnightMask	us	
341001	WhiteBl4ck	fr	
341261	しゃけ/Salty SALMON	jp	
341314	EternalPancake	us	
341318	Ke-ya	jp	
343419	night breed 9	us	
343833	PAULINK	us	
346132	NILLZO	jp	
346767	jiyuna	jp	
346850	bklynExpress	us	
346890	アムール	jp	
348162	ROF	au	
348204	Sugi	jp	
348556	NoLife	us	
349029	Ameen	us	
349474	Knee_Khan	us	
