Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-07-21 02:42:10 UTC	BLINK RESPAWN 2025	Top 8	Grand Final Reset	565873	277358	3	1	Dee Jay	Ed
2025-07-21 02:20:18 UTC	BLINK RESPAWN 2025	Top 8	Grand Final	565873	277358	3	2	Ed	Ed
2025-07-21 01:59:41 UTC	BLINK RESPAWN 2025	Top 8	Losers Final	565873	395486	3	2	Ed	Mai
2025-07-21 01:41:09 UTC	BLINK RESPAWN 2025	Top 8	Losers Semi-Final	565873	183027	3	0	Dee Jay	Kimberly
2025-07-21 01:30:54 UTC	BLINK RESPAWN 2025	Top 8	Winners Final	277358	395486	3	1	Ed	Mai
2025-07-21 01:10:22 UTC	BLINK RESPAWN 2025	Top 8	Losers Quarter-Final	565873	3433085	3	0	Ed	Ryu
2025-07-21 01:00:12 UTC	BLINK RESPAWN 2025	Top 8	Losers Quarter-Final	183027	356363	3	2	Kimberly	Rashid
2025-07-21 00:48:09 UTC	BLINK RESPAWN 2025	Top 8	Losers Round 1	565873	404179	3	1	Ed	Manon
2025-07-21 00:35:37 UTC	BLINK RESPAWN 2025	Top 8	Losers Round 1	183027	157225	3	1	Kimberly	Juri
2025-07-21 00:13:24 UTC	BLINK RESPAWN 2025	Top 8	Winners Semi-Final	277358	356363	3	1	Ed	Rashid
2025-07-20 23:57:11 UTC	BLINK RESPAWN 2025	Top 8	Winners Semi-Final	395486	3433085	3	0	Chun-Li	Ryu
2025-07-20 01:26:38 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 3	565873	2056200	2	0	N/A	N/A
2025-07-20 01:16:16 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 3	404179	2151987	2	1	N/A	N/A
2025-07-20 01:07:50 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 3	183027	404377	2	0	N/A	N/A
2025-07-20 00:52:45 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 3	157225	3935651	2	0	N/A	N/A
2025-07-20 00:46:24 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 2	404179	385608	2	1	N/A	N/A
2025-07-20 00:37:00 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 2	2056200	314715	2	1	N/A	N/A
2025-07-20 00:23:53 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 2	3935651	3524304	2	0	N/A	N/A
2025-07-20 00:19:08 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	404179	224650	2	0	N/A	N/A
2025-07-20 00:01:17 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	3524304	2360463	2	1	N/A	N/A
2025-07-19 23:48:26 UTC	BLINK RESPAWN 2025	Top 24	Winners Quarter-Final	277358	2151987	2	1	N/A	N/A
2025-07-19 23:36:44 UTC	BLINK RESPAWN 2025	Top 24	Winners Quarter-Final	356363	565873	2	1	N/A	N/A
2025-07-19 23:33:49 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 2	183027	3757151	2	1	N/A	N/A
2025-07-19 23:28:36 UTC	BLINK RESPAWN 2025	Top 24	Winners Quarter-Final	395486	157225	2	1	N/A	N/A
2025-07-19 23:25:53 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	314715	135910	2	1	N/A	N/A
2025-07-19 23:25:24 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	3757151	1455289	2	1	N/A	N/A
2025-07-19 23:24:44 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	2056200	3674027	2	0	N/A	N/A
2025-07-19 23:22:29 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	183027	4143648	2	0	N/A	N/A
2025-07-19 23:21:14 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	3935651	3997827	2	0	N/A	N/A
2025-07-19 23:18:40 UTC	BLINK RESPAWN 2025	Top 24	Losers Round 1	385608	138015	2	0	N/A	N/A
2025-07-19 23:12:55 UTC	BLINK RESPAWN 2025	Top 24	Winners Quarter-Final	3433085	404377	2	0	N/A	N/A
2025-07-19 23:10:31 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	138015	140787	2	0	N/A	N/A
2025-07-19 22:59:31 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	314715	131806	2	0	N/A	N/A
2025-07-19 22:54:15 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	404377	3674027	2	0	N/A	N/A
2025-07-19 22:47:11 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	277358	3935651	2	0	N/A	N/A
2025-07-19 22:46:39 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	2056200	590232	2	0	N/A	N/A
2025-07-19 22:37:30 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	2151987	2360463	2	0	N/A	N/A
2025-07-19 22:28:37 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	356363	183027	2	1	N/A	N/A
2025-07-19 22:20:18 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	565873	1455289	2	0	N/A	N/A
2025-07-19 22:12:34 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	404179	632437	2	0	N/A	N/A
2025-07-19 22:11:52 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	3524304	2275003	2	1	N/A	N/A
2025-07-19 22:10:37 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	3997827	1816209	2	1	N/A	N/A
2025-07-19 22:03:49 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	404179	3602046	2	1	N/A	N/A
2025-07-19 22:03:15 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	395486	385608	2	1	N/A	N/A
2025-07-19 22:02:18 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	632437	291259	2	0	N/A	N/A
2025-07-19 22:00:42 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	3997827	224697	2	0	N/A	N/A
2025-07-19 22:00:08 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	4143648	1849364	2	0	N/A	N/A
2025-07-19 21:59:55 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	2056200	1408573	2	1	N/A	N/A
2025-07-19 21:59:25 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	138015	314782	2	0	N/A	N/A
2025-07-19 21:58:56 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	140787	141095	2	0	N/A	N/A
2025-07-19 21:57:51 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 2	3757151	148527	2	0	N/A	N/A
2025-07-19 21:56:05 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	3524304	699782	2	0	N/A	N/A
2025-07-19 21:54:19 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	314715	327935	2	1	N/A	N/A
2025-07-19 21:51:00 UTC	BLINK RESPAWN 2025	Top 48	Winners Quarter-Final	157225	224650	2	1	N/A	N/A
2025-07-19 21:50:06 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	2275003	1231457	2	0	N/A	N/A
2025-07-19 21:49:12 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	131806	173790	2	1	N/A	N/A
2025-07-19 21:48:32 UTC	BLINK RESPAWN 2025	Top 48	Losers Round 1	590232	232824	2	1	N/A	N/A
