Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-06-16 02:28:07 UTC	CEO 2025	Top 8	Grand Final Reset	786180	228743	3	2	Ed, Terry	Akuma
2025-06-16 02:15:44 UTC	CEO 2025	Top 8	Grand Final	228743	786180	3	1	Akuma	Mai
2025-06-16 02:02:15 UTC	CEO 2025	Top 8	Losers Final	228743	240230	3	0	Akuma	Cammy, Ryu
2025-06-16 01:49:39 UTC	CEO 2025	Top 8	Losers Semi-Final	240230	1455289	3	2	Cammy	Dee Jay, M. Bison
2025-06-16 01:32:53 UTC	CEO 2025	Top 8	Winners Final	786180	228743	3	0	Mai	Akuma
2025-06-16 01:14:26 UTC	CEO 2025	Top 8	Losers Quarter-Final	240230	2441054	2	1	Cammy	Ken
2025-06-16 01:01:53 UTC	CEO 2025	Top 8	Losers Quarter-Final	1455289	3524304	3	1	Dee Jay, M. Bison	Ken, Ryu
2025-06-16 00:47:06 UTC	CEO 2025	Top 8	Losers Round 1	2441054	699782	3	1	Ken	Cammy
2025-06-16 00:28:36 UTC	CEO 2025	Top 8	Losers Round 1	3524304	2461262	3	0	Ryu	Ken
2025-06-16 00:02:06 UTC	CEO 2025	Top 8	Winners Semi-Final	228743	240230	3	0	Akuma	Cammy
2025-06-15 23:48:23 UTC	CEO 2025	Top 8	Winners Semi-Final	786180	1455289	3	1	Mai	M. Bison
2025-06-15 20:10:23 UTC	CEO 2025	Top 24	Losers Round 3	3524304	295103	2	1	Ryu	Dee Jay, Kimberly
2025-06-15 19:58:58 UTC	CEO 2025	Top 24	Losers Round 3	2441054	2151987	2	0	Ken	Ryu
2025-06-15 19:49:54 UTC	CEO 2025	Top 24	Losers Round 3	2461262	131806	2	1	Ken	Guile
2025-06-15 19:39:02 UTC	CEO 2025	Top 24	Losers Round 3	699782	4143648	2	1	Cammy	Ryu
2025-06-15 19:28:57 UTC	CEO 2025	Top 24	Winners Quarter-Final	240230	3524304	2	1	Cammy	Ryu
2025-06-15 19:17:51 UTC	CEO 2025	Top 24	Winners Quarter-Final	1455289	2151987	2	1	M. Bison	Ryu
2025-06-15 19:06:24 UTC	CEO 2025	Top 24	Winners Quarter-Final	228743	2461262	2	1	Akuma	Ken
2025-06-15 18:57:32 UTC	CEO 2025	Top 24	Winners Quarter-Final	786180	4143648	2	0	Mai	Ryu
2025-06-15 18:52:46 UTC	CEO 2025	Top 24	Losers Round 2	295103	2243649	2	0	Kimberly	Zangief
2025-06-15 18:40:11 UTC	CEO 2025	Top 24	Losers Round 2	131806	2972996	2	0	Guile	Terry
2025-06-15 18:31:39 UTC	CEO 2025	Top 24	Losers Round 2	2441054	1791717	2	1	Ken	A.K.I.
2025-06-15 18:17:24 UTC	CEO 2025	Top 24	Losers Round 2	699782	339687	2	0	Cammy	Luke
2025-06-15 18:03:14 UTC	CEO 2025	Top 24	Losers Round 1	2243649	3310490	2	0	Zangief	JP
2025-06-15 17:50:59 UTC	CEO 2025	Top 24	Losers Round 1	1791717	3935651	2	1	A.K.I.	Ed
2025-06-15 17:47:02 UTC	CEO 2025	Top 24	Losers Round 1	2441054	1872282	2	0	Ken	M. Bison
2025-06-15 17:37:01 UTC	CEO 2025	Top 24	Losers Round 1	295103	148527	2	1	Dee Jay, Kimberly	Ken
2025-06-15 17:29:21 UTC	CEO 2025	Top 24	Losers Round 1	2972996	148649	2	1	Terry	Chun-Li
2025-06-15 17:25:34 UTC	CEO 2025	Top 24	Losers Round 1	131806	338696	2	1	Dee Jay	Blanka
2025-06-15 17:25:17 UTC	CEO 2025	Top 24	Losers Round 1	699782	224697	2	1	Cammy	Guile
2025-06-15 17:24:51 UTC	CEO 2025	Top 24	Losers Round 1	339687	3757151	2	1	Luke	Blanka
2025-06-15 17:07:07 UTC	CEO 2025	Round 3	Losers Round 2	2243649	4004146	2	0	Zangief	M. Bison
2025-06-15 17:03:28 UTC	CEO 2025	Round 3	Losers Round 2	148527	2056200	2	1	Ken	JP
2025-06-15 17:00:58 UTC	CEO 2025	Round 3	Losers Round 2	338696	135910	2	1	Blanka	Akuma
2025-06-15 16:52:02 UTC	CEO 2025	Round 3	Losers Round 2	2972996	394851	2	1	Terry	Ken
2025-06-15 16:50:07 UTC	CEO 2025	Round 3	Winners Quarter-Final	228743	3757151	2	0	Akuma	Blanka
2025-06-15 16:45:21 UTC	CEO 2025	Round 3	Losers Round 1	2056200	547837	2	0	JP	Guile
2025-06-15 16:41:28 UTC	CEO 2025	Round 3	Winners Quarter-Final	240230	1872282	2	0	Cammy	M. Bison
