Event	FinalPlacement	CPTPoint	PlayerId
CEO 2025	1	0	786180
CEO 2025	2	300	228743
CEO 2025	3	250	240230
CEO 2025	4	200	1455289
CEO 2025	5	150	3524304
CEO 2025	5	150	2441054
CEO 2025	7	100	2461262
CEO 2025	7	100	699782
CEO 2025	9	50	295103
CEO 2025	9	50	131806
CEO 2025	9	50	2151987
CEO 2025	9	50	4143648
CEO 2025	13	30	1791717
CEO 2025	13	30	339687
CEO 2025	13	30	2243649
CEO 2025	13	30	2972996
CEO 2025	17	20	3310490
CEO 2025	17	20	338696
CEO 2025	17	20	3935651
CEO 2025	17	20	224697
CEO 2025	17	20	148527
CEO 2025	17	20	148649
CEO 2025	17	20	3757151
CEO 2025	17	20	1872282
CEO 2025	25	10	140014
CEO 2025	25	10	632437
CEO 2025	25	10	394851
CEO 2025	25	10	557482
CEO 2025	25	10	135910
CEO 2025	25	10	2056200
CEO 2025	25	10	379268
CEO 2025	25	10	4004146
CEO 2025	33	0	385608
CEO 2025	33	0	1816209
CEO 2025	33	0	277358
CEO 2025	33	0	415068
CEO 2025	33	0	385095
CEO 2025	33	0	61001
CEO 2025	33	0	547837
CEO 2025	33	0	1231457
CEO 2025	33	0	141329
CEO 2025	33	0	2360463
CEO 2025	33	0	3285802
CEO 2025	33	0	567852
CEO 2025	33	0	1212885
CEO 2025	33	0	224650
CEO 2025	33	0	624333
CEO 2025	33	0	660130
CEO 2025	49	0	977212
CEO 2025	49	0	232824
CEO 2025	49	0	214100
CEO 2025	49	0	226786
CEO 2025	49	0	415385
CEO 2025	49	0	565873
CEO 2025	49	0	2237431
CEO 2025	49	0	148844
CEO 2025	49	0	401790
CEO 2025	49	0	3433085
CEO 2025	49	0	726024
CEO 2025	49	0	1810739
CEO 2025	49	0	266493
CEO 2025	49	0	1228359
CEO 2025	49	0	261213
CEO 2025	49	0	147900
CEO 2025	65	0	157225
CEO 2025	65	0	160464
CEO 2025	65	0	70855
CEO 2025	65	0	131537
CEO 2025	65	0	237340
CEO 2025	65	0	3889572
CEO 2025	65	0	227226
CEO 2025	65	0	3875051
CEO 2025	65	0	1105411
CEO 2025	65	0	2010930
CEO 2025	65	0	1965385
CEO 2025	65	0	404179
CEO 2025	65	0	2365186
CEO 2025	65	0	3554625
CEO 2025	65	0	1148242
CEO 2025	65	0	3581483
CEO 2025	65	0	314782
CEO 2025	65	0	338795
CEO 2025	65	0	529496
CEO 2025	65	0	669621
CEO 2025	65	0	63220
CEO 2025	65	0	570603
CEO 2025	65	0	3475944
CEO 2025	65	0	314715
CEO 2025	65	0	259852
CEO 2025	65	0	766299
CEO 2025	65	0	141095
CEO 2025	65	0	138015
CEO 2025	65	0	183027
CEO 2025	65	0	3296493
CEO 2025	65	0	2367338
CEO 2025	65	0	1564153
CEO 2025	97	0	225879
CEO 2025	97	0	2313947
CEO 2025	97	0	171490
CEO 2025	97	0	657291
CEO 2025	97	0	3512267
CEO 2025	97	0	138851
CEO 2025	97	0	148458
CEO 2025	97	0	140787
CEO 2025	97	0	399451
CEO 2025	97	0	28140
CEO 2025	97	0	184440
CEO 2025	97	0	174929
CEO 2025	97	0	3497818
CEO 2025	97	0	233099
