Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-05-26 03:13:44 UTC	COMBO BREAKER 2025	Top 8	Grand Final Reset	786180	314715	3	2	Ed	Zangief
2025-05-26 03:00:18 UTC	COMBO BREAKER 2025	Top 8	Grand Final	786180	314715	3	0	Ed	Zangief
2025-05-26 02:49:52 UTC	COMBO BREAKER 2025	Top 8	Losers Final	786180	141329	3	0	Mai	Rashid
2025-05-26 02:39:57 UTC	COMBO BREAKER 2025	Top 8	Losers Semi-Final	786180	2151987	3	0	Mai	Ryu
2025-05-26 02:29:25 UTC	COMBO BREAKER 2025	Top 8	Winners Final	314715	141329	3	1	Zangief	Rashid
2025-05-26 02:09:53 UTC	COMBO BREAKER 2025	Top 8	Losers Quarter-Final	2151987	4143648	3	0	Ryu	Ryu
2025-05-26 01:58:12 UTC	COMBO BREAKER 2025	Top 8	Losers Quarter-Final	786180	232824	3	2	Mai	Akuma
2025-05-26 01:44:35 UTC	COMBO BREAKER 2025	Top 8	Losers Round 1	2151987	226786	3	0	Ryu	Juri
2025-05-26 01:32:53 UTC	COMBO BREAKER 2025	Top 8	Losers Round 1	786180	266549	3	2	Mai	Chun-Li
2025-05-26 01:10:25 UTC	COMBO BREAKER 2025	Top 8	Winners Semi-Final	141329	4143648	3	0	Rashid	Ryu
2025-05-26 01:00:28 UTC	COMBO BREAKER 2025	Top 8	Winners Semi-Final	314715	232824	3	1	Zangief	Akuma
2025-05-25 20:54:30 UTC	COMBO BREAKER 2025	Top 24	Losers Round 3	266549	183027	2	1	Chun-Li	Kimberly
2025-05-25 20:29:07 UTC	COMBO BREAKER 2025	Top 24	Losers Round 3	786180	2056200	2	1	Mai	JP, M. Bison
2025-05-25 20:16:19 UTC	COMBO BREAKER 2025	Top 24	Losers Round 3	226786	486860	2	1	Juri, Mai	Akuma
2025-05-25 20:05:26 UTC	COMBO BREAKER 2025	Top 24	Losers Round 3	2151987	565873	2	0	Ryu	Ed
2025-05-25 19:47:38 UTC	COMBO BREAKER 2025	Top 24	Losers Round 2	786180	632437	2	0	Mai	Guile
2025-05-25 19:37:43 UTC	COMBO BREAKER 2025	Top 24	Losers Round 2	183027	148527	2	0	Kimberly	Ken
2025-05-25 19:30:32 UTC	COMBO BREAKER 2025	Top 24	Losers Round 2	2151987	224650	2	0	Ryu	Blanka
2025-05-25 19:19:26 UTC	COMBO BREAKER 2025	Top 24	Winners Quarter-Final	314715	486860	2	1	Zangief	Akuma
2025-05-25 19:08:45 UTC	COMBO BREAKER 2025	Top 24	Winners Quarter-Final	4143648	266549	2	0	Ryu	Chun-Li
2025-05-25 18:54:51 UTC	COMBO BREAKER 2025	Top 24	Losers Round 2	226786	1455289	2	0	Juri	Dee Jay
2025-05-25 18:51:26 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	786180	277358	2	1	Mai, Terry	Ed
2025-05-25 18:47:44 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	183027	314782	2	0	Kimberly	Blanka
2025-05-25 18:46:53 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	632437	1264488	2	0	Guile	Luke
2025-05-25 18:46:41 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	148527	395486	2	1	Ken	Mai
2025-05-25 18:45:56 UTC	COMBO BREAKER 2025	Top 24	Winners Quarter-Final	141329	2056200	2	1	Rashid	M. Bison
2025-05-25 18:39:09 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	2151987	404179	2	1	Ryu	Manon
2025-05-25 18:37:23 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	224650	138015	2	1	Blanka	Juri
2025-05-25 18:36:32 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	1455289	415385	2	0	M. Bison	Manon
2025-05-25 18:35:55 UTC	COMBO BREAKER 2025	Top 24	Losers Round 1	226786	1816209	2	1	Juri	Luke
2025-05-25 18:34:12 UTC	COMBO BREAKER 2025	Top 24	Winners Quarter-Final	232824	565873	2	1	Akuma	Ed
2025-05-25 18:20:35 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	395486	394851	2	0	Mai	Ken
2025-05-25 17:59:07 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	277358	1228620	2	1	Ed	M. Bison
2025-05-25 17:54:09 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	1264488	67428	2	1	Akuma	Cammy
2025-05-25 17:51:56 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	183027	405400	2	0	Kimberly	A.K.I., Mai
2025-05-25 17:46:03 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	4143648	1816209	2	1	Ryu	Luke
2025-05-25 17:39:28 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	266549	415385	2	1	Chun-Li	Manon
2025-05-25 17:24:53 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	141329	224650	2	1	Rashid	Blanka
2025-05-25 17:23:14 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	277358	3935651	2	0	Mai	Ed
2025-05-25 17:22:43 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	405400	61001	2	1	A.K.I.	Mai
2025-05-25 17:22:35 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	395486	3705249	2	0	Mai	Ryu
2025-05-25 17:20:37 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	1264488	1212885	2	1	Akuma	M. Bison
2025-05-25 17:15:22 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	2056200	2151987	2	0	JP	Ryu
2025-05-25 17:11:13 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	183027	2237431	2	1	Kimberly	Ken
2025-05-25 17:10:34 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	1228620	295103	2	0	M. Bison	Dee Jay
2025-05-25 17:10:08 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	394851	70855	2	0	Ken	Akuma, Terry
2025-05-25 17:09:55 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	67428	131806	2	0	Cammy	Dee Jay, Guile
2025-05-25 17:03:03 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	226786	2557887	2	0	Juri	E. Honda
2025-05-25 16:59:20 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	1455289	699782	2	1	Dee Jay, M. Bison	Juri
2025-05-25 16:54:27 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	138015	2360463	2	1	Juri	Mai
2025-05-25 16:50:22 UTC	COMBO BREAKER 2025	Round 3	Losers Round 2	404179	3285802	2	1	Ed	Lily
2025-05-25 16:40:20 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	565873	632437	2	1	Ed	Guile
2025-05-25 16:30:26 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	2557887	157225	2	1	E. Honda	Juri
2025-05-25 16:27:25 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	314715	148527	2	0	Zangief	Ken
2025-05-25 16:22:45 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	1455289	338696	2	1	M. Bison	Blanka
2025-05-25 16:21:30 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	699782	341001	2	1	Juri	Akuma
2025-05-25 16:21:15 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	226786	3496003	2	1	Juri	E. Honda
2025-05-25 16:17:34 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	232824	786180	2	0	Akuma	Mai
2025-05-25 16:16:12 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	3285802	140014	2	0	Lily	Kimberly
2025-05-25 16:12:28 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	404179	1791717	2	1	Manon	A.K.I.
2025-05-25 16:11:12 UTC	COMBO BREAKER 2025	Round 3	Winners Quarter-Final	486860	314782	2	0	Akuma	M. Bison
2025-05-25 16:10:06 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	138015	147900	2	0	Juri	Lily
2025-05-25 16:08:59 UTC	COMBO BREAKER 2025	Round 3	Losers Round 1	2360463	154091	2	0	Mai	Zangief
2025-05-25 02:52:59 UTC	COMBO BREAKER 2025	Round 2	Losers Round 5	394851	174929	2	0	N/A	N/A
2025-05-25 02:45:55 UTC	COMBO BREAKER 2025	Round 2	Losers Round 5	67428	415068	2	0	N/A	N/A
2025-05-25 02:36:15 UTC	COMBO BREAKER 2025	Round 2	Losers Round 5	1212885	138851	2	0	N/A	N/A
2025-05-25 02:33:21 UTC	COMBO BREAKER 2025	Round 2	Losers Round 5	395486	3515950	2	1	N/A	N/A
2025-05-25 02:29:27 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	3515950	2010930	2	1	N/A	N/A
2025-05-25 02:29:17 UTC	COMBO BREAKER 2025	Round 2	Winners Semi-Final	266549	295103	2	0	N/A	N/A
2025-05-25 02:28:17 UTC	COMBO BREAKER 2025	Round 2	Winners Semi-Final	2151987	2237431	2	1	N/A	N/A
2025-05-25 02:25:03 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	415068	2972996	2	0	N/A	N/A
2025-05-25 02:19:37 UTC	COMBO BREAKER 2025	Round 2	Winners Semi-Final	415385	277358	2	1	N/A	N/A
2025-05-25 02:19:06 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	394851	417126	2	0	N/A	N/A
2025-05-25 02:19:03 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	174929	148458	2	1	N/A	N/A
2025-05-25 02:18:57 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	395486	265887	2	0	N/A	N/A
2025-05-25 02:18:11 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	212351	3462084	2	0	N/A	N/A
2025-05-25 02:17:57 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	67428	212351	2	0	N/A	N/A
2025-05-25 02:17:49 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	3462084	257927	2	0	N/A	N/A
2025-05-25 02:17:45 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	415068	3763356	2	0	N/A	N/A
2025-05-25 02:17:36 UTC	COMBO BREAKER 2025	Round 2	Winners Semi-Final	2056200	61001	2	0	N/A	N/A
2025-05-25 02:12:03 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	265887	349474	2	0	N/A	N/A
2025-05-25 02:12:00 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	3515950	666787	2	0	N/A	N/A
2025-05-25 02:11:54 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	148458	67022	2	0	N/A	N/A
2025-05-25 02:11:49 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	417126	147248	2	0	N/A	N/A
2025-05-25 02:07:35 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	138851	60978	2	0	N/A	N/A
2025-05-25 02:07:32 UTC	COMBO BREAKER 2025	Round 2	Losers Round 4	1212885	257033	2	0	N/A	N/A
2025-05-25 02:03:18 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	2056200	138851	2	1	N/A	N/A
2025-05-25 02:03:12 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	212351	986780	2	1	N/A	N/A
2025-05-25 02:02:18 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	417126	1662098	2	0	N/A	N/A
2025-05-25 01:57:46 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	265887	357195	2	0	N/A	N/A
2025-05-25 01:57:42 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	277358	2010930	2	0	N/A	N/A
2025-05-25 01:57:18 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	295103	174929	2	0	N/A	N/A
2025-05-25 01:57:15 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	266549	394851	2	1	N/A	N/A
2025-05-25 01:57:09 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	415385	395486	2	1	N/A	N/A
2025-05-25 01:56:45 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	257033	1298511	2	0	N/A	N/A
2025-05-25 01:56:25 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	2151987	67428	2	0	N/A	N/A
2025-05-25 01:51:19 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	148458	272691	2	0	N/A	N/A
2025-05-25 01:51:19 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	666787	406177	2	0	N/A	N/A
2025-05-25 01:50:19 UTC	COMBO BREAKER 2025	Round 2	Losers Round 3	60978	143468	2	0	N/A	N/A
2025-05-25 01:48:40 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	3763356	1162969	2	0	N/A	N/A
2025-05-25 01:48:35 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	143468	3512946	2	0	N/A	N/A
2025-05-25 01:48:31 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	60978	63751	2	0	N/A	N/A
2025-05-25 01:48:26 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	61001	1212885	2	1	N/A	N/A
2025-05-25 01:47:47 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	3515950	63410	2	1	N/A	N/A
2025-05-25 01:45:43 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	349474	37881	2	1	N/A	N/A
2025-05-25 01:44:37 UTC	COMBO BREAKER 2025	Round 2	Winners Quarter-Final	2237431	2972996	2	0	N/A	N/A
2025-05-25 01:41:45 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	415068	61882	2	0	N/A	N/A
2025-05-25 01:41:34 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	2056200	3462084	2	0	N/A	N/A
2025-05-25 01:38:59 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	67022	4194	2	0	N/A	N/A
2025-05-25 01:38:49 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	295103	357195	2	0	N/A	N/A
2025-05-25 01:38:30 UTC	COMBO BREAKER 2025	Round 2	Losers Round 1	272691	738490	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-25 01:38:20 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	147248	553982	2	0	N/A	N/A
2025-05-25 01:37:33 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	138851	212351	2	1	N/A	N/A
2025-05-25 01:37:19 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	1298511	29787	2	1	N/A	N/A
2025-05-25 01:37:15 UTC	COMBO BREAKER 2025	Round 2	Losers Round 2	257033	3365263	2	0	N/A	N/A
2025-05-25 01:34:55 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	277358	417126	2	1	N/A	N/A
2025-05-25 01:31:48 UTC	COMBO BREAKER 2025	Round 2	Losers Round 1	1662098	650906	2	1	N/A	N/A
2025-05-25 01:31:44 UTC	COMBO BREAKER 2025	Round 2	Losers Round 1	553982	24975	2	0	N/A	N/A
2025-05-25 01:31:29 UTC	COMBO BREAKER 2025	Round 2	Losers Round 1	3515950	175773	2	0	N/A	N/A
2025-05-25 01:31:22 UTC	COMBO BREAKER 2025	Round 2	Losers Round 1	37881	3860250	2	1	N/A	N/A
2025-05-25 01:31:13 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	415385	148458	2	1	N/A	N/A
2025-05-25 01:30:52 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	174929	349474	2	0	N/A	N/A
2025-05-25 01:30:47 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	394851	406177	2	0	N/A	N/A
2025-05-25 01:30:42 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	395486	67022	2	1	N/A	N/A
2025-05-25 01:30:38 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	2010930	147248	2	0	N/A	N/A
2025-05-25 01:28:47 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	2972996	257033	2	0	N/A	N/A
2025-05-25 01:28:44 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	2237431	1298511	2	0	N/A	N/A
2025-05-25 01:28:37 UTC	COMBO BREAKER 2025	Round 2	Winners Round 1	2151987	3512946	2	0	N/A	N/A
