Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-08-04 08:30:15 UTC	EVO 2025	Round 1	Winners Round 2	1296483	3194930	W	L	N/A	N/A
2025-08-04 06:17:10 UTC	EVO 2025	Top 8	Grand Final	224650	1366617	3	0	Blanka	JP
2025-08-04 06:08:00 UTC	EVO 2025	Top 8	Losers Final	1366617	2891290	3	1	JP	Cammy, Mai
2025-08-04 05:57:13 UTC	EVO 2025	Top 8	Losers Semi-Final	2891290	237340	3	2	Cammy	Cammy
2025-08-04 05:33:39 UTC	EVO 2025	Top 8	Winners Final	224650	1366617	3	0	Blanka	JP
2025-08-04 05:15:45 UTC	EVO 2025	Top 8	Losers Quarter-Final	2891290	565873	3	2	Cammy, Mai	Dee Jay, Ed
2025-08-04 05:00:23 UTC	EVO 2025	Top 8	Losers Quarter-Final	237340	4004146	3	2	Cammy	Mai
2025-08-04 04:38:14 UTC	EVO 2025	Top 8	Losers Round 1	2891290	624333	3	0	Cammy	Akuma
2025-08-04 04:28:44 UTC	EVO 2025	Top 8	Losers Round 1	4004146	786180	3	2	Mai	Ed, Mai
2025-08-04 04:04:27 UTC	EVO 2025	Top 8	Winners Semi-Final	224650	237340	3	1	Blanka	Cammy
2025-08-04 03:50:57 UTC	EVO 2025	Top 8	Winners Semi-Final	1366617	565873	3	1	JP	Dee Jay, Ed
2025-08-03 04:16:50 UTC	EVO 2025	Top 24	Losers Round 3	4004146	314715	2	0	Mai	Marisa, Zangief
2025-08-03 04:13:07 UTC	EVO 2025	Top 24	Losers Round 3	624333	277358	2	0	Akuma	Ed
2025-08-03 04:06:26 UTC	EVO 2025	Top 24	Losers Round 3	2891290	1257257	2	1	Cammy	Dhalsim
2025-08-03 04:04:38 UTC	EVO 2025	Top 24	Losers Round 2	4004146	141329	2	1	M. Bison	Rashid
2025-08-03 03:54:41 UTC	EVO 2025	Top 24	Losers Round 2	624333	2360463	2	0	N/A	N/A
2025-08-03 03:52:37 UTC	EVO 2025	Top 24	Losers Round 3	786180	240230	2	1	Ed	Cammy
2025-08-03 03:44:55 UTC	EVO 2025	Top 24	Losers Round 2	2891290	2151987	2	0	Mai	Ryu
2025-08-03 03:35:25 UTC	EVO 2025	Top 24	Losers Round 2	786180	487424	2	1	Terry	M. Bison
2025-08-03 03:32:54 UTC	EVO 2025	Top 24	Winners Quarter-Final	237340	277358	2	1	Cammy	Ed
2025-08-03 03:25:27 UTC	EVO 2025	Top 24	Winners Quarter-Final	565873	240230	2	0	Ed	Cammy
2025-08-03 03:18:51 UTC	EVO 2025	Top 24	Winners Quarter-Final	224650	1257257	2	1	Blanka	Dhalsim
2025-08-03 03:17:34 UTC	EVO 2025	Top 24	Winners Quarter-Final	1366617	314715	2	1	JP	Marisa
2025-08-03 03:15:10 UTC	EVO 2025	Top 24	Losers Round 1	2360463	1455289	2	0	N/A	N/A
2025-08-03 03:03:39 UTC	EVO 2025	Top 24	Losers Round 1	487424	3935651	2	0	M. Bison	Ed
2025-08-03 02:54:44 UTC	EVO 2025	Top 24	Losers Round 1	786180	2056200	2	1	Terry	JP
2025-08-03 02:54:13 UTC	EVO 2025	Top 24	Losers Round 1	624333	395486	2	1	Akuma	Chun-Li
2025-08-03 02:45:30 UTC	EVO 2025	Top 24	Losers Round 1	2891290	140014	2	1	Cammy	Kimberly
2025-08-03 02:41:55 UTC	EVO 2025	Top 24	Losers Round 1	141329	405023	2	1	Rashid	Ryu
2025-08-03 02:34:54 UTC	EVO 2025	Top 24	Losers Round 1	4004146	486860	2	0	Mai	Akuma
2025-08-03 02:34:13 UTC	EVO 2025	Top 24	Losers Round 1	2151987	385608	2	1	Ryu	Dhalsim
2025-08-03 02:21:35 UTC	EVO 2025	Round 4	Losers Round 2	405023	224697	2	1	N/A	N/A
2025-08-03 02:20:30 UTC	EVO 2025	Round 4	Losers Round 2	2891290	684475	2	1	N/A	N/A
2025-08-03 02:15:40 UTC	EVO 2025	Round 4	Losers Round 2	3935651	2237431	2	1	N/A	N/A
2025-08-03 02:12:15 UTC	EVO 2025	Round 4	Losers Round 2	395486	1228620	2	0	N/A	N/A
2025-08-03 02:07:52 UTC	EVO 2025	Round 4	Losers Round 2	2056200	266549	2	0	N/A	N/A
2025-08-03 02:04:55 UTC	EVO 2025	Round 4	Losers Round 1	2237431	131806	2	1	N/A	N/A
2025-08-03 01:57:47 UTC	EVO 2025	Round 4	Losers Round 2	1455289	632437	2	1	N/A	N/A
2025-08-03 01:56:40 UTC	EVO 2025	Round 4	Losers Round 2	486860	226786	2	0	N/A	N/A
2025-08-03 01:52:06 UTC	EVO 2025	Round 4	Winners Quarter-Final	1257257	4004146	2	1	N/A	N/A
2025-08-03 01:47:49 UTC	EVO 2025	Round 4	Winners Quarter-Final	240230	624333	2	0	N/A	N/A
2025-08-03 01:47:22 UTC	EVO 2025	Round 4	Winners Quarter-Final	565873	2360463	2	1	N/A	N/A
2025-08-03 01:45:54 UTC	EVO 2025	Round 4	Losers Round 2	385608	1816209	2	0	N/A	N/A
2025-08-03 01:42:52 UTC	EVO 2025	Round 4	Losers Round 1	3935651	1231457	2	1	N/A	N/A
2025-08-03 01:42:47 UTC	EVO 2025	Round 4	Losers Round 1	2056200	830613	2	0	N/A	N/A
2025-08-03 01:41:59 UTC	EVO 2025	Round 4	Losers Round 1	632437	261213	2	1	N/A	N/A
2025-08-03 01:41:50 UTC	EVO 2025	Round 4	Winners Quarter-Final	224650	141329	2	1	N/A	N/A
2025-08-03 01:37:31 UTC	EVO 2025	Round 4	Losers Round 1	1455289	266493	2	0	N/A	N/A
2025-08-03 01:32:26 UTC	EVO 2025	Round 4	Losers Round 1	405023	683508	2	1	N/A	N/A
2025-08-03 01:30:10 UTC	EVO 2025	Round 4	Winners Quarter-Final	277358	487424	2	1	N/A	N/A
2025-08-03 01:29:57 UTC	EVO 2025	Round 4	Losers Round 1	395486	135910	2	0	N/A	N/A
2025-08-03 01:29:54 UTC	EVO 2025	Round 4	Losers Round 1	1228620	1154814	2	1	N/A	N/A
2025-08-03 01:29:47 UTC	EVO 2025	Round 4	Losers Round 1	266549	2526799	2	0	N/A	N/A
2025-08-03 01:28:54 UTC	EVO 2025	Round 4	Winners Quarter-Final	1366617	140014	2	0	N/A	N/A
2025-08-03 01:28:13 UTC	EVO 2025	Round 4	Winners Quarter-Final	314715	2151987	2	1	N/A	N/A
2025-08-03 01:26:15 UTC	EVO 2025	Round 4	Losers Round 1	2891290	1212885	2	1	N/A	N/A
2025-08-03 01:26:10 UTC	EVO 2025	Round 4	Losers Round 1	684475	401790	2	1	N/A	N/A
2025-08-03 01:23:34 UTC	EVO 2025	Round 4	Losers Round 1	224697	366077	2	0	N/A	N/A
2025-08-03 01:23:20 UTC	EVO 2025	Round 4	Losers Round 1	226786	3310490	2	1	N/A	N/A
2025-08-03 01:23:13 UTC	EVO 2025	Round 4	Losers Round 1	486860	1574500	2	1	N/A	N/A
2025-08-03 01:18:21 UTC	EVO 2025	Round 4	Winners Quarter-Final	237340	786180	2	0	N/A	N/A
2025-08-03 01:11:16 UTC	EVO 2025	Round 4	Losers Round 1	1816209	4143648	2	1	N/A	N/A
2025-08-03 01:09:41 UTC	EVO 2025	Round 4	Losers Round 1	385608	2450920	2	0	N/A	N/A
2025-08-03 01:05:43 UTC	EVO 2025	Round 3	Losers Round 4	366077	3285802	W	L	N/A	N/A
2025-08-03 01:03:48 UTC	EVO 2025	Round 3	Losers Round 4	2891290	4295277	W	L	N/A	N/A
2025-08-03 01:03:45 UTC	EVO 2025	Round 3	Losers Round 3	2891290	1345485	W	L	N/A	N/A
2025-08-03 01:03:42 UTC	EVO 2025	Round 3	Losers Round 2	2891290	962674	W	L	N/A	N/A
2025-08-03 01:03:40 UTC	EVO 2025	Round 3	Losers Round 1	2891290	3724164	W	L	N/A	N/A
2025-08-03 01:03:39 UTC	EVO 2025	Round 3	Losers Round 1	962674	1275596	W	L	N/A	N/A
2025-08-03 01:03:38 UTC	EVO 2025	Round 3	Losers Round 4	405023	570603	W	L	N/A	N/A
2025-08-03 01:03:36 UTC	EVO 2025	Round 3	Losers Round 3	4295277	155429	W	L	N/A	N/A
2025-08-03 01:03:34 UTC	EVO 2025	Round 3	Losers Round 2	155429	3622042	W	L	N/A	N/A
2025-08-03 01:03:31 UTC	EVO 2025	Round 3	Losers Round 1	3622042	547837	W	L	N/A	N/A
2025-08-03 01:03:29 UTC	EVO 2025	Round 3	Losers Round 1	155429	154091	W	L	N/A	N/A
2025-08-03 01:03:26 UTC	EVO 2025	Round 3	Losers Round 4	684475	338795	W	L	N/A	N/A
2025-08-03 01:03:26 UTC	EVO 2025	Round 3	Losers Round 3	570603	157225	W	L	N/A	N/A
2025-08-03 01:03:24 UTC	EVO 2025	Round 3	Losers Round 3	405023	61001	W	L	N/A	N/A
2025-08-03 01:03:23 UTC	EVO 2025	Round 3	Losers Round 3	684475	3705249	W	L	N/A	N/A
2025-08-03 01:03:20 UTC	EVO 2025	Round 3	Losers Round 2	684475	2557887	W	L	N/A	N/A
2025-08-03 01:03:20 UTC	EVO 2025	Round 3	Losers Round 3	366077	148458	W	L	N/A	N/A
2025-08-03 01:03:18 UTC	EVO 2025	Round 3	Losers Round 3	3285802	3996677	W	L	N/A	N/A
2025-08-03 01:03:17 UTC	EVO 2025	Round 3	Losers Round 1	2557887	176575	W	L	N/A	N/A
