Event	FinalPlacement	CPTPoint	PlayerId
EVO 2025	1	0	224650
EVO 2025	2	300	1366617
EVO 2025	3	250	2891290
EVO 2025	4	200	237340
EVO 2025	5	150	4004146
EVO 2025	5	150	565873
EVO 2025	7	100	786180
EVO 2025	7	100	624333
EVO 2025	9	50	314715
EVO 2025	9	50	277358
EVO 2025	9	50	240230
EVO 2025	9	50	1257257
EVO 2025	13	30	141329
EVO 2025	13	30	2360463
EVO 2025	13	30	487424
EVO 2025	13	30	2151987
EVO 2025	17	20	140014
EVO 2025	17	20	1455289
EVO 2025	17	20	395486
EVO 2025	17	20	3935651
EVO 2025	17	20	405023
EVO 2025	17	20	486860
EVO 2025	17	20	385608
EVO 2025	17	20	2056200
EVO 2025	25	10	1816209
EVO 2025	25	10	1228620
EVO 2025	25	10	266549
EVO 2025	25	10	632437
EVO 2025	25	10	226786
EVO 2025	25	10	224697
EVO 2025	25	10	684475
EVO 2025	25	10	2237431
EVO 2025	33	0	683508
EVO 2025	33	0	830613
EVO 2025	33	0	135910
EVO 2025	33	0	2526799
EVO 2025	33	0	131806
EVO 2025	33	0	366077
EVO 2025	33	0	1231457
EVO 2025	33	0	2450920
EVO 2025	33	0	4143648
EVO 2025	33	0	1154814
EVO 2025	33	0	1212885
EVO 2025	33	0	266493
EVO 2025	33	0	261213
EVO 2025	33	0	1574500
EVO 2025	33	0	3310490
EVO 2025	33	0	401790
EVO 2025	49	0	3581657
EVO 2025	49	0	228743
EVO 2025	49	0	4295277
EVO 2025	49	0	338795
EVO 2025	49	0	3562186
EVO 2025	49	0	1791717
EVO 2025	49	0	3285802
EVO 2025	49	0	567852
EVO 2025	49	0	2441054
EVO 2025	49	0	405400
EVO 2025	49	0	60989
EVO 2025	49	0	2972996
EVO 2025	49	0	314782
EVO 2025	49	0	160464
EVO 2025	49	0	557482
EVO 2025	49	0	570603
EVO 2025	65	0	157225
EVO 2025	65	0	358496
EVO 2025	65	0	385095
EVO 2025	65	0	3705249
EVO 2025	65	0	184440
EVO 2025	65	0	148458
EVO 2025	65	0	1345485
EVO 2025	65	0	215370
EVO 2025	65	0	155429
EVO 2025	65	0	232824
EVO 2025	65	0	3757151
EVO 2025	65	0	3761988
EVO 2025	65	0	138008
EVO 2025	65	0	2615047
EVO 2025	65	0	3763356
EVO 2025	65	0	339687
EVO 2025	65	0	61001
EVO 2025	65	0	404377
EVO 2025	65	0	148649
EVO 2025	65	0	261255
EVO 2025	65	0	699782
EVO 2025	65	0	138015
EVO 2025	65	0	324161
EVO 2025	65	0	338696
EVO 2025	65	0	3490615
EVO 2025	65	0	291259
EVO 2025	65	0	766299
EVO 2025	65	0	3996677
EVO 2025	65	0	3280465
EVO 2025	65	0	1228359
EVO 2025	65	0	4173337
EVO 2025	65	0	3577649
EVO 2025	97	0	62408
EVO 2025	97	0	1826854
EVO 2025	97	0	60825
EVO 2025	97	0	171490
EVO 2025	97	0	2557887
EVO 2025	97	0	140787
EVO 2025	97	0	183069
EVO 2025	97	0	138851
EVO 2025	97	0	394851
EVO 2025	97	0	962674
EVO 2025	97	0	3907965
EVO 2025	97	0	233884
EVO 2025	97	0	147248
EVO 2025	97	0	3622042
EVO 2025	97	0	1869160
EVO 2025	97	0	660130
EVO 2025	97	0	4227231
EVO 2025	97	0	616064
EVO 2025	97	0	3496003
EVO 2025	97	0	63220
EVO 2025	97	0	529496
EVO 2025	97	0	1826846
EVO 2025	97	0	2967717
EVO 2025	97	0	2461262
EVO 2025	97	0	379268
EVO 2025	97	0	147900
EVO 2025	97	0	415385
EVO 2025	97	0	2615125
EVO 2025	97	0	141095
EVO 2025	97	0	596463
EVO 2025	97	0	726024
EVO 2025	97	0	3622057
EVO 2025	129	0	137374
EVO 2025	129	0	783037
EVO 2025	129	0	3918225
EVO 2025	129	0	497680
EVO 2025	129	0	842619
EVO 2025	129	0	575203
EVO 2025	129	0	3516031
EVO 2025	129	0	281274
EVO 2025	129	0	2827881
EVO 2025	129	0	265887
EVO 2025	129	0	1105411
EVO 2025	129	0	417126
EVO 2025	129	0	70855
EVO 2025	129	0	24541
EVO 2025	129	0	3717265
EVO 2025	129	0	220435
EVO 2025	129	0	2230850
EVO 2025	129	0	374750
EVO 2025	129	0	154091
EVO 2025	129	0	2127101
EVO 2025	129	0	1465714
EVO 2025	129	0	67428
EVO 2025	129	0	323511
EVO 2025	129	0	4625088
EVO 2025	129	0	1974227
EVO 2025	129	0	783240
EVO 2025	129	0	657023
EVO 2025	129	0	2367338
EVO 2025	129	0	414676
EVO 2025	129	0	1275596
EVO 2025	129	0	176575
EVO 2025	129	0	66297
EVO 2025	129	0	3604118
EVO 2025	129	0	327935
EVO 2025	129	0	295103
EVO 2025	129	0	3908865
EVO 2025	129	0	327575
EVO 2025	129	0	3934989
EVO 2025	129	0	313909
EVO 2025	129	0	392721
EVO 2025	129	0	214100
EVO 2025	129	0	358569
EVO 2025	129	0	356363
EVO 2025	129	0	872530
EVO 2025	129	0	338811
EVO 2025	129	0	2231372
EVO 2025	129	0	3581483
EVO 2025	129	0	259852
EVO 2025	129	0	561804
EVO 2025	129	0	547837
EVO 2025	129	0	132434
EVO 2025	129	0	3576234
EVO 2025	129	0	3177201
EVO 2025	129	0	3524304
EVO 2025	129	0	66017
EVO 2025	129	0	147753
EVO 2025	129	0	257033
EVO 2025	129	0	565962
EVO 2025	129	0	658918
EVO 2025	129	0	23875
EVO 2025	129	0	3916330
EVO 2025	129	0	2334193
EVO 2025	129	0	3724164
EVO 2025	129	0	2063222
EVO 2025	193	0	699071
EVO 2025	193	0	153524
EVO 2025	193	0	66298
EVO 2025	193	0	126705
EVO 2025	193	0	2270957
EVO 2025	193	0	3331494
EVO 2025	193	0	545304
EVO 2025	193	0	69060
EVO 2025	193	0	31509
EVO 2025	193	0	3434915
EVO 2025	193	0	148527
EVO 2025	193	0	357357
EVO 2025	193	0	3925586
EVO 2025	193	0	2847775
EVO 2025	193	0	1792755
EVO 2025	193	0	2331293
EVO 2025	193	0	3640471
EVO 2025	193	0	137291
EVO 2025	193	0	3410144
EVO 2025	193	0	2037765
EVO 2025	193	0	4198517
EVO 2025	193	0	272790
EVO 2025	193	0	155290
EVO 2025	193	0	3784334
EVO 2025	193	0	3554625
EVO 2025	193	0	467692
EVO 2025	193	0	146443
EVO 2025	193	0	3180339
EVO 2025	193	0	221836
EVO 2025	193	0	1562482
EVO 2025	193	0	63410
EVO 2025	193	0	3316695
EVO 2025	193	0	62366
EVO 2025	193	0	128212
EVO 2025	193	0	223562
EVO 2025	193	0	67022
EVO 2025	193	0	1255606
EVO 2025	193	0	71325
EVO 2025	193	0	4801862
EVO 2025	193	0	3504797
EVO 2025	193	0	3447130
EVO 2025	193	0	315621
EVO 2025	193	0	2209027
EVO 2025	193	0	4792371
EVO 2025	193	0	1051846
EVO 2025	193	0	351687
EVO 2025	193	0	1418896
EVO 2025	193	0	3489445
EVO 2025	193	0	3463614
EVO 2025	193	0	40804
EVO 2025	193	0	224299
EVO 2025	193	0	1277803
EVO 2025	193	0	2076394
EVO 2025	193	0	4834657
EVO 2025	193	0	227226
EVO 2025	193	0	2560202
EVO 2025	193	0	174929
EVO 2025	193	0	4837464
EVO 2025	193	0	3875051
EVO 2025	193	0	1029195
EVO 2025	193	0	1583817
EVO 2025	193	0	1564153
EVO 2025	193	0	801397
EVO 2025	193	0	404179
EVO 2025	257	0	919364
EVO 2025	257	0	2355810
EVO 2025	257	0	62910
EVO 2025	257	0	174967
EVO 2025	257	0	1961326
EVO 2025	257	0	60446
EVO 2025	257	0	4007648
EVO 2025	257	0	24422
EVO 2025	257	0	3568579
