Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-05-19 18:53:16 UTC	EVO Japan 2025	Round1	Losers Round 2	4640826	4534321	2	0	N/A	N/A
2025-05-19 18:52:30 UTC	EVO Japan 2025	Round1	Winners Round 1	512837	1070919	2	0	N/A	N/A
2025-05-19 18:52:15 UTC	EVO Japan 2025	Round1	Losers Round 2	1102032	4526468	2	1	N/A	N/A
2025-05-19 18:51:58 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	3927583	3289164	2	1	N/A	N/A
2025-05-19 18:51:44 UTC	EVO Japan 2025	Round1	Winners Round 1	4667680	4073087	2	0	N/A	N/A
2025-05-19 15:47:56 UTC	EVO Japan 2025	Round2	Losers Round 1	3945290	3275553	2	0	N/A	N/A
2025-05-19 15:47:50 UTC	EVO Japan 2025	Round2	Losers Round 1	4529919	4638159	2	1	N/A	N/A
2025-05-19 15:47:24 UTC	EVO Japan 2025	Round2	Losers Quarter-Final	4173337	3562407	2	0	N/A	N/A
2025-05-19 15:46:58 UTC	EVO Japan 2025	Round2	Losers Round 1	1197177	3621102	2	0	N/A	N/A
2025-05-19 15:45:21 UTC	EVO Japan 2025	Round2	Winners Final	3776430	1020716	2	0	N/A	N/A
2025-05-19 15:45:10 UTC	EVO Japan 2025	Round2	Losers Quarter-Final	3296026	4668402	2	0	N/A	N/A
2025-05-19 15:44:52 UTC	EVO Japan 2025	Round2	Losers Round 1	3999961	3943141	2	1	N/A	N/A
2025-05-19 15:42:38 UTC	EVO Japan 2025	Round4	Losers Round 1	356363	266493	2	0	N/A	N/A
2025-05-19 10:59:01 UTC	EVO Japan 2025	Round1	Winners Round 1	4496639	1489005	2	0	N/A	N/A
2025-05-19 10:58:49 UTC	EVO Japan 2025	Round1	Losers Round 2	3875443	1489005	2	1	N/A	N/A
2025-05-11 08:35:56 UTC	EVO Japan 2025	Finals	Grand Final	224650	2441054	3	1	N/A	N/A
2025-05-11 08:16:49 UTC	EVO Japan 2025	Finals	Losers Final	2441054	1231457	3	2	N/A	N/A
2025-05-11 07:51:55 UTC	EVO Japan 2025	Finals	Losers Semi-Final	1231457	277358	3	1	N/A	N/A
2025-05-11 07:38:11 UTC	EVO Japan 2025	Finals	Winners Final	224650	2441054	3	2	N/A	N/A
2025-05-11 07:08:55 UTC	EVO Japan 2025	Finals	Losers Quarter-Final	277358	786180	3	2	N/A	N/A
2025-05-11 06:52:42 UTC	EVO Japan 2025	Finals	Losers Quarter-Final	1231457	557482	3	2	N/A	N/A
2025-05-11 06:32:05 UTC	EVO Japan 2025	Finals	Losers Round 1	786180	228743	3	0	N/A	N/A
2025-05-11 06:21:54 UTC	EVO Japan 2025	Finals	Losers Round 1	1231457	632437	3	2	N/A	N/A
2025-05-11 05:52:53 UTC	EVO Japan 2025	Finals	Winners Semi-Final	224650	557482	3	1	N/A	N/A
2025-05-11 05:39:10 UTC	EVO Japan 2025	Finals	Winners Semi-Final	2441054	277358	3	2	N/A	N/A
2025-05-10 10:48:28 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4507332	631827	2	0	N/A	N/A
2025-05-10 10:43:55 UTC	EVO Japan 2025	Round2	Losers Quarter-Final	3920401	4520419	2	1	N/A	N/A
2025-05-10 10:36:59 UTC	EVO Japan 2025	Semifinals	Losers Round 3	786180	314715	2	1	N/A	N/A
2025-05-10 10:25:46 UTC	EVO Japan 2025	Semifinals	Losers Round 3	228743	295103	2	0	N/A	N/A
2025-05-10 10:18:28 UTC	EVO Japan 2025	Semifinals	Losers Round 3	632437	1286590	2	1	N/A	N/A
2025-05-10 10:17:49 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3768723	631827	2	1	N/A	N/A
2025-05-10 10:08:26 UTC	EVO Japan 2025	Semifinals	Losers Round 3	1231457	1228620	2	1	N/A	N/A
2025-05-10 09:57:43 UTC	EVO Japan 2025	Semifinals	Winners Quarter-Final	557482	314715	2	1	N/A	N/A
2025-05-10 09:50:25 UTC	EVO Japan 2025	Semifinals	Losers Round 2	632437	3177201	2	1	N/A	N/A
2025-05-10 09:45:29 UTC	EVO Japan 2025	Semifinals	Winners Quarter-Final	224650	295103	2	0	N/A	N/A
2025-05-10 09:43:58 UTC	EVO Japan 2025	Semifinals	Losers Round 2	228743	2151987	2	0	N/A	N/A
2025-05-10 09:43:24 UTC	EVO Japan 2025	Semifinals	Losers Round 2	786180	1408573	2	1	N/A	N/A
2025-05-10 09:42:46 UTC	EVO Japan 2025	Semifinals	Losers Round 2	1231457	148527	2	0	N/A	N/A
2025-05-10 09:35:12 UTC	EVO Japan 2025	Semifinals	Winners Quarter-Final	2441054	1286590	2	1	N/A	N/A
2025-05-10 09:32:03 UTC	EVO Japan 2025	Semifinals	Winners Quarter-Final	277358	1228620	2	1	N/A	N/A
2025-05-10 09:29:16 UTC	EVO Japan 2025	Semifinals	Losers Round 1	228743	413271	2	1	N/A	N/A
2025-05-10 09:27:26 UTC	EVO Japan 2025	Semifinals	Losers Round 1	3177201	2237431	2	0	N/A	N/A
2025-05-10 09:26:51 UTC	EVO Japan 2025	Semifinals	Losers Round 1	148527	1791717	2	1	N/A	N/A
2025-05-10 09:24:06 UTC	EVO Japan 2025	Semifinals	Losers Round 1	1408573	224697	2	1	N/A	N/A
2025-05-10 09:23:43 UTC	EVO Japan 2025	Semifinals	Losers Round 1	786180	3563460	2	0	N/A	N/A
2025-05-10 09:23:30 UTC	EVO Japan 2025	Semifinals	Losers Round 1	2151987	395486	2	0	N/A	N/A
2025-05-10 09:18:41 UTC	EVO Japan 2025	Semifinals	Losers Round 1	632437	379268	2	1	N/A	N/A
2025-05-10 09:18:20 UTC	EVO Japan 2025	Semifinals	Losers Round 1	1231457	4157356	2	0	N/A	N/A
2025-05-10 08:55:50 UTC	EVO Japan 2025	Round4	Losers Semi-Final	148527	356363	2	1	N/A	N/A
2025-05-10 08:46:29 UTC	EVO Japan 2025	Round4	Winners Final	2441054	1408573	2	1	N/A	N/A
2025-05-10 08:41:55 UTC	EVO Japan 2025	Round4	Losers Quarter-Final	148527	2891290	2	0	N/A	N/A
2025-05-10 08:41:48 UTC	EVO Japan 2025	Round4	Losers Quarter-Final	356363	556373	2	0	N/A	N/A
2025-05-10 08:41:44 UTC	EVO Japan 2025	Round4	Losers Round 2	2891290	3925862	2	1	N/A	N/A
2025-05-10 08:41:38 UTC	EVO Japan 2025	Round4	Losers Round 2	356363	1574500	2	0	N/A	N/A
2025-05-10 08:41:33 UTC	EVO Japan 2025	Round4	Losers Round 1	3925862	3608684	2	1	N/A	N/A
2025-05-10 08:41:26 UTC	EVO Japan 2025	Round4	Losers Round 1	2891290	3912268	2	1	N/A	N/A
