Event	FinalPlacement	CPTPoint	PlayerId
EVO Japan 2025	1	0	224650
EVO Japan 2025	2	300	2441054
EVO Japan 2025	3	250	1231457
EVO Japan 2025	4	200	277358
EVO Japan 2025	5	150	557482
EVO Japan 2025	5	150	786180
EVO Japan 2025	7	100	632437
EVO Japan 2025	7	100	228743
EVO Japan 2025	9	50	1228620
EVO Japan 2025	9	50	314715
EVO Japan 2025	9	50	1286590
EVO Japan 2025	9	50	295103
EVO Japan 2025	13	30	3177201
EVO Japan 2025	13	30	148527
EVO Japan 2025	13	30	2151987
EVO Japan 2025	13	30	1408573
EVO Japan 2025	17	20	4157356
EVO Japan 2025	17	20	2237431
EVO Japan 2025	17	20	1791717
EVO Japan 2025	17	20	413271
EVO Japan 2025	17	20	379268
EVO Japan 2025	17	20	224697
EVO Japan 2025	17	20	395486
EVO Japan 2025	17	20	3563460
EVO Japan 2025	25	10	1366617
EVO Japan 2025	25	10	567852
EVO Japan 2025	25	10	616069
EVO Japan 2025	25	10	356363
EVO Japan 2025	25	10	766299
EVO Japan 2025	25	10	486860
EVO Japan 2025	25	10	131806
EVO Japan 2025	25	10	404377
EVO Japan 2025	33	0	565873
EVO Japan 2025	33	0	135910
EVO Japan 2025	33	0	513573
EVO Japan 2025	33	0	3757151
EVO Japan 2025	33	0	232824
EVO Japan 2025	33	0	556373
EVO Japan 2025	33	0	358562
EVO Japan 2025	33	0	1228359
EVO Japan 2025	33	0	2891290
EVO Japan 2025	33	0	338795
EVO Japan 2025	33	0	4295277
EVO Japan 2025	33	0	240230
EVO Japan 2025	33	0	4143648
EVO Japan 2025	33	0	1257257
EVO Japan 2025	33	0	1816209
EVO Japan 2025	33	0	498696
EVO Japan 2025	49	0	3922069
EVO Japan 2025	49	0	385095
EVO Japan 2025	49	0	2243649
EVO Japan 2025	49	0	569600
EVO Japan 2025	49	0	3925862
EVO Japan 2025	49	0	2360463
EVO Japan 2025	49	0	547837
EVO Japan 2025	49	0	1455289
EVO Japan 2025	49	0	2056200
EVO Japan 2025	49	0	4657406
EVO Japan 2025	49	0	2345746
EVO Japan 2025	49	0	1574500
EVO Japan 2025	49	0	658918
EVO Japan 2025	49	0	1917872
EVO Japan 2025	49	0	624333
EVO Japan 2025	49	0	4666250
EVO Japan 2025	65	0	3912268
EVO Japan 2025	65	0	405023
EVO Japan 2025	65	0	2108038
EVO Japan 2025	65	0	764810
EVO Japan 2025	65	0	2243732
EVO Japan 2025	65	0	4173337
EVO Japan 2025	65	0	338696
EVO Japan 2025	65	0	3958968
EVO Japan 2025	65	0	1111590
EVO Japan 2025	65	0	551325
EVO Japan 2025	65	0	764789
EVO Japan 2025	65	0	3944042
EVO Japan 2025	65	0	378803
EVO Japan 2025	65	0	3568758
EVO Japan 2025	65	0	1367131
EVO Japan 2025	65	0	415068
EVO Japan 2025	65	0	3004687
EVO Japan 2025	65	0	382483
EVO Japan 2025	65	0	4004146
EVO Japan 2025	65	0	266493
EVO Japan 2025	65	0	3579085
EVO Japan 2025	65	0	1212885
EVO Japan 2025	65	0	2526799
EVO Japan 2025	65	0	226786
EVO Japan 2025	65	0	138015
EVO Japan 2025	65	0	404179
EVO Japan 2025	65	0	616064
EVO Japan 2025	65	0	1853361
EVO Japan 2025	65	0	2714256
EVO Japan 2025	65	0	2615125
EVO Japan 2025	65	0	572458
EVO Japan 2025	65	0	3608684
EVO Japan 2025	97	0	2119640
EVO Japan 2025	97	0	339687
EVO Japan 2025	97	0	4345126
EVO Japan 2025	97	0	565962
EVO Japan 2025	97	0	660130
EVO Japan 2025	97	0	1313228
EVO Japan 2025	97	0	684475
EVO Japan 2025	97	0	4344427
EVO Japan 2025	97	0	3505115
EVO Japan 2025	97	0	1799678
EVO Japan 2025	97	0	1154814
EVO Japan 2025	97	0	487424
EVO Japan 2025	97	0	338091
EVO Japan 2025	97	0	2245493
EVO Japan 2025	97	0	157225
EVO Japan 2025	97	0	370586
EVO Japan 2025	97	0	160464
EVO Japan 2025	97	0	4262345
EVO Japan 2025	97	0	549454
EVO Japan 2025	97	0	1126435
EVO Japan 2025	97	0	385608
EVO Japan 2025	97	0	266549
EVO Japan 2025	97	0	4641037
EVO Japan 2025	97	0	3573666
EVO Japan 2025	97	0	3114826
EVO Japan 2025	97	0	4358777
EVO Japan 2025	97	0	1921506
EVO Japan 2025	97	0	3296006
EVO Japan 2025	97	0	3294482
EVO Japan 2025	97	0	261213
EVO Japan 2025	97	0	4382295
EVO Japan 2025	97	0	4674787
EVO Japan 2025	129	0	297259
EVO Japan 2025	129	0	3822091
EVO Japan 2025	129	0	565184
EVO Japan 2025	129	0	2783946
EVO Japan 2025	129	0	1262489
EVO Japan 2025	129	0	405400
EVO Japan 2025	129	0	2428617
EVO Japan 2025	129	0	1138026
EVO Japan 2025	129	0	368359
EVO Japan 2025	129	0	3958597
EVO Japan 2025	129	0	783240
EVO Japan 2025	129	0	3578941
EVO Japan 2025	129	0	2273470
EVO Japan 2025	129	0	214100
EVO Japan 2025	129	0	3939211
EVO Japan 2025	129	0	1947836
EVO Japan 2025	129	0	540521
EVO Japan 2025	129	0	633048
EVO Japan 2025	129	0	752352
EVO Japan 2025	129	0	4532450
EVO Japan 2025	129	0	2322757
EVO Japan 2025	129	0	138008
EVO Japan 2025	129	0	3296493
EVO Japan 2025	129	0	4195981
EVO Japan 2025	129	0	401790
EVO Japan 2025	129	0	529158
EVO Japan 2025	129	0	4563412
EVO Japan 2025	129	0	3390835
EVO Japan 2025	129	0	3724164
EVO Japan 2025	129	0	3594604
EVO Japan 2025	129	0	397804
EVO Japan 2025	129	0	3776430
EVO Japan 2025	129	0	4437172
EVO Japan 2025	129	0	1238051
EVO Japan 2025	129	0	4625088
EVO Japan 2025	129	0	3933407
EVO Japan 2025	129	0	627039
EVO Japan 2025	129	0	558054
EVO Japan 2025	129	0	392721
EVO Japan 2025	129	0	1783246
EVO Japan 2025	129	0	4645135
EVO Japan 2025	129	0	1562482
EVO Japan 2025	129	0	146079
EVO Japan 2025	129	0	148305
EVO Japan 2025	129	0	4652636
EVO Japan 2025	129	0	3283219
EVO Japan 2025	129	0	3720814
EVO Japan 2025	129	0	1520648
EVO Japan 2025	129	0	1577315
EVO Japan 2025	129	0	3280980
EVO Japan 2025	129	0	3628585
EVO Japan 2025	129	0	4334848
EVO Japan 2025	129	0	4646629
EVO Japan 2025	129	0	567942
EVO Japan 2025	129	0	3604118
EVO Japan 2025	129	0	528997
EVO Japan 2025	129	0	830613
EVO Japan 2025	129	0	845386
EVO Japan 2025	129	0	2063222
EVO Japan 2025	129	0	1564153
EVO Japan 2025	129	0	981224
EVO Japan 2025	129	0	4373839
EVO Japan 2025	129	0	568545
EVO Japan 2025	129	0	557469
EVO Japan 2025	193	0	2108938
EVO Japan 2025	193	0	3801059
EVO Japan 2025	193	0	558326
EVO Japan 2025	193	0	3941616
EVO Japan 2025	193	0	3206933
EVO Japan 2025	193	0	3593049
EVO Japan 2025	193	0	1436915
EVO Japan 2025	193	0	3755249
EVO Japan 2025	193	0	657291
EVO Japan 2025	193	0	502072
EVO Japan 2025	193	0	3558422
EVO Japan 2025	193	0	3820828
EVO Japan 2025	193	0	570311
EVO Japan 2025	193	0	336807
EVO Japan 2025	193	0	2967717
EVO Japan 2025	193	0	3904082
EVO Japan 2025	193	0	3817886
EVO Japan 2025	193	0	3459467
EVO Japan 2025	193	0	4532089
EVO Japan 2025	193	0	536019
EVO Japan 2025	193	0	3986027
EVO Japan 2025	193	0	4534188
EVO Japan 2025	193	0	2426696
EVO Japan 2025	193	0	1990350
EVO Japan 2025	193	0	3944110
EVO Japan 2025	193	0	1677140
EVO Japan 2025	193	0	567070
EVO Japan 2025	193	0	1272344
EVO Japan 2025	193	0	3959584
EVO Japan 2025	193	0	3257255
EVO Japan 2025	193	0	4525004
EVO Japan 2025	193	0	2615047
EVO Japan 2025	193	0	3756091
EVO Japan 2025	193	0	4563083
EVO Japan 2025	193	0	3594551
EVO Japan 2025	193	0	4563163
EVO Japan 2025	193	0	4373856
EVO Japan 2025	193	0	1955091
EVO Japan 2025	193	0	148844
EVO Japan 2025	193	0	544917
EVO Japan 2025	193	0	4614184
EVO Japan 2025	193	0	3621539
EVO Japan 2025	193	0	3632380
EVO Japan 2025	193	0	3964468
EVO Japan 2025	193	0	4634334
EVO Japan 2025	193	0	4403552
EVO Japan 2025	193	0	3497296
EVO Japan 2025	193	0	3607304
EVO Japan 2025	193	0	4435837
EVO Japan 2025	193	0	4326437
EVO Japan 2025	193	0	3943840
EVO Japan 2025	193	0	633261
EVO Japan 2025	193	0	4655412
EVO Japan 2025	193	0	1147202
EVO Japan 2025	193	0	853604
EVO Japan 2025	193	0	557539
EVO Japan 2025	193	0	391734
EVO Japan 2025	193	0	567899
EVO Japan 2025	193	0	1151706
EVO Japan 2025	193	0	3881680
EVO Japan 2025	193	0	4668301
EVO Japan 2025	193	0	3255380
EVO Japan 2025	193	0	3943601
EVO Japan 2025	193	0	3631257
EVO Japan 2025	257	0	1934873
EVO Japan 2025	257	0	2807888
EVO Japan 2025	257	0	2318896
EVO Japan 2025	257	0	4453307
EVO Japan 2025	257	0	373741
EVO Japan 2025	257	0	3621158
EVO Japan 2025	257	0	3761852
EVO Japan 2025	257	0	3691605
EVO Japan 2025	257	0	560560
EVO Japan 2025	257	0	4457974
EVO Japan 2025	257	0	865232
EVO Japan 2025	257	0	527580
EVO Japan 2025	257	0	4165342
EVO Japan 2025	257	0	1454929
EVO Japan 2025	257	0	3755643
EVO Japan 2025	257	0	545438
EVO Japan 2025	257	0	155262
EVO Japan 2025	257	0	3916330
EVO Japan 2025	257	0	3575520
EVO Japan 2025	257	0	4499416
EVO Japan 2025	257	0	3756100
EVO Japan 2025	257	0	3560764
EVO Japan 2025	257	0	1265048
EVO Japan 2025	257	0	1545274
EVO Japan 2025	257	0	4510841
EVO Japan 2025	257	0	2822848
EVO Japan 2025	257	0	3581483
EVO Japan 2025	257	0	3756907
EVO Japan 2025	257	0	3924664
EVO Japan 2025	257	0	4212005
EVO Japan 2025	257	0	3958348
EVO Japan 2025	257	0	631023
EVO Japan 2025	257	0	523612
EVO Japan 2025	257	0	3151302
EVO Japan 2025	257	0	1020716
EVO Japan 2025	257	0	358496
EVO Japan 2025	257	0	4529783
EVO Japan 2025	257	0	4299017
EVO Japan 2025	257	0	3750341
EVO Japan 2025	257	0	4532528
EVO Japan 2025	257	0	1168180
EVO Japan 2025	257	0	3766911
EVO Japan 2025	257	0	1576039
EVO Japan 2025	257	0	4366850
EVO Japan 2025	257	0	3586976
EVO Japan 2025	257	0	3763454
EVO Japan 2025	257	0	559185
EVO Japan 2025	257	0	561804
EVO Japan 2025	257	0	3917613
EVO Japan 2025	257	0	1270535
EVO Japan 2025	257	0	338799
EVO Japan 2025	257	0	2177445
EVO Japan 2025	257	0	401493
EVO Japan 2025	257	0	3906171
EVO Japan 2025	257	0	4541871
EVO Japan 2025	257	0	1341604
EVO Japan 2025	257	0	557496
EVO Japan 2025	257	0	683508
EVO Japan 2025	257	0	1228615
EVO Japan 2025	257	0	273727
EVO Japan 2025	257	0	4279837
EVO Japan 2025	257	0	3910365
EVO Japan 2025	257	0	3941229
EVO Japan 2025	257	0	3296892
EVO Japan 2025	257	0	2063214
EVO Japan 2025	257	0	3279367
EVO Japan 2025	257	0	4576795
EVO Japan 2025	257	0	2615774
EVO Japan 2025	257	0	71325
EVO Japan 2025	257	0	1310751
EVO Japan 2025	257	0	1952479
EVO Japan 2025	257	0	562818
EVO Japan 2025	257	0	3144544
EVO Japan 2025	257	0	4586058
EVO Japan 2025	257	0	4619203
EVO Japan 2025	257	0	484033
EVO Japan 2025	257	0	60989
EVO Japan 2025	257	0	659563
EVO Japan 2025	257	0	4230235
EVO Japan 2025	257	0	3928357
EVO Japan 2025	257	0	768762
EVO Japan 2025	257	0	4637229
EVO Japan 2025	257	0	3195687
EVO Japan 2025	257	0	537508
EVO Japan 2025	257	0	4231856
EVO Japan 2025	257	0	3889000
EVO Japan 2025	257	0	565434
EVO Japan 2025	257	0	4192181
EVO Japan 2025	257	0	4458186
EVO Japan 2025	257	0	4650507
EVO Japan 2025	257	0	2058639
EVO Japan 2025	257	0	4429259
EVO Japan 2025	257	0	338811
EVO Japan 2025	257	0	4657438
EVO Japan 2025	257	0	3886470
EVO Japan 2025	257	0	3136009
EVO Japan 2025	257	0	738908
EVO Japan 2025	257	0	4660181
EVO Japan 2025	257	0	397828
EVO Japan 2025	257	0	4660817
EVO Japan 2025	257	0	2823582
EVO Japan 2025	257	0	327575
EVO Japan 2025	257	0	3852185
EVO Japan 2025	257	0	4661788
EVO Japan 2025	257	0	3708129
EVO Japan 2025	257	0	3281015
EVO Japan 2025	257	0	1340218
EVO Japan 2025	257	0	374825
EVO Japan 2025	257	0	3934992
EVO Japan 2025	257	0	3578842
EVO Japan 2025	257	0	4125879
EVO Japan 2025	257	0	1403556
EVO Japan 2025	257	0	4333216
EVO Japan 2025	257	0	623094
EVO Japan 2025	257	0	1489405
EVO Japan 2025	257	0	3715299
EVO Japan 2025	257	0	3933410
EVO Japan 2025	257	0	64803
EVO Japan 2025	257	0	1391479
EVO Japan 2025	257	0	4668429
EVO Japan 2025	257	0	679205
EVO Japan 2025	257	0	4668506
EVO Japan 2025	257	0	3801717
EVO Japan 2025	257	0	4655225
EVO Japan 2025	257	0	4634129
EVO Japan 2025	257	0	4669233
EVO Japan 2025	257	0	3933003
EVO Japan 2025	257	0	3964450
EVO Japan 2025	385	0	331772
EVO Japan 2025	385	0	4452570
EVO Japan 2025	385	0	3404051
EVO Japan 2025	385	0	3926929
EVO Japan 2025	385	0	3296715
EVO Japan 2025	385	0	969344
EVO Japan 2025	385	0	3766245
EVO Japan 2025	385	0	3763511
EVO Japan 2025	385	0	1570817
