Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-12 19:07:44 UTC	Evo France 2025	TOP 8	Grand Final Reset	786180	4143648	3	1	Ed	Ryu
2025-10-12 18:58:25 UTC	Evo France 2025	TOP 8	Grand Final	4143648	786180	3	2	Ryu	Ed, Elena
2025-10-12 18:39:50 UTC	Evo France 2025	TOP 8	Losers Final	4143648	1231457	3	1	Ryu	Zangief
2025-10-12 18:20:46 UTC	Evo France 2025	TOP 8	Losers Semi-Final	4143648	385608	3	2	Ken	Dhalsim
2025-10-12 18:03:56 UTC	Evo France 2025	TOP 8	Winners Final	786180	1231457	3	0	Ed	Zangief
2025-10-12 17:47:48 UTC	Evo France 2025	TOP 8	Losers Quarter-Final	385608	141329	3	0	Dhalsim	Rashid
2025-10-12 17:38:29 UTC	Evo France 2025	TOP 8	Losers Quarter-Final	4143648	148527	3	1	Ryu	JP
2025-10-12 17:15:36 UTC	Evo France 2025	TOP 8	Losers Round 1	385608	1154814	3	2	Dhalsim	Akuma
2025-10-12 17:03:46 UTC	Evo France 2025	TOP 8	Losers Round 1	4143648	266493	3	1	Sagat	Elena
2025-10-12 16:35:53 UTC	Evo France 2025	TOP 8	Winners Semi-Final	786180	148527	3	1	Ed	JP, Ken
2025-10-12 16:17:23 UTC	Evo France 2025	TOP 8	Winners Semi-Final	1231457	141329	3	0	Zangief	Rashid
2025-10-11 19:22:04 UTC	Evo France 2025	TOP 24	Losers Round 3	385608	2360463	2	0	Dhalsim	Mai
2025-10-11 19:12:50 UTC	Evo France 2025	TOP 24	Losers Round 3	1154814	214100	2	1	Akuma	Terry
2025-10-11 19:03:21 UTC	Evo France 2025	TOP 24	Losers Round 3	266493	131806	2	1	Elena	Mai
2025-10-11 18:47:36 UTC	Evo France 2025	TOP 24	Losers Round 3	4143648	240230	2	1	Ryu	Ed
2025-10-11 18:37:33 UTC	Evo France 2025	TOP 24	Losers Round 2	385608	3581483	2	1	Dhalsim	Kimberly
2025-10-11 18:27:35 UTC	Evo France 2025	TOP 24	Losers Round 2	1154814	2151987	2	0	Akuma	Ryu
2025-10-11 18:15:40 UTC	Evo France 2025	TOP 24	Losers Round 2	266493	228743	2	1	Elena, M. Bison	Akuma
2025-10-11 18:06:39 UTC	Evo France 2025	TOP 24	Losers Round 2	240230	547837	2	1	Ed	M. Bison
2025-10-11 17:58:12 UTC	Evo France 2025	TOP 24	Losers Round 1	3581483	4004146	2	0	Kimberly	Mai
2025-10-11 17:46:51 UTC	Evo France 2025	TOP 24	Losers Round 1	385608	401790	2	1	Dhalsim	JP
2025-10-11 17:36:56 UTC	Evo France 2025	TOP 24	Losers Round 1	2151987	226786	2	0	Ryu	Juri, Mai
2025-10-11 17:27:47 UTC	Evo France 2025	TOP 24	Losers Round 1	1154814	157225	2	1	Akuma	Juri
2025-10-11 17:14:38 UTC	Evo France 2025	TOP 24	Losers Round 1	266493	358562	2	1	Elena	Ken
2025-10-11 17:06:27 UTC	Evo France 2025	TOP 24	Losers Round 1	228743	370586	2	1	Akuma	Akuma
2025-10-11 16:55:58 UTC	Evo France 2025	TOP 24	Losers Round 1	240230	2980912	2	0	Cammy	JP
2025-10-11 16:45:02 UTC	Evo France 2025	TOP 24	Losers Round 1	547837	360353	2	0	Guile	Ken
2025-10-11 16:36:59 UTC	Evo France 2025	TOP 24	Winners Quarter-Final	786180	214100	2	0	Ed	Terry
2025-10-11 16:28:12 UTC	Evo France 2025	TOP 24	Winners Quarter-Final	148527	2360463	2	0	Ken	Mai
2025-10-11 16:17:53 UTC	Evo France 2025	TOP 24	Winners Quarter-Final	141329	4143648	2	0	Rashid	Ryu
2025-10-11 16:11:25 UTC	Evo France 2025	TOP 24	Winners Quarter-Final	1231457	131806	2	0	Zangief	Mai
2025-10-11 16:01:25 UTC	Evo France 2025	ROUND 3	Losers Round 4	385608	1816209	2	1	Dhalsim	Cammy, Luke
2025-10-11 15:55:32 UTC	Evo France 2025	ROUND 3	Losers Round 4	228743	3320259	2	0	N/A	N/A
2025-10-11 15:52:35 UTC	Evo France 2025	ROUND 3	Losers Round 4	3581483	323085	2	0	Kimberly	Cammy
2025-10-11 15:51:28 UTC	Evo France 2025	ROUND 3	Winners Semi-Final	214100	240230	2	1	Terry	Ed
2025-10-11 15:48:22 UTC	Evo France 2025	ROUND 3	Losers Round 4	266493	3310490	2	1	M. Bison	JP
2025-10-11 15:43:29 UTC	Evo France 2025	ROUND 3	Losers Round 3	3581483	1964248	2	0	Kimberly	JP
2025-10-11 15:43:16 UTC	Evo France 2025	ROUND 3	Losers Round 3	3320259	2705659	2	0	N/A	N/A
2025-10-11 15:41:34 UTC	Evo France 2025	ROUND 3	Winners Semi-Final	786180	360353	2	0	Ed	Ken
2025-10-11 15:33:15 UTC	Evo France 2025	ROUND 3	Losers Round 2	3320259	404179	2	1	N/A	N/A
2025-10-11 15:29:18 UTC	Evo France 2025	ROUND 3	Losers Round 3	323085	140787	2	0	Cammy	Akuma
2025-10-11 15:27:50 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	786180	3581483	2	0	Terry	Kimberly
2025-10-11 15:25:35 UTC	Evo France 2025	ROUND 3	Losers Round 3	1816209	2944932	2	0	Luke	Ken
2025-10-11 15:12:48 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	360353	140787	2	1	Ken	Akuma
2025-10-11 15:10:47 UTC	Evo France 2025	ROUND 3	Losers Round 3	3310490	1670441	2	0	N/A	N/A
2025-10-11 15:01:40 UTC	Evo France 2025	ROUND 3	Losers Round 3	385608	135910	2	1	Dhalsim	Akuma
2025-10-11 14:58:57 UTC	Evo France 2025	ROUND 3	Losers Round 2	1670441	661056	2	0	N/A	N/A
2025-10-11 14:58:07 UTC	Evo France 2025	ROUND 3	Losers Round 2	323085	226775	2	0	Cammy	Dee Jay
2025-10-11 14:54:18 UTC	Evo France 2025	ROUND 3	Losers Round 4	547837	2615047	2	1	N/A	N/A
2025-10-11 14:53:14 UTC	Evo France 2025	ROUND 3	Winners Semi-Final	141329	2151987	2	0	N/A	N/A
2025-10-11 14:50:13 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	240230	385608	2	0	Cammy	Dhalsim
2025-10-11 14:48:15 UTC	Evo France 2025	ROUND 3	Losers Round 2	135910	314928	2	0	Akuma	Cammy
2025-10-11 14:43:15 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	2151987	2705659	2	0	N/A	N/A
2025-10-11 14:41:58 UTC	Evo France 2025	ROUND 3	Losers Round 3	266493	1791717	2	1	N/A	N/A
2025-10-11 14:39:36 UTC	Evo France 2025	ROUND 3	Losers Round 3	228743	1455289	2	1	N/A	N/A
2025-10-11 14:38:31 UTC	Evo France 2025	ROUND 3	Losers Round 1	135910	632437	2	1	Akuma	Guile
2025-10-11 14:36:48 UTC	Evo France 2025	ROUND 3	Winners Semi-Final	4143648	1154814	2	1	N/A	N/A
2025-10-11 14:35:46 UTC	Evo France 2025	ROUND 3	Losers Round 2	1964248	4169056	2	0	JP	Zangief
2025-10-11 14:31:47 UTC	Evo France 2025	ROUND 3	Losers Round 2	1816209	220167	2	0	Luke	JP
2025-10-11 14:30:59 UTC	Evo France 2025	ROUND 3	Losers Round 2	1791717	314715	2	0	N/A	N/A
2025-10-11 14:30:30 UTC	Evo France 2025	ROUND 3	Losers Round 2	1455289	1219408	2	1	N/A	N/A
2025-10-11 14:29:42 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	214100	2944932	2	0	Terry	Ken
2025-10-11 14:27:01 UTC	Evo France 2025	ROUND 3	Winners Quarter-Final	4143648	3310490	2	1	N/A	N/A
2025-10-11 14:24:16 UTC	Evo France 2025	ROUND 3	Losers Round 1	226775	1902433	2	1	Dee Jay	Dhalsim
2025-10-11 14:22:55 UTC	Evo France 2025	ROUND 3	Losers Round 1	314928	1946436	2	0	Cammy	Rashid
