Event	FinalPlacement	CPTPoint	PlayerId
Evo France 2025	1	0	786180
Evo France 2025	2	300	4143648
Evo France 2025	3	250	1231457
Evo France 2025	4	200	385608
Evo France 2025	5	150	141329
Evo France 2025	5	150	148527
Evo France 2025	7	100	1154814
Evo France 2025	7	100	266493
Evo France 2025	9	50	240230
Evo France 2025	9	50	131806
Evo France 2025	9	50	214100
Evo France 2025	9	50	2360463
Evo France 2025	13	30	228743
Evo France 2025	13	30	2151987
Evo France 2025	13	30	3581483
Evo France 2025	13	30	547837
Evo France 2025	17	20	360353
Evo France 2025	17	20	401790
Evo France 2025	17	20	157225
Evo France 2025	17	20	370586
Evo France 2025	17	20	358562
Evo France 2025	17	20	2980912
Evo France 2025	17	20	4004146
Evo France 2025	17	20	226786
Evo France 2025	25	10	1816209
Evo France 2025	25	10	3320259
Evo France 2025	25	10	2847775
Evo France 2025	25	10	2615047
Evo France 2025	25	10	323085
Evo France 2025	25	10	487424
Evo France 2025	25	10	4145777
Evo France 2025	25	10	3310490
Evo France 2025	33	0	1964248
Evo France 2025	33	0	1670441
Evo France 2025	33	0	3757151
Evo France 2025	33	0	140787
Evo France 2025	33	0	135910
Evo France 2025	33	0	561804
Evo France 2025	33	0	1565298
Evo France 2025	33	0	2461262
Evo France 2025	33	0	295103
Evo France 2025	33	0	237340
Evo France 2025	33	0	2944932
Evo France 2025	33	0	2705659
Evo France 2025	33	0	894065
Evo France 2025	33	0	277358
Evo France 2025	33	0	1791717
Evo France 2025	33	0	1455289
Evo France 2025	49	0	4739007
Evo France 2025	49	0	2344524
Evo France 2025	49	0	699782
Evo France 2025	49	0	220167
Evo France 2025	49	0	4734139
Evo France 2025	49	0	1340131
Evo France 2025	49	0	226775
Evo France 2025	49	0	314782
Evo France 2025	49	0	1219408
Evo France 2025	49	0	368368
Evo France 2025	49	0	4169056
Evo France 2025	49	0	863661
Evo France 2025	49	0	404179
Evo France 2025	49	0	314715
Evo France 2025	49	0	661056
Evo France 2025	49	0	314928
Evo France 2025	65	0	265073
Evo France 2025	65	0	512988
Evo France 2025	65	0	1300674
Evo France 2025	65	0	3077041
Evo France 2025	65	0	152345
Evo France 2025	65	0	149222
Evo France 2025	65	0	1436915
Evo France 2025	65	0	949264
Evo France 2025	65	0	431585
Evo France 2025	65	0	977212
Evo France 2025	65	0	1902433
Evo France 2025	65	0	3499726
Evo France 2025	65	0	3564471
Evo France 2025	65	0	171490
Evo France 2025	65	0	1946436
Evo France 2025	65	0	1400025
Evo France 2025	65	0	368359
Evo France 2025	65	0	573963
Evo France 2025	65	0	1148242
Evo France 2025	65	0	3564308
Evo France 2025	65	0	1197654
Evo France 2025	65	0	374825
Evo France 2025	65	0	3953399
Evo France 2025	65	0	4323458
Evo France 2025	65	0	3524304
Evo France 2025	65	0	395486
Evo France 2025	65	0	2620784
Evo France 2025	65	0	368377
Evo France 2025	65	0	4070895
Evo France 2025	65	0	632437
Evo France 2025	65	0	339687
Evo France 2025	65	0	1940083
Evo France 2025	97	0	2629390
Evo France 2025	97	0	390352
Evo France 2025	97	0	1484977
Evo France 2025	97	0	318193
Evo France 2025	97	0	3510241
Evo France 2025	97	0	466136
Evo France 2025	97	0	126705
Evo France 2025	97	0	1058230
Evo France 2025	97	0	417126
Evo France 2025	97	0	4791600
Evo France 2025	97	0	2918096
Evo France 2025	97	0	4797836
Evo France 2025	97	0	2138515
Evo France 2025	97	0	3386732
Evo France 2025	97	0	2285228
Evo France 2025	97	0	3579639
Evo France 2025	97	0	3015510
Evo France 2025	97	0	1157253
Evo France 2025	97	0	228113
Evo France 2025	97	0	2187560
Evo France 2025	97	0	706019
