Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-11-02 12:12:45 UTC	Fightclub Championship	Top 8	Grand Final Reset	4428950	764789	3	2	N/A	N/A
2025-11-02 12:12:36 UTC	Fightclub Championship	Top 8	Grand Final	4428950	764789	3	1	N/A	N/A
2025-11-02 09:49:00 UTC	Fightclub Championship	Top 8	Losers Final	4428950	240230	3	0	N/A	N/A
2025-11-02 09:38:19 UTC	Fightclub Championship	Top 8	Winners Final	764789	4428950	3	2	N/A	N/A
2025-11-02 09:02:57 UTC	Fightclub Championship	Top 8	Losers Semi-Final	240230	4625088	3	0	N/A	N/A
2025-11-02 08:48:55 UTC	Fightclub Championship	Top 8	Losers Quarter-Final	4625088	1816209	3	1	N/A	N/A
2025-11-02 08:34:46 UTC	Fightclub Championship	Top 8	Losers Quarter-Final	240230	148527	3	0	N/A	N/A
2025-11-02 08:07:23 UTC	Fightclub Championship	Top 8	Losers Round 1	4625088	4987617	3	0	N/A	N/A
2025-11-02 07:56:32 UTC	Fightclub Championship	Top 8	Losers Round 1	240230	699782	3	1	N/A	N/A
2025-11-02 07:45:18 UTC	Fightclub Championship	Top 8	Winners Semi-Final	4428950	148527	3	0	N/A	N/A
2025-11-02 07:31:44 UTC	Fightclub Championship	Top 8	Winners Semi-Final	764789	1816209	3	1	N/A	N/A
2025-11-01 12:10:49 UTC	Fightclub Championship	Top 16	Losers Round 2	4987617	297259	2	1	N/A	N/A
2025-11-01 12:10:28 UTC	Fightclub Championship	Top 16	Losers Round 2	699782	214100	2	1	N/A	N/A
2025-11-01 12:10:15 UTC	Fightclub Championship	Top 16	Losers Round 1	699782	2441054	2	1	N/A	N/A
2025-11-01 12:09:01 UTC	Fightclub Championship	Top 96	Losers Final	2441054	401790	2	1	N/A	N/A
2025-11-01 12:08:55 UTC	Fightclub Championship	Top 96	Losers Semi-Final	2441054	157225	2	0	N/A	N/A
