Event	FinalPlacement	CPTPoint	PlayerId
Fightclub Championship	1	0	4428950
Fightclub Championship	2	300	764789
Fightclub Championship	3	250	240230
Fightclub Championship	4	200	4625088
Fightclub Championship	5	150	1816209
Fightclub Championship	5	150	148527
Fightclub Championship	7	100	699782
Fightclub Championship	7	100	4987617
Fightclub Championship	9	50	214100
Fightclub Championship	9	50	297259
Fightclub Championship	9	50	339687
Fightclub Championship	9	50	2056200
Fightclub Championship	13	30	684475
Fightclub Championship	13	30	2441054
Fightclub Championship	13	30	567852
Fightclub Championship	13	30	557482
Fightclub Championship	17	20	2237431
Fightclub Championship	17	20	4295277
Fightclub Championship	17	20	401790
Fightclub Championship	17	20	1212885
Fightclub Championship	17	20	4173337
Fightclub Championship	17	20	547837
Fightclub Championship	17	20	395486
Fightclub Championship	17	20	364174
Fightclub Championship	25	10	3581483
Fightclub Championship	25	10	358562
Fightclub Championship	25	10	157225
Fightclub Championship	25	10	1231457
Fightclub Championship	25	10	633048
Fightclub Championship	25	10	4987625
Fightclub Championship	25	10	338795
Fightclub Championship	25	10	141329
Fightclub Championship	33	0	338696
Fightclub Championship	33	0	4987618
Fightclub Championship	33	0	4987630
Fightclub Championship	33	0	4987631
Fightclub Championship	33	0	148844
Fightclub Championship	33	0	4987655
Fightclub Championship	33	0	1455289
Fightclub Championship	33	0	3558422
Fightclub Championship	33	0	894065
Fightclub Championship	33	0	314782
Fightclub Championship	33	0	3933407
Fightclub Championship	33	0	766299
Fightclub Championship	33	0	1126435
Fightclub Championship	33	0	404179
Fightclub Championship	33	0	1228359
Fightclub Championship	33	0	5028422
Fightclub Championship	49	0	4227231
Fightclub Championship	49	0	3579085
Fightclub Championship	49	0	4987656
Fightclub Championship	49	0	4987690
Fightclub Championship	49	0	3296493
Fightclub Championship	49	0	2615047
Fightclub Championship	49	0	830613
Fightclub Championship	49	0	1286590
Fightclub Championship	49	0	385608
Fightclub Championship	49	0	3603732
Fightclub Championship	49	0	138008
Fightclub Championship	49	0	395875
