Event	FinalPlacement	CPTPoint	PlayerId
UFA 2025	1	0	3935651
UFA 2025	2	300	3757151
UFA 2025	3	250	4143648
UFA 2025	4	200	160464
UFA 2025	5	150	1816209
UFA 2025	5	150	157225
UFA 2025	7	100	349616
UFA 2025	7	100	3310490
UFA 2025	9	50	2151987
UFA 2025	9	50	358562
UFA 2025	9	50	2025508
UFA 2025	9	50	237340
UFA 2025	13	30	141329
UFA 2025	13	30	699782
UFA 2025	13	30	632437
UFA 2025	13	30	214100
UFA 2025	17	20	623395
UFA 2025	17	20	1148242
UFA 2025	17	20	3285802
UFA 2025	17	20	226786
UFA 2025	17	20	401790
UFA 2025	17	20	561804
UFA 2025	17	20	1455289
UFA 2025	17	20	3705249
UFA 2025	25	10	3942450
UFA 2025	25	10	1940083
UFA 2025	25	10	140787
UFA 2025	25	10	2615047
UFA 2025	25	10	4295277
UFA 2025	25	10	314715
UFA 2025	25	10	2441054
UFA 2025	25	10	395486
UFA 2025	33	0	4511746
UFA 2025	33	0	3320259
UFA 2025	33	0	394851
UFA 2025	33	0	1400025
UFA 2025	33	0	135910
UFA 2025	33	0	2360463
UFA 2025	33	0	404179
UFA 2025	33	0	3640543
UFA 2025	33	0	669621
UFA 2025	33	0	3578750
UFA 2025	33	0	417126
UFA 2025	33	0	547837
UFA 2025	33	0	1286590
UFA 2025	33	0	368377
UFA 2025	33	0	148527
UFA 2025	33	0	3302352
UFA 2025	49	0	1340131
UFA 2025	49	0	4332082
UFA 2025	49	0	1436915
UFA 2025	49	0	3491075
UFA 2025	49	0	360353
UFA 2025	49	0	512988
UFA 2025	49	0	2243649
UFA 2025	49	0	1151706
UFA 2025	49	0	2182413
UFA 2025	49	0	314782
UFA 2025	49	0	2847775
UFA 2025	49	0	240230
UFA 2025	49	0	370586
UFA 2025	49	0	1565298
UFA 2025	49	0	1156976
UFA 2025	49	0	148458
UFA 2025	65	0	1247459
UFA 2025	65	0	704675
UFA 2025	65	0	3770133
UFA 2025	65	0	368359
UFA 2025	65	0	4591922
UFA 2025	65	0	515017
UFA 2025	65	0	3579639
UFA 2025	65	0	385608
UFA 2025	65	0	949264
UFA 2025	65	0	3601387
UFA 2025	65	0	590571
UFA 2025	65	0	390352
UFA 2025	65	0	3561126
UFA 2025	65	0	261364
UFA 2025	65	0	661130
UFA 2025	65	0	4456932
UFA 2025	65	0	389754
UFA 2025	65	0	3424739
UFA 2025	65	0	373640
UFA 2025	65	0	1802628
UFA 2025	65	0	392721
UFA 2025	65	0	368368
UFA 2025	65	0	4070895
UFA 2025	65	0	3438989
UFA 2025	65	0	3581483
UFA 2025	65	0	1231457
UFA 2025	65	0	1126451
UFA 2025	65	0	4358241
UFA 2025	65	0	2526799
UFA 2025	65	0	131806
UFA 2025	65	0	988150
UFA 2025	65	0	174929
UFA 2025	97	0	370671
UFA 2025	97	0	3475034
UFA 2025	97	0	3926522
UFA 2025	97	0	3567266
UFA 2025	97	0	3684965
UFA 2025	97	0	4059932
UFA 2025	97	0	3487397
UFA 2025	97	0	1964248
UFA 2025	97	0	1002045
UFA 2025	97	0	2970094
UFA 2025	97	0	3713755
UFA 2025	97	0	3475357
UFA 2025	97	0	4149210
UFA 2025	97	0	4132494
UFA 2025	97	0	2136320
UFA 2025	97	0	3759959
UFA 2025	97	0	2944932
UFA 2025	97	0	3589689
UFA 2025	97	0	433734
UFA 2025	97	0	423213
UFA 2025	97	0	4158599
UFA 2025	97	0	358846
UFA 2025	97	0	315945
UFA 2025	97	0	3596432
UFA 2025	97	0	853554
UFA 2025	97	0	498414
UFA 2025	97	0	3992153
UFA 2025	97	0	323511
UFA 2025	97	0	4901093
UFA 2025	97	0	693147
UFA 2025	97	0	3391721
UFA 2025	97	0	661056
UFA 2025	129	0	2316795
UFA 2025	129	0	1160933
UFA 2025	129	0	2080212
UFA 2025	129	0	559963
UFA 2025	129	0	135867
UFA 2025	129	0	617167
UFA 2025	129	0	2114487
UFA 2025	129	0	846442
UFA 2025	129	0	3564308
UFA 2025	129	0	1655716
UFA 2025	129	0	1222237
UFA 2025	129	0	519202
UFA 2025	129	0	3699698
UFA 2025	129	0	942977
UFA 2025	129	0	680072
UFA 2025	129	0	3562746
UFA 2025	129	0	2138515
UFA 2025	129	0	4148262
UFA 2025	129	0	821331
UFA 2025	129	0	3760301
UFA 2025	129	0	3398570
UFA 2025	129	0	3680521
UFA 2025	129	0	1329551
UFA 2025	129	0	978721
UFA 2025	129	0	678097
UFA 2025	129	0	4537119
UFA 2025	129	0	4096709
UFA 2025	129	0	1540288
UFA 2025	129	0	2759955
UFA 2025	129	0	2367699
UFA 2025	129	0	3006590
UFA 2025	129	0	3055366
UFA 2025	129	0	4418704
UFA 2025	129	0	2313510
UFA 2025	129	0	1800901
UFA 2025	129	0	4399291
UFA 2025	129	0	4788179
UFA 2025	129	0	1902433
UFA 2025	129	0	1022947
UFA 2025	129	0	1670441
UFA 2025	129	0	910808
UFA 2025	129	0	3075344
UFA 2025	129	0	3968266
UFA 2025	129	0	1270287
UFA 2025	129	0	861717
UFA 2025	129	0	4343541
UFA 2025	129	0	4733960
UFA 2025	129	0	695513
UFA 2025	129	0	319892
UFA 2025	129	0	2729647
UFA 2025	129	0	918120
UFA 2025	129	0	4513551
UFA 2025	129	0	243386
UFA 2025	129	0	1411451
UFA 2025	129	0	3632533
UFA 2025	129	0	1205297
UFA 2025	129	0	3114588
UFA 2025	129	0	3615132
UFA 2025	129	0	862132
UFA 2025	129	0	4271567
UFA 2025	129	0	3747010
UFA 2025	129	0	606247
UFA 2025	129	0	3417237
UFA 2025	129	0	1089603
UFA 2025	193	0	4121919
UFA 2025	193	0	2844078
UFA 2025	193	0	2054867
UFA 2025	193	0	2445751
UFA 2025	193	0	2666635
UFA 2025	193	0	4629137
UFA 2025	193	0	1648066
UFA 2025	193	0	2433528
UFA 2025	193	0	342336
UFA 2025	193	0	2448928
UFA 2025	193	0	2337591
UFA 2025	193	0	698597
UFA 2025	193	0	3487353
UFA 2025	193	0	4012725
UFA 2025	193	0	845607
UFA 2025	193	0	4325308
UFA 2025	193	0	3383512
UFA 2025	193	0	370763
UFA 2025	193	0	394959
UFA 2025	193	0	260462
UFA 2025	193	0	3596199
UFA 2025	193	0	251230
UFA 2025	193	0	2415769
UFA 2025	193	0	2117568
UFA 2025	193	0	4267104
UFA 2025	193	0	3621379
UFA 2025	193	0	4023906
UFA 2025	193	0	1162905
UFA 2025	193	0	3237099
UFA 2025	193	0	1511391
UFA 2025	193	0	4778774
UFA 2025	193	0	1063421
UFA 2025	193	0	663672
UFA 2025	193	0	2345859
UFA 2025	193	0	3465084
UFA 2025	193	0	3633613
UFA 2025	193	0	4113773
UFA 2025	193	0	3565785
UFA 2025	193	0	3373033
UFA 2025	193	0	3794230
UFA 2025	193	0	2880026
UFA 2025	193	0	4194563
UFA 2025	193	0	4545313
UFA 2025	193	0	3639957
UFA 2025	193	0	698601
UFA 2025	193	0	870929
UFA 2025	193	0	3547379
UFA 2025	193	0	780559
UFA 2025	193	0	4598729
UFA 2025	193	0	3358905
UFA 2025	193	0	4546207
UFA 2025	193	0	2235200
UFA 2025	193	0	2975284
UFA 2025	193	0	4290111
UFA 2025	193	0	847992
UFA 2025	193	0	1285483
UFA 2025	193	0	3137739
UFA 2025	193	0	3900893
UFA 2025	193	0	4931100
UFA 2025	193	0	2324643
UFA 2025	193	0	4664855
UFA 2025	193	0	3269970
UFA 2025	193	0	1856829
UFA 2025	193	0	2138138
UFA 2025	257	0	3615891
UFA 2025	257	0	3564732
UFA 2025	257	0	4420480
UFA 2025	257	0	565833
UFA 2025	257	0	2051281
UFA 2025	257	0	468825
UFA 2025	257	0	2946270
UFA 2025	257	0	3618659
UFA 2025	257	0	2878905
UFA 2025	257	0	2543255
UFA 2025	257	0	32894
UFA 2025	257	0	4060913
UFA 2025	257	0	3608529
UFA 2025	257	0	3062564
UFA 2025	257	0	2125013
UFA 2025	257	0	3302078
UFA 2025	257	0	849595
UFA 2025	257	0	1837722
UFA 2025	257	0	3070845
UFA 2025	257	0	4339932
UFA 2025	257	0	3563679
UFA 2025	257	0	4257454
UFA 2025	257	0	3565810
