Rating	PlayerId	WinCnt	LoseCnt
1824	786180	46	6
1799	224650	41	6
1784	2151987	45	12
1770	314715	43	12
1755	277358	37	10
1747	2056200	39	10
1745	565873	40	9
1745	1455289	43	12
1736	228743	32	8
1735	1231457	37	12
1732	2441054	36	10
1729	395486	39	12
1725	632437	38	12
1724	148527	37	12
1721	3935651	42	10
1718	3757151	34	10
1717	4143648	39	12
1716	131806	34	12
1714	3177201	22	3
1714	141329	30	10
1713	2360463	36	11
1713	226786	38	12
1708	224697	32	10
1706	240230	31	10
1706	138015	31	10
1706	1791717	29	12
1705	1816209	38	12
1703	135910	33	12
1699	4004146	26	6
1696	404179	36	12
1694	385608	32	12
1690	1228620	25	6
1689	157225	34	12
1688	486860	24	8
1687	699782	31	10
1686	2891290	26	4
1685	2237431	28	8
1684	295103	29	10
1683	547837	27	8
1682	266549	25	8
1680	232824	29	10
1678	160464	29	10
1677	1366617	23	4
1675	557482	24	8
1671	356363	21	6
1667	338696	25	8
1667	1574500	24	8
1666	183027	24	8
1665	3524304	19	6
1662	379268	20	8
1662	405023	21	4
1659	394851	22	8
1658	1257257	17	4
1658	3285802	25	10
1657	385095	20	6
1655	624333	21	6
1655	67428	21	8
1654	339687	24	8
1653	766299	20	8
1653	415068	18	6
1652	214100	28	12
1650	2243649	19	6
1649	148649	18	8
1647	404377	26	10
1646	3705249	21	8
1644	1212885	20	8
1644	314782	28	11
1640	2461262	17	6
1640	2615047	18	6
1640	415385	17	6
1636	61001	17	6
1634	401790	20	8
1633	140014	19	6
1633	338795	18	6
1631	2063222	16	4
1631	3310490	18	6
1631	147900	17	6
1628	567852	17	6
1628	141095	19	8
1625	570603	18	6
1624	529496	20	8
1624	4173337	16	4
1623	266493	16	6
1621	417126	18	8
1621	2972996	18	8
1618	148458	22	12
1618	171490	16	6
1618	138851	15	6
1617	2526799	16	6
1616	1408573	12	6
1615	237340	20	8
1615	4295277	16	6
1614	3958968	11	2
1614	140787	23	12
1614	60989	17	6
1612	1564153	14	6
1611	660130	16	6
1611	2557887	13	4
1611	70855	17	8
1610	291259	15	6
1608	174929	19	10
1608	487424	15	6
1606	1286590	16	8
1605	405400	19	8
1605	154091	13	6
1605	616064	13	4
1602	1921506	9	2
1602	338091	11	2
1601	3996677	12	4
1601	1228359	16	8
1601	261213	15	6
1600	2010930	13	6
1600	138008	12	4
1600	2615125	13	4
1598	616069	9	2
1596	3496003	11	4
1596	3939211	9	2
1596	327575	10	3
1596	40804	13	4
1596	1562482	11	4
1595	3562186	13	4
1593	2967717	11	4
1593	1869160	13	4
1593	3497818	13	6
1593	313909	14	6
1593	3004687	10	2
1592	257033	13	6
1592	265887	11	4
1592	2243732	9	2
1590	684475	13	4
1590	1126435	9	2
1589	3563460	8	2
1589	146079	10	4
1589	3922069	8	2
1589	830613	11	4
1588	324161	9	2
1588	3581483	15	8
1586	3581657	8	2
1586	3433085	10	4
1586	3475944	11	4
1585	370586	13	6
1585	413271	8	4
1585	683508	11	4
1585	4195981	9	2
1585	3756091	9	2
1585	2119640	8	2
1584	3604118	10	4
1584	657291	12	6
1584	1810739	9	4
1584	3822091	9	2
1584	3986027	9	2
1584	3907965	11	4
1584	4669233	9	2
1584	631023	9	2
1583	1391479	8	2
1583	2714256	7	2
1583	3497296	8	2
1582	1148242	9	4
1581	3640471	10	4
1581	3933410	9	2
1581	140052	12	6
1581	3763356	12	4
1581	3860250	14	8
1581	2108038	9	2
1580	2367338	11	6
1580	1275596	10	4
1580	3943601	9	2
1579	3761988	8	2
1579	3594551	8	2
1579	596463	11	4
1579	23875	11	4
1579	259852	13	6
1579	572458	8	2
1579	4634334	8	2
1578	358496	18	8
1578	3554625	10	4
1578	565434	8	2
1578	2805889	13	6
1578	2524831	9	4
1578	155429	8	2
1578	1313228	9	2
1578	3283219	9	2
1578	184440	11	4
1577	783240	10	4
1577	4667628	7	2
1577	378803	6	2
1577	4834657	9	2
1577	4344427	7	2
1577	4640192	8	2
1577	1955091	9	2
1577	569600	7	2
1577	338811	9	4
1576	726024	12	4
1576	323511	9	4
1576	551325	7	2
1576	4643455	8	2
1576	71325	11	6
1576	4366850	8	2
1576	3622042	8	2
1575	366077	8	2
1575	153524	10	4
1575	341001	8	4
1575	1154814	10	4
1575	2209027	12	6
1575	358569	9	3
1575	1138026	7	2
1575	1576039	8	2
1575	3607304	9	2
1575	132434	10	4
1575	3632380	8	2
1575	942416	10	4
1575	4227231	10	3
1574	4278189	8	2
1574	4641037	7	2
1574	1255606	10	4
1574	1965385	9	4
1574	658918	10	4
1573	3294482	8	2
1573	233884	7	2
1573	657023	10	4
1573	67022	12	6
1573	1367131	7	2
1572	2307959	7	2
1572	3569218	9	4
1572	183069	7	2
1572	3941616	8	2
1572	3279992	11	4
1572	3279367	8	2
1572	336807	7	2
1572	3280465	8	3
1572	3964468	8	2
1572	1649513	10	4
1572	414676	10	4
1571	3941822	7	2
1571	4358777	7	2
1571	3875051	10	4
1571	1387256	9	4
1571	4382295	7	2
1570	131537	9	4
1570	1270535	8	2
1570	633261	7	2
1570	382483	7	2
1570	679205	7	2
1570	3296493	9	4
1569	497680	10	4
1569	627039	8	2
1569	358562	14	10
1569	2317448	10	4
1569	549454	7	2
1569	3331494	8	2
1569	561804	14	8
1569	2037765	8	2
1569	2615774	8	2
1569	1276311	10	4
1569	3626824	7	2
1568	174936	12	6
1568	467692	9	4
1568	4666250	7	2
1568	327935	10	6
1568	4262345	6	2
1568	66017	7	2
1568	3576234	7	2
1567	3999961	7	2
1567	498696	7	2
1567	844460	8	2
1567	3944042	6	2
1567	669621	8	4
1566	1703880	7	2
1566	3594604	7	2
1566	3568758	6	2
1566	3631257	8	2
1566	2365186	6	2
1566	1783246	6	2
1566	227226	10	4
1566	1105411	9	4
1566	3573666	8	2
1565	4008538	9	4
1565	633048	6	2
1565	568545	8	2
1565	513573	7	2
1565	3296006	7	4
1565	392721	12	6
1565	1577315	6	2
1565	4661788	8	2
1565	3515950	7	2
1564	60825	7	2
1564	175316	10	4
1564	4646629	7	2
1564	147248	10	4
1564	3558700	7	2
1564	512988	9	4
1564	3933407	7	2
1564	3889000	9	2
1564	3906171	6	1
1564	3889572	7	2
1564	3505115	6	2
1564	143468	8	4
1564	2351088	7	2
1563	60981	6	2
1563	2025508	8	2
1563	351840	9	4
1563	4517560	7	2
1563	2665266	6	2
1563	339747	8	4
1563	1677140	6	2
1563	3404051	7	1
1563	1100465	7	2
1562	3708129	6	2
1562	962674	6	2
1562	528997	8	4
1562	570731	7	2
1562	69060	9	4
1562	2245493	7	2
1562	4007648	9	4
1562	349474	9	4
1562	4668506	7	2
1562	137374	10	4
1562	3593049	7	2
1562	4286813	6	2
1561	357232	6	2
1561	4774619	7	2
1561	557469	6	2
1561	4665535	7	2
1561	4657406	7	2
1561	3778023	7	2
1561	3622057	6	2
1561	348353	7	2
1561	1826846	6	2
1561	1003098	9	4
1561	1228615	7	2
1561	764789	6	2
1561	3516031	11	6
1561	272790	8	4
1560	3881680	7	2
1560	4373839	6	2
1560	3136218	8	2
1560	13525	7	2
1560	231317	5	2
1560	1292047	7	2
1560	391734	6	2
1560	4613740	6	2
1560	137291	11	6
1560	4660181	6	2
1560	1934873	10	4
1560	23277	7	2
1559	1436915	8	4
1559	498414	10	6
1559	509289	9	5
1559	3801059	7	2
1559	4157356	6	4
1559	4563083	6	2
1559	175006	6	2
1559	3857933	7	2
1559	1826854	8	2
1559	314718	6	2
1559	4640916	6	2
1559	2127101	6	2
1558	4514347	7	2
1558	3758790	8	2
1558	3467658	6	2
1558	4570609	6	2
1558	4650507	6	2
1558	3958348	8	2
1558	3608684	8	2
1558	349616	6	2
1558	4496638	6	2
1558	1583817	9	4
1558	3673585	7	2
1558	569673	6	2
1558	706019	6	2
1558	2979115	7	2
1557	3316695	6	2
1557	3578941	5	2
1557	3520037	6	2
1557	3257255	6	2
1557	4435837	6	2
1557	36321	8	4
1557	820869	6	2
1557	147753	8	4
1557	4667946	6	2
1557	3784334	6	2
1557	61012	6	2
1557	1345485	6	2
1557	1003034	7	2
1557	3938728	7	2
1557	3776430	6	2
1556	63220	16	10
1556	3935455	6	2
1556	4667051	6	2
1556	399451	7	4
1556	3648792	6	2
1556	559196	7	2
1556	315621	9	4
1556	3761852	6	2
1556	3578842	5	2
1556	200060	9	4
1556	22383	6	2
