name	team	sponsor	birthday	youtube	streaming	twitter	characters
マゴ	魚群					magotto3	ジュリ(C),キャミー(C)
まちゃぼー	魚群					mcb_0726	ケン(C)
もけ	魚群					lllmokelll	春麗(C)
水派	魚群					mizuha11	キャミー(C)
ガチくん	Good 8 Squad					gachikun0423	マノン(C)
カワノ	Good 8 Squad					kawanoChannn	ルーク(M)
ぷげら	Good 8 Squad					pgr_pgr_	DJ(C)
立川	Good 8 Squad					TachikawaBR	ルーク(M)
どぐら	CAG					maneater_dgr	DJ(C)
GO1	CAG					GO13151	本田(C)
かずのこ	CAG					kazunoko0215	キャミー(C)
フェンリっち	CAG					fenritti	JP(C)
ネモ	Saishunkan Sol 熊本					GOOD_NEMO	JP(C)
Shuto	Saishunkan Sol 熊本					Shuto_fgc	マリーザ(M),マリーザ(C)
ひぐち	Saishunkan Sol 熊本					higuchi010914	ガイル(C)
ササモ	Saishunkan Sol 熊本					sasamostreet	？
ももち	忍ism Gaming					momochi212	ケン(C)
ヤマグチ	忍ism Gaming					yamae1128	DJ(C)
藤村	忍ism Gaming					fujimura333	ケン(C)
ジョニィ	忍ism Gaming					Johnny4act	マノン(C)
板橋ザンギエフ	DetonatioN FocusMe					Itazan_Kuma	ザンギエフ(C)
ナウマン	DetonatioN FocusMe					naumanzoh	ケン(C)
竹内ジョン	DetonatioN FocusMe					john_takeuchi	ジェイミー(C)
ふ～ど	DetonatioN FocusMe					TheFuudo	ダルシム(C),DJ(C)
あきら	名古屋OJA BODY STAR					akiradayooooo	キャミー(C)
オニキ	名古屋OJA BODY STAR					oniki_nagoyaoja	キンバリー(C)
KEI.B	名古屋OJA BODY STAR					_BNBBN_	JP(C)
鶏めし	名古屋OJA BODY STAR					torimesi911	ダルシム(C)
ストーム久保	広島 TEAM iXA					stormKUBO	本田(C)
キチパ	広島 TEAM iXA					kichipa_	ザンギエフ(C)
じゃじい	広島 TEAM iXA					Jazzy_2nd	ルーク(C)
ACQUA	広島 TEAM iXA					acqua_db	JP(C)
sako	FAV gaming					sakonoko	春麗(C)
りゅうせい	FAV gaming					RYUSEI_CARL	？
ときど	FAV gaming					tokidoki77	ケン(C)
ボンちゃん	FAV gaming					katitagaribon	ルーク(C)
