	id	date	name	rating	diff_from_last
76	21	2023-07-18	立川	1554	23
86	26	2023-07-18	ひぐち	1544	20
78	22	2023-07-18	ガチくん	1537	21
90	28	2023-07-18	Shuto	1531	15
74	20	2023-07-18	水派	1516	16
84	25	2023-07-18	KEI.B	1513	28
82	24	2023-07-18	ACQUA	1498	26
77	21	2023-07-18	まちゃぼー	1494	-23
80	23	2023-07-18	あきら	1494	17
88	27	2023-07-18	ネモ	1493	17
75	20	2023-07-18	カワノ	1484	-16
81	23	2023-07-18	じゃじい	1483	-17
89	27	2023-07-18	ナウマン	1483	-17
83	24	2023-07-18	オニキ	1474	-26
91	28	2023-07-18	ふ～ど	1470	-15
85	25	2023-07-18	ストーム久保	1456	-28
79	22	2023-07-18	もけ	1453	-21
87	26	2023-07-18	竹内ジョン	1452	-20
68	17	2023-07-14	sako	1543	15
58	12	2023-07-14	藤村	1539	15
70	18	2023-07-14	ボンちゃん	1539	23
72	19	2023-07-14	ときど	1539	23
60	13	2023-07-14	ヤマグチ	1528	28
64	15	2023-07-14	どぐら	1524	24
62	14	2023-07-14	まちゃぼー	1517	17
56	11	2023-07-14	ももち	1501	17
63	14	2023-07-14	かずのこ	1499	-17
66	16	2023-07-14	GO1	1495	26
59	12	2023-07-14	ふ～ど	1485	-15
69	17	2023-07-14	KEI.B	1485	-15
57	11	2023-07-14	板橋ザンギエフ	1483	-17
71	18	2023-07-14	鶏めし	1477	-23
73	19	2023-07-14	あきら	1477	-23
65	15	2023-07-14	マゴ	1476	-24
67	16	2023-07-14	もけ	1474	-26
61	13	2023-07-14	竹内ジョン	1472	-28
54	10	2023-07-07	立川	1531	15
40	3	2023-07-07	sako	1528	28
42	4	2023-07-07	藤村	1524	24
44	5	2023-07-07	ひぐち	1524	24
36	1	2023-07-07	ボンちゃん	1516	16
38	2	2023-07-07	ときど	1516	16
46	6	2023-07-07	Shuto	1516	16
48	7	2023-07-07	ガチくん	1516	16
50	8	2023-07-07	立川	1516	16
52	9	2023-07-07	かずのこ	1516	16
37	1	2023-07-07	キチパ	1484	-16
39	2	2023-07-07	ストーム久保	1484	-16
47	6	2023-07-07	ももち	1484	-16
49	7	2023-07-07	GO1	1484	-16
51	8	2023-07-07	フェンリっち	1484	-16
53	9	2023-07-07	ぷげら	1484	-16
43	4	2023-07-07	ネモ	1476	-24
45	5	2023-07-07	ジョニィ	1476	-24
41	3	2023-07-07	ACQUA	1472	-28
55	10	2023-07-07	GO1	1469	-15
0	0	2023-07-01	マゴ	1500	0
1	0	2023-07-01	まちゃぼー	1500	0
2	0	2023-07-01	もけ	1500	0
3	0	2023-07-01	水派	1500	0
4	0	2023-07-01	ガチくん	1500	0
5	0	2023-07-01	カワノ	1500	0
6	0	2023-07-01	ぷげら	1500	0
7	0	2023-07-01	立川	1500	0
8	0	2023-07-01	どぐら	1500	0
9	0	2023-07-01	GO1	1500	0
10	0	2023-07-01	かずのこ	1500	0
11	0	2023-07-01	フェンリっち	1500	0
12	0	2023-07-01	ネモ	1500	0
13	0	2023-07-01	Shuto	1500	0
14	0	2023-07-01	ひぐち	1500	0
15	0	2023-07-01	ササモ	1500	0
16	0	2023-07-01	ももち	1500	0
17	0	2023-07-01	ヤマグチ	1500	0
18	0	2023-07-01	藤村	1500	0
19	0	2023-07-01	ジョニィ	1500	0
20	0	2023-07-01	板橋ザンギエフ	1500	0
21	0	2023-07-01	ナウマン	1500	0
22	0	2023-07-01	竹内ジョン	1500	0
23	0	2023-07-01	ふ～ど	1500	0
24	0	2023-07-01	あきら	1500	0
25	0	2023-07-01	オニキ	1500	0
26	0	2023-07-01	KEI.B	1500	0
27	0	2023-07-01	鶏めし	1500	0
28	0	2023-07-01	ストーム久保	1500	0
29	0	2023-07-01	キチパ	1500	0
30	0	2023-07-01	じゃじい	1500	0
31	0	2023-07-01	ACQUA	1500	0
32	0	2023-07-01	sako	1500	0
33	0	2023-07-01	りゅうせい	1500	0
34	0	2023-07-01	ときど	1500	0
35	0	2023-07-01	ボンちゃん	1500	0
