stage	quarter	match	date	winner	loser	winner_sets	loser_sets	battle
1	1	1	2023-07-07	ボンちゃん	キチパ	2	1	1
1	1	1	2023-07-07	ときど	ストーム久保	2	1	2
1	1	1	2023-07-07	sako	ACQUA	3	0	3
1	1	2	2023-07-07	藤村	ネモ	2	0	1
1	1	2	2023-07-07	ひぐち	ジョニィ	2	0	2
1	1	2	2023-07-07	Shuto	ももち	3	2	3
1	1	3	2023-07-07	ガチくん	GO1	2	1	1
1	1	3	2023-07-07	立川	フェンリっち	2	1	2
1	1	3	2023-07-07	かずのこ	ぷげら	3	2	3
1	1	3	2023-07-07	立川	GO1	1	0	4
1	2	1	2023-07-14	ももち	板橋ザンギエフ	2	1	1
1	2	1	2023-07-14	藤村	ふ～ど	2	1	2
1	2	1	2023-07-14	ヤマグチ	竹内ジョン	3	0	3
1	2	2	2023-07-14	まちゃぼー	かずのこ	2	1	1
1	2	2	2023-07-14	どぐら	マゴ	2	0	2
1	2	2	2023-07-14	GO1	もけ	3	1	3
1	2	3	2023-07-14	sako	KEI.B	2	1	1
1	2	3	2023-07-14	ボンちゃん	鶏めし	2	0	2
1	2	3	2023-07-14	ときど	あきら	3	1	3
1	3	1	2023-07-18	水派	カワノ	2	1	1
1	3	1	2023-07-18	立川	まちゃぼー	2	0	2
1	3	1	2023-07-18	ガチくん	もけ	3	1	3
1	3	2	2023-07-18	あきら	じゃじい	2	1	1
1	3	2	2023-07-18	ACQUA	オニキ	2	0	2
1	3	2	2023-07-18	KEI.B	ストーム久保	3	0	3
1	3	3	2023-07-18	ひぐち	竹内ジョン	2	0	1
1	3	3	2023-07-18	ネモ	ナウマン	2	1	2
1	3	3	2023-07-18	Shuto	ふ～ど	3	2	3
