name	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
ときど	2023-08-18	1572	1572	1500	0	1	0	0	1.0	4.0	4.0	0.0
立川	2023-08-25	1569	1590	1500	-21	2	-1	True	0.8333333333333334	6.0	5.0	1.0
どぐら	2023-08-25	1566	1566	1500	27	3	5	True	1.0	3.0	3.0	0.0
藤村	2023-08-22	1561	1561	1500	0	4	0	0	0.8	5.0	4.0	1.0
ひぐち	2023-08-22	1559	1559	1500	0	5	0	0	1.0	3.0	3.0	0.0
水派	2023-08-22	1559	1559	1500	0	5	0	0	1.0	3.0	3.0	0.0
じゃじい	2023-08-25	1552	1552	1483	22	7	2	True	0.75	4.0	3.0	1.0
ボンちゃん	2023-08-25	1550	1577	1500	-27	8	-6	True	0.8	5.0	4.0	1.0
フェンリっち	2023-08-25	1533	1533	1460	27	9	6	True	0.6	5.0	3.0	2.0
ネモ	2023-08-22	1524	1524	1476	0	10	0	0	0.75	4.0	3.0	1.0
ナウマン	2023-08-22	1524	1524	1483	0	10	0	0	0.6666666666666666	3.0	2.0	1.0
Shuto	2023-08-22	1521	1551	1500	0	12	0	0	0.75	4.0	3.0	1.0
まちゃぼー	2023-08-25	1517	1517	1494	23	13	5	True	0.6666666666666666	3.0	2.0	1.0
sako	2023-08-25	1516	1543	1500	-27	14	-7	True	0.6666666666666666	3.0	2.0	1.0
KEI.B	2023-08-18	1514	1514	1485	0	15	0	0	0.5	4.0	2.0	2.0
かずのこ	2023-08-22	1508	1523	1499	0	16	0	0	0.5	4.0	2.0	2.0
ヤマグチ	2023-08-22	1505	1542	1500	0	17	0	0	0.6666666666666666	3.0	2.0	1.0
ガチくん	2023-08-22	1504	1537	1500	0	18	0	0	0.5	4.0	2.0	2.0
カワノ	2023-08-25	1499	1500	1484	15	19	2	True	0.5	2.0	1.0	1.0
ACQUA	2023-08-25	1496	1500	1472	21	20	4	True	0.5	4.0	2.0	2.0
マゴ	2023-08-25	1495	1501	1476	15	21	1	True	0.5	4.0	2.0	2.0
もけ	2023-08-25	1491	1500	1429	25	22	6	True	0.4	5.0	2.0	3.0
ももち	2023-08-18	1472	1501	1472	0	23	0	0	0.3333333333333333	3.0	1.0	2.0
ぷげら	2023-08-25	1472	1500	1464	-22	23	-5	True	0.25	4.0	1.0	3.0
GO1	2023-08-25	1471	1500	1469	-9	25	-3	True	0.3333333333333333	6.0	2.0	4.0
ササモ	2023-08-22	1468	1500	1468	0	26	0	0	0.0	2.0	0.0	2.0
りゅうせい	2023-08-25	1465	1500	1456	9	27	3	True	0.25	4.0	1.0	3.0
鶏めし	2023-08-25	1460	1501	1460	-25	28	-8	True	0.25	4.0	1.0	3.0
ジョニィ	2023-08-22	1456	1500	1456	0	29	0	0	0.0	2.0	0.0	2.0
板橋ザンギエフ	2023-08-22	1453	1500	1453	0	30	0	0	0.0	2.0	0.0	2.0
オニキ	2023-08-25	1451	1500	1451	-23	31	-6	True	0.0	2.0	0.0	2.0
ストーム久保	2023-08-25	1451	1500	1451	-15	31	-3	True	0.2	5.0	1.0	4.0
キチパ	2023-08-18	1440	1500	1440	0	33	0	0	0.0	3.0	0.0	3.0
ふ～ど	2023-08-22	1436	1500	1436	0	34	0	0	0.0	4.0	0.0	4.0
竹内ジョン	2023-08-18	1435	1500	1435	0	35	0	0	0.0	3.0	0.0	3.0
あきら	2023-08-25	1435	1500	1435	-15	35	-2	True	0.2	5.0	1.0	4.0
