stage	quarter	match	date	winner	loser	winner_sets	loser_sets	battle	chars_of_winner	chars_of_loser
1	11	1	2023-09-08	竹内ジョン	ACQUA	2	0	1	RASHID	JP
1	11	1	2023-09-08	ナウマン	キチパ	2	1	2	KEN	LILY
1	11	1	2023-09-08	ふ～ど	じゃじい	3	1	3	DEEJAY	LUKE
1	11	2	2023-09-08	KEI.B	ジョニィ	2	1	1	JP	MANON
1	11	2	2023-09-08	鶏めし	ももち	2	0	2	DHALSIM	LUKE
1	11	2	2023-09-08	あきら	ヤマグチ	3	1	3	CAMMY	DEEJAY
1	11	3	2023-09-08	マゴ	ひぐち	2	1	1	JURI,CAMMY	GUILE
1	11	3	2023-09-08	もけ	ネモ	2	0	2	CHUNLI	JP
1	11	3	2023-09-08	ササモ	まちゃぼー	3	0	3	DEEJAY	KEN
1	11	3	2023-09-08	ササモ	まちゃぼー	1	0	4	DEEJAY	KEN
