Rating	PlayerId	WinCnt	LoseCnt
1914	786180	57	7
1858	4143648	52	14
1830	240230	50	14
1817	565873	40	9
1797	385608	49	16
1792	3935651	42	12
1785	2151987	55	16
1784	2441054	43	12
1783	1816209	52	16
1780	141329	44	14
1780	1231457	52	16
1779	1455289	55	16
1777	148527	52	16
1776	228743	40	10
1774	699782	47	14
1770	157225	47	16
1769	277358	43	12
1768	395486	52	16
1767	226786	45	14
1764	4004146	32	8
1755	2056200	45	14
1753	224650	41	10
1750	214100	41	16
1745	2891290	26	4
1744	314715	51	16
1741	2237431	35	10
1741	2360463	48	15
1739	131806	41	14
1738	547837	41	12
1736	1366617	23	4
1735	3757151	43	14
1735	632437	43	14
1735	339687	36	12
1728	237340	26	10
1727	266493	26	8
1719	3581483	31	12
1717	401790	31	12
1714	1228620	25	6
1713	3310490	24	8
1712	160464	29	10
1708	183027	24	8
1704	404179	45	16
1702	405023	21	4
1702	314782	38	15
1702	135910	39	16
1700	338696	29	10
1698	487424	25	10
1697	2615047	28	10
1696	1791717	36	16
1693	3177201	22	3
1692	1574500	29	10
1692	567852	23	8
1689	557482	31	12
1688	1154814	22	8
1687	295103	40	14
1686	3285802	25	10
1683	4173337	22	6
1682	224697	32	12
1682	4428950	11	1
1677	4625088	17	6
1676	2461262	23	8
1676	1257257	17	4
1676	1212885	25	10
1675	171490	24	8
1671	394851	27	10
1669	624333	21	8
1669	3705249	21	8
1668	385095	20	6
1667	570603	23	8
1666	140787	28	14
1664	3524304	23	8
1664	370586	19	8
1661	338795	23	8
1659	1148242	15	6
1659	486860	24	10
1658	140014	19	6
1656	764789	15	4
1654	232824	30	12
1652	2526799	20	8
1652	138015	31	14
1651	2972996	18	8
1651	358562	25	14
1650	660130	20	8
1648	2243649	19	6
1648	356363	21	8
1648	684475	19	6
1648	266549	25	10
1647	61001	17	6
1647	67428	21	8
1647	147900	17	6
1647	417126	22	10
1646	1228359	21	10
1645	4295277	21	8
1644	148649	18	8
1642	766299	24	10
1641	141095	19	8
1638	415385	17	6
1638	2063222	16	4
1638	291259	15	6
1635	830613	15	6
1635	2615125	18	6
1635	529496	20	8
1634	148458	22	12
1633	138008	16	6
1633	261213	15	6
1632	404377	26	12
1631	379268	20	10
1631	358496	18	8
1629	2847775	16	6
1628	405400	19	8
1628	633048	12	4
1628	894065	16	6
1627	4227231	16	5
1627	561804	19	10
1626	60989	17	6
1624	1126435	14	4
1623	360353	12	6
1622	1921506	13	4
1621	3958968	11	2
1621	415068	22	10
1620	616064	13	4
1616	3320259	10	4
1616	3562186	13	4
1615	349616	10	4
1614	338091	11	2
1614	338811	17	8
1613	2557887	13	4
1613	4145777	10	2
1611	3996677	14	6
1611	174929	19	10
1610	1436915	13	6
1609	1562482	14	6
1607	323511	13	6
