name	team	sponsor	birthday	twitter	streaming	youtube
マゴ	魚群
まちゃぼー	魚群
もけ	魚群
水派	魚群
ガチくん	Good 8 Squad
カワノ	Good 8 Squad
ぷげら	Good 8 Squad
立川	Good 8 Squad
どぐら	CAG
GO1	CAG
かずのこ	CAG
フェンリっち	CAG
ネモ	Saishunkan Sol 熊本
Shuto	Saishunkan Sol 熊本
ひぐち	Saishunkan Sol 熊本
ササモ	Saishunkan Sol 熊本
ももち	忍ism Gaming
ヤマグチ	忍ism Gaming
藤村	忍ism Gaming
ジョニィ	忍ism Gaming
板橋ザンギエフ	DetonatioN FocusMe
ナウマン	DetonatioN FocusMe
竹内ジョン	DetonatioN FocusMe
ふ～ど	DetonatioN FocusMe
あきら	名古屋OJA BODY STAR
オニキ	名古屋OJA BODY STAR
KEI.B	名古屋OJA BODY STAR
鶏めし	名古屋OJA BODY STAR
ストーム久保	広島 TEAM iXA
キチパ	広島 TEAM iXA
じゃじい	広島 TEAM iXA
ACQUA	広島 TEAM iXA
sako	FAV gaming
りゅうせい	FAV gaming
ときど	FAV gaming
ボンちゃん	FAV gaming
