name	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
ときど	2023-08-29	1589	1589	1500	17	1	0	True	1.0	5.0	5.0	0.0
藤村	2023-08-29	1585	1585	1500	24	2	2	True	0.8333333333333334	6.0	5.0	1.0
ひぐち	2023-08-29	1583	1583	1500	24	3	2	True	1.0	4.0	4.0	0.0
立川	2023-08-25	1569	1590	1500	0	4	0	0	0.8333333333333334	6.0	5.0	1.0
どぐら	2023-08-25	1566	1566	1500	0	5	0	0	1.0	3.0	3.0	0.0
水派	2023-08-22	1559	1559	1500	0	6	0	0	1.0	3.0	3.0	0.0
ボンちゃん	2023-08-25	1550	1577	1500	0	7	0	0	0.8	5.0	4.0	1.0
じゃじい	2023-08-29	1543	1552	1483	-9	8	-1	True	0.6666666666666666	6.0	4.0	2.0
フェンリっち	2023-08-25	1533	1533	1460	0	9	0	0	0.6	5.0	3.0	2.0
Shuto	2023-08-22	1521	1551	1500	0	10	0	0	0.75	4.0	3.0	1.0
ヤマグチ	2023-08-29	1519	1542	1500	14	11	6	True	0.75	4.0	3.0	1.0
まちゃぼー	2023-08-25	1517	1517	1494	0	12	0	0	0.6666666666666666	3.0	2.0	1.0
ACQUA	2023-08-29	1513	1513	1472	17	13	7	True	0.6	5.0	3.0	2.0
かずのこ	2023-08-22	1508	1523	1499	0	14	0	0	0.5	4.0	2.0	2.0
ガチくん	2023-08-22	1504	1537	1500	0	15	0	0	0.5	4.0	2.0	2.0
カワノ	2023-08-25	1499	1500	1484	0	16	0	0	0.5	2.0	1.0	1.0
ナウマン	2023-08-29	1496	1524	1483	-28	17	-7	True	0.5	4.0	2.0	2.0
マゴ	2023-08-25	1495	1501	1476	0	18	0	0	0.5	4.0	2.0	2.0
KEI.B	2023-08-29	1494	1514	1485	-20	19	-4	True	0.4	5.0	2.0	3.0
ネモ	2023-08-29	1492	1524	1476	-32	20	-10	True	0.5	6.0	3.0	3.0
sako	2023-08-29	1492	1543	1492	-24	20	-6	True	0.5	4.0	2.0	2.0
ササモ	2023-08-29	1491	1500	1468	23	22	4	True	0.3333333333333333	3.0	1.0	2.0
もけ	2023-08-25	1491	1500	1429	0	22	0	0	0.4	5.0	2.0	3.0
鶏めし	2023-08-29	1488	1501	1460	28	24	4	True	0.4	5.0	2.0	3.0
ぷげら	2023-08-25	1472	1500	1464	0	25	0	0	0.25	4.0	1.0	3.0
GO1	2023-08-25	1471	1500	1469	0	26	0	0	0.3333333333333333	6.0	2.0	4.0
ふ～ど	2023-08-29	1456	1500	1436	20	27	7	True	0.2	5.0	1.0	4.0
ジョニィ	2023-08-22	1456	1500	1456	0	27	0	0	0.0	2.0	0.0	2.0
ももち	2023-08-29	1455	1501	1455	-17	29	-6	True	0.25	4.0	1.0	3.0
板橋ザンギエフ	2023-08-22	1453	1500	1453	0	30	0	0	0.0	2.0	0.0	2.0
オニキ	2023-08-25	1451	1500	1451	0	31	0	0	0.0	2.0	0.0	2.0
りゅうせい	2023-08-29	1451	1500	1451	-14	31	-4	True	0.2	5.0	1.0	4.0
竹内ジョン	2023-08-29	1451	1500	1435	16	31	4	True	0.25	4.0	1.0	3.0
キチパ	2023-08-18	1440	1500	1440	0	34	0	0	0.0	3.0	0.0	3.0
ストーム久保	2023-08-29	1428	1500	1428	-23	35	-4	True	0.16666666666666666	6.0	1.0	5.0
あきら	2023-08-29	1419	1500	1419	-16	36	-1	True	0.16666666666666666	6.0	1.0	5.0
