name	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
藤村	2023-09-12	1611	1611	1500	10	1	0	True	0.875	8.0	7.0	1.0
水派	2023-09-05	1585	1585	1500	0	2	0	0	1.0	4.0	4.0	0.0
ひぐち	2023-09-08	1585	1606	1500	0	2	0	0	0.8333333333333334	6.0	5.0	1.0
どぐら	2023-09-05	1556	1566	1500	0	4	0	0	0.8	5.0	4.0	1.0
もけ	2023-09-08	1549	1549	1429	0	5	0	0	0.625	8.0	5.0	3.0
立川	2023-09-01	1546	1590	1500	0	6	0	0	0.7142857142857143	7.0	5.0	2.0
ヤマグチ	2023-09-12	1536	1544	1500	22	7	6	True	0.7142857142857143	7.0	5.0	2.0
ときど	2023-09-12	1533	1589	1500	-30	8	-4	True	0.7142857142857143	7.0	5.0	2.0
ボンちゃん	2023-09-05	1531	1577	1500	0	9	0	0	0.6666666666666666	6.0	4.0	2.0
KEI.B	2023-09-08	1531	1531	1485	0	9	0	0	0.5714285714285714	7.0	4.0	3.0
ふ～ど	2023-09-12	1525	1525	1436	31	11	8	True	0.4444444444444444	9.0	4.0	5.0
竹内ジョン	2023-09-12	1520	1520	1435	17	12	6	True	0.5714285714285714	7.0	4.0	3.0
かずのこ	2023-09-12	1517	1534	1499	-17	13	-4	True	0.5	6.0	3.0	3.0
鶏めし	2023-09-08	1511	1511	1460	0	14	0	0	0.5	6.0	3.0	3.0
マゴ	2023-09-08	1506	1506	1476	0	15	0	0	0.5714285714285714	7.0	4.0	3.0
Shuto	2023-09-12	1506	1551	1500	-30	15	-7	True	0.6666666666666666	6.0	4.0	2.0
フェンリっち	2023-09-12	1501	1533	1460	-31	17	-7	True	0.5	8.0	4.0	4.0
ネモ	2023-09-12	1500	1524	1470	30	18	7	True	0.5	8.0	4.0	4.0
ササモ	2023-09-12	1496	1514	1468	-18	19	-6	True	0.42857142857142855	7.0	3.0	4.0
sako	2023-09-12	1495	1543	1477	18	20	4	True	0.5	6.0	3.0	3.0
ナウマン	2023-09-12	1491	1524	1483	-18	21	-5	True	0.5	6.0	3.0	3.0
じゃじい	2023-09-08	1490	1552	1483	0	22	0	0	0.5	8.0	4.0	4.0
りゅうせい	2023-09-12	1481	1500	1451	30	23	8	True	0.3333333333333333	6.0	2.0	4.0
あきら	2023-09-08	1480	1500	1419	0	24	0	0	0.375	8.0	3.0	5.0
GO1	2023-09-12	1473	1500	1455	18	25	4	True	0.375	8.0	3.0	5.0
ぷげら	2023-09-12	1469	1500	1464	-18	26	-4	True	0.3333333333333333	6.0	2.0	4.0
カワノ	2023-09-12	1469	1522	1469	-22	26	-6	True	0.4	5.0	2.0	3.0
ACQUA	2023-09-08	1464	1513	1464	0	28	0	0	0.42857142857142855	7.0	3.0	4.0
まちゃぼー	2023-09-08	1462	1517	1462	0	29	0	0	0.42857142857142855	7.0	3.0	4.0
ジョニィ	2023-09-12	1461	1500	1443	18	30	2	True	0.25	4.0	1.0	3.0
ガチくん	2023-09-12	1455	1537	1455	-10	31	-5	True	0.2857142857142857	7.0	2.0	5.0
ももち	2023-09-08	1453	1501	1453	0	32	0	0	0.3333333333333333	6.0	2.0	4.0
オニキ	2023-09-05	1436	1500	1436	0	33	0	0	0.0	3.0	0.0	3.0
板橋ザンギエフ	2023-09-01	1432	1500	1432	0	34	0	0	0.0	3.0	0.0	3.0
ストーム久保	2023-08-29	1428	1500	1428	0	35	0	0	0.16666666666666666	6.0	1.0	5.0
キチパ	2023-09-08	1416	1500	1416	0	36	0	0	0.0	5.0	0.0	5.0
