date	name	rating	diff_from_last
2023-09-01	ひぐち	1606	23
2023-09-01	藤村	1601	16
2023-09-01	立川	1546	-23
2023-09-01	どぐら	1545	-21
2023-09-01	ヤマグチ	1544	25
2023-09-01	Shuto	1536	15
2023-09-01	カワノ	1522	23
2023-09-01	もけ	1512	21
2023-09-01	フェンリっち	1508	-25
2023-09-01	まちゃぼー	1489	-28
2023-09-01	ガチくん	1489	-15
2023-09-01	マゴ	1485	-10
2023-09-01	竹内ジョン	1478	27
2023-09-01	ももち	1476	21
2023-09-01	ササモ	1468	-23
2023-09-01	ふ～ど	1467	11
2023-09-01	GO1	1455	-16
2023-09-01	板橋ザンギエフ	1432	-21
2023-08-29	ときど	1589	17
2023-08-29	藤村	1585	24
2023-08-29	ひぐち	1583	24
2023-08-29	じゃじい	1543	-9
2023-08-29	ヤマグチ	1519	14
2023-08-29	ACQUA	1513	17
2023-08-29	ナウマン	1496	-28
2023-08-29	KEI.B	1494	-20
2023-08-29	sako	1492	-24
2023-08-29	ネモ	1492	-32
2023-08-29	ササモ	1491	23
2023-08-29	鶏めし	1488	28
2023-08-29	ふ～ど	1456	20
2023-08-29	ももち	1455	-17
2023-08-29	りゅうせい	1451	-14
2023-08-29	竹内ジョン	1451	16
2023-08-29	ストーム久保	1428	-23
2023-08-29	あきら	1419	-16
2023-08-25	立川	1569	-21
2023-08-25	どぐら	1566	27
2023-08-25	じゃじい	1552	22
2023-08-25	ボンちゃん	1550	-27
2023-08-25	フェンリっち	1533	27
2023-08-25	まちゃぼー	1517	23
2023-08-25	sako	1516	-27
2023-08-25	カワノ	1499	15
2023-08-25	ACQUA	1496	21
2023-08-25	マゴ	1495	15
2023-08-25	もけ	1491	25
2023-08-25	ぷげら	1472	-22
2023-08-25	GO1	1471	-9
2023-08-25	りゅうせい	1465	9
2023-08-25	鶏めし	1460	-25
2023-08-25	オニキ	1451	-23
2023-08-25	ストーム久保	1451	-15
2023-08-25	あきら	1435	-15
2023-08-22	立川	1590	16
2023-08-22	藤村	1561	21
2023-08-22	ひぐち	1559	15
2023-08-22	水派	1559	20
2023-08-22	ナウマン	1524	17
2023-08-22	ネモ	1524	15
2023-08-22	Shuto	1521	-30
2023-08-22	かずのこ	1508	-15
2023-08-22	フェンリっち	1506	46
2023-08-22	ヤマグチ	1505	-37
2023-08-22	ガチくん	1504	-17
2023-08-22	ぷげら	1494	30
2023-08-22	GO1	1480	-15
2023-08-22	マゴ	1480	-21
2023-08-22	ササモ	1468	-16
2023-08-22	もけ	1466	37
2023-08-22	ジョニィ	1456	-20
2023-08-22	板橋ザンギエフ	1453	-30
2023-08-22	ふ～ど	1436	-16
2023-08-18	ボンちゃん	1577	18
2023-08-18	ときど	1572	17
2023-08-18	Shuto	1551	20
2023-08-18	ヤマグチ	1542	14
2023-08-18	藤村	1540	1
2023-08-18	じゃじい	1530	47
2023-08-18	KEI.B	1514	16
2023-08-18	ネモ	1509	16
2023-08-18	ナウマン	1507	24
2023-08-18	鶏めし	1485	-16
2023-08-18	ササモ	1484	-16
2023-08-18	ももち	1472	-29
2023-08-18	ストーム久保	1466	-14
2023-08-18	りゅうせい	1456	-24
2023-08-18	ふ～ど	1452	-18
2023-08-18	あきら	1450	-20
2023-08-18	キチパ	1440	-19
2023-08-18	竹内ジョン	1435	-17
2023-08-15	立川	1574	20
2023-08-15	ボンちゃん	1559	20
2023-08-15	ときど	1555	16
2023-08-15	どぐら	1539	15
2023-08-15	水派	1539	23
2023-08-15	かずのこ	1523	24
2023-08-15	ガチくん	1521	-16
2023-08-15	マゴ	1501	25
2023-08-15	鶏めし	1501	24
2023-08-15	KEI.B	1498	-15
2023-08-15	りゅうせい	1480	-20
2023-08-15	ストーム久保	1480	24
2023-08-15	ACQUA	1475	-23
2023-08-15	あきら	1470	-24
2023-08-15	ぷげら	1464	-20
2023-08-15	フェンリっち	1460	-24
2023-08-15	キチパ	1459	-25
2023-08-15	もけ	1429	-24
2023-07-18	立川	1554	23
2023-07-18	ひぐち	1544	20
2023-07-18	ガチくん	1537	21
2023-07-18	Shuto	1531	15
2023-07-18	水派	1516	16
