stage	quarter	match	date	winner	loser	winner_sets	loser_sets	battle	chars_of_winner	chars_of_loser
1	1	1	2023-07-07	ボンちゃん	キチパ	2	1	1	LUKE	ZANGIEF
1	1	1	2023-07-07	ときど	ストーム久保	2	1	2	KEN	EHONDA
1	1	1	2023-07-07	sako	ACQUA	3	0	3	CHUNLI	JP
1	1	2	2023-07-07	藤村	ネモ	2	0	1	KEN	JP
1	1	2	2023-07-07	ひぐち	ジョニィ	2	0	2	GUILE	MANON
1	1	2	2023-07-07	Shuto	ももち	3	2	3	MARISA	KEN
1	1	3	2023-07-07	ガチくん	GO1	2	1	1	MANON	LUKE,CHUNLI
1	1	3	2023-07-07	立川	フェンリっち	2	1	2	LUKE	JP
1	1	3	2023-07-07	かずのこ	ぷげら	3	2	3	CAMMY	DEEJAY
1	1	3	2023-07-07	立川	GO1	1	0	4	LUKE	LUKE
